indicator_id,progress,summary,developments,row_ids
gov.policy--data-storage-cloud-strategy,No change,"The [minister's one-or-two-national-backup-centres position stands](2025-05-27-leconomie-cenadi-datacenter-study), with no instrument, site or appropriation behind it since May 2025.","2025-05 - a study was restituted and the minister [stated a policy of concentrating state resources on one or two national backup centres rather than multiplying public facilities](2025-05-27-leconomie-cenadi-datacenter-study), the study [framed as a step to digital independence](2025-05-26-cenadi-digital-independence-data-centres-itweb).

The position has not moved since. No instrument, site or appropriation is on record, and the 269-page study that surveyed thirteen administrations is not itself held, so which facilities would be consolidated and on what timetable is unknown.",CMR-infra.store-data-centre-consolidation-policy
gov.policy--data-interoperability-framework-roadmap,Advanced,"The [state operator was tasked with carrying national data and infrastructure interoperability on 18 August 2026](2026-08-18-dba-fgi-cameroun-camtel-interoperabilite-nationale), with no design or timetable published.","2026-08-18 - the posts and telecommunications ministry [tasked the state operator with carrying national data and infrastructure interoperability, the mandate given at the opening of the national internet governance forum and resting on the operator's backbone, transmission, access and hosting infrastructure](2026-08-18-dba-fgi-cameroun-camtel-interoperabilite-nationale).

No design, timetable, budget or instrument is published. An interoperability mandate handed to a commercial operator rather than established in law leaves unstated which bodies are obliged to connect, on what standard, and who arbitrates a refusal.",CMR-dpi.exchange-government-interoperability-layer
gov.policy--ai-strategy,Stalled,"The strategy [was still being developed when cabinet reviewed it in July 2026](2026-07-31-cameroon-pm-national-ai-strategy-completion), a year after a 2040 roadmap was presented.","A [2040 roadmap on seven pillars was presented on 7 and 8 July 2025](2025-07-08-snia-2040-ai-roadmap-seven-pillars-techafricanews), at the [second national consultation on artificial intelligence](2025-07-09-lejour-conia-2025-national-ai-strategy-consultations).

2026-07-30 - cabinet was [told the strategy is currently being developed, with ten priority areas and a costed roadmap tabled and no adoption instrument published](2026-07-31-cameroon-pm-national-ai-strategy-completion). The [authority and presidential council provided for in the roadmap's governance pillar are still not created, and are absent from the ten priority areas](2026-07-31-cameroon-pm-national-ai-strategy-completion).

No third consultation has been convened in the thirteen months since. The country is [recorded as a founding member of a global artificial-intelligence cooperation body, with the accession date unpublished](2026-07-31-cameroon-government-engages-on-harnessing-ai), and the benchmark of record remains [46.3 out of 100, 30th of 42 African states, below a continental average of 56](2025-07-10-snia-60000-ai-experts-by-2040-wearetech).",CMR-tech.ai-ai-strategy|CMR-tech.ai-ai-authority-presidential-council|CMR-tech.ai-consultations-artificial-intelligence|CMR-tech.ai-founding-membership-global-ai|CMR-tech.ai-itu-ai-readiness-score
gov.policy--data-localisation-policies,Advanced,Operators [secure over 73% of the country's domains domestically against a national target of 98% by 2026](2025-12-11-camtel-unveils-performance-of-its-zamengoe-datacenter).,"2025-12-10 to 12 - the state operator stated that [operators including itself secure over 73% of the country's domains domestically against a national target of 98% by 2026, and put revenue from its data-transport activities above FCFA 33.7bn in 2024, more than 17% up on 2023](2025-12-11-camtel-unveils-performance-of-its-zamengoe-datacenter).

The figures are the operator's own. No localisation instrument, obligation or exemption regime sits behind the target, no independent measurement of it has been published by the regulator or the agency, and nothing states what happens if it is missed.",CMR-infra.cybersec-domestic-domain-hosting-share
gov.policy--data-governance-policy,No change,The [2026 internet governance forum put data at the foundation of interoperable infrastructure](2026-08-19-237online-cameroon-internet-governance-forum) with no national framework on record for it to build on.,"2026-08-18 to 20 - the forum was [held at Yaounde on the theme of moving from fragmentation to interoperability, positioning data as the foundation for interoperable digital public infrastructure](2026-08-19-237online-cameroon-internet-governance-forum), [trailed the week before](2026-08-12-cameroon-fgi-2026-data-governance-preview).

No national data-governance framework exists on the record for the theme to rest on, and no programme document, participant list or outcome text is held, so what was resolved is unrecorded. The interoperability the theme names has no instrument behind it beyond a mandate given to the state operator at the same event.",CMR-gov.discourse-national-internet-governance-forum
gov.policy--open-data-policy,No change,A national open-data policy is [provided for in the artificial-intelligence roadmap and nothing has been published](2025-07-08-snia-2040-ai-roadmap-seven-pillars-techafricanews).,"The policy was [provided for in the 2040 roadmap presented in July 2025, with nothing published](2025-07-08-snia-2040-ai-roadmap-seven-pillars-techafricanews), and the position is the same at both ends of the window.

It is [not among the ten priority areas tabled to cabinet on 30 July 2026](2026-07-31-cameroon-pm-national-ai-strategy-completion), which is the nearest thing to a status update the base holds: the instrument that would carry it has been reordered around other things. No draft, consultation or publication schedule exists on record.",CMR-data.open-open-data-policy
gov.legislate--data-protection-legislation,No change,"[Loi n. 2024/017 on personal data protection is in force and unamended](2024-12-23-cmr-loi-2024-017-protection-des-donnees-a-caractere-personnel), with no supervisory authority operating.","The law was [promulgated on 23 December 2024 and is in force, with no supervisory authority operating](2024-12-23-cmr-loi-2024-017-protection-des-donnees-a-caractere-personnel), a position [restated to the National Assembly in April 2025](2025-04-08-leconomie-minpostel-minister-national-assembly-digital-inclusion).

Nothing in the window amended it. The promulgated text was acquired in July 2026 and is held as a 24-page page-image scan of which pages 15 to 24 are unread, so what the statute obliges beyond its first half is not established from anything on file.",CMR-gov.protect-loi-n-2024-017
gov.legislate--cybersecurity-legislation,No change,[Loi n. 2010/012 remains in force and is invoked to justify network restrictions](2026-06-16-lejour-cybercrime-laws-threaten-freedoms); no reform is adopted on record.,"The law has stood since 21 December 2010 and is [in force and invoked to justify network restrictions, with civil-society reform recommendations pending and none adopted on record](2026-06-16-lejour-cybercrime-laws-threaten-freedoms).

The recommendations were addressed to government after a workshop in June 2026. Nothing since reports a government response, a drafting instruction or a bill. The statute is the legal basis under which the restrictions recorded elsewhere in this report were imposed, which is why its non-reform is the material fact rather than its age.",CMR-gov.legislate-loi-n-2010-012
gov.legislate--legislation-covering-digital-id,No change,[Decret n. 2025/059 on identity titles](2025-02-28-cameroun-decret-2025-059-titres-identitaires) and the [2024 civil-registration law](2025-01-27-new-civil-registration-law-sdg-16-9-biometricupdate) are both in force and unamended.,"The decree was [signed on 28 February 2025 governing five identity-title classes and is in force, unamended](2025-02-28-cameroun-decret-2025-059-titres-identitaires); its refugee and disability chapters are not captured in the base.

The [civil-registration law was enacted on 23 December 2024 in 130 sections, providing for electronic declaration, a national database, digital certificates and a unique personal identification number](2025-01-27-new-civil-registration-law-sdg-16-9-biometricupdate), and is also unamended. Its text is not held, so what the unique personal identification number obliges, and how it relates to the biometric card, is not checkable from anything on file.",CMR-dpi.id-d-cret-n-2025|CMR-dpi.registry-law-2024-016-civil
gov.legislate--access-to-information-legislation,No change,The [e-government and access to information bill is still a preliminary draft](2023-05-22-avant-projet-loi-acces-information-publique-transformation-numerique-administration); the [2018 transparency code stands](2026-04-16-leconomie-citizen-budget-oversight-east).,"The bill is [a preliminary draft on the right of access to and use of public information and the digital transformation of the administration, circulated in May 2023](2023-05-22-avant-projet-loi-acces-information-publique-transformation-numerique-administration). Later reporting on its progress is in the base but is not citable, so the position stated here is older than the record.

The [transparency and good governance code promulgated on 11 July 2018 remains in force, requiring budget-information dissemination and civil-society involvement, and the finance ministry was still running first-contact sensitisation with civil society in April 2026](2026-04-16-leconomie-citizen-budget-oversight-east) - eight years after promulgation.",CMR-gov.legislate-e-government-and-access-to-information-bill|CMR-data.open-transparency-good-governance-code
