title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Afro Verse: Where Eritrean Heritage Meets Virtual Reality,Shabait (Eritrea Profile / Ministry of Information),,2026-09-07,day,ERI,tech.innovate,afro-verse,2026-09-08,https://shabait.com/2026/09/07/afro-verse-where-eritrean-heritage-meets-virtual-reality/,
Eritrea — Technology (Education Profile),UNESCO GEM Report — Profiles Enhancing Education Reviews (PEER),,2026-09-02,day,ERI,capacity.literacy,eritrea-ministry-of-education; unicef; global-partnership-for-education; estda,2026-09-07,https://education-profiles.org/sub-saharan-africa/eritrea/~technology,
Private Cloud Services,Eritel Telecom Corporation,,2026-08-31,day,ERI,infra.store,eritel; government-of-eritrea,2026-09-01,https://eritel.com.er/contents.php?id=1046,
Internet Complaint Hub,EriTel Telecom Corporation,,2026-08-31,day,ERI,include.access,eritel; government-of-eritrea,2026-09-01,https://eritel.com.er/internet_complaint_hub.php?id=1041,
NBS4Water Geodesign Workshops Advance Nature-Based Planning for Asmara's Water Security,Eurac Research (GLOMOS Center for Global Mountain Safeguard Research),,2026-08-25,day,ERI,data.satellite; gov.discourse,eurac-research; eritrea-ministry-of-land-water-and-environment; undp; unicef; unesco,2026-09-01,https://www.eurac.edu/en/news/center-for-global-mountain-safeguard-research/nbs4water-geodesign-workshops-advance-nature-based-planning-for-asmaras-water-sec,
Technology as a Bridge Between Generations: A Conversation with Shambko Apps Group,Eritrea Ministry of Information (Eritrea Profile),,2026-08-15,day,ERI,tech.innovate; capacity.literacy,shambko-apps-group,2026-08-18,https://shabait.com/2026/08/15/technology-as-a-bridge-between-generations-a-conversation-with-shambko-apps-group/,
Eritrea's Digital Sovereignty: Building a Red Sea Internet Gateway,Mesob Journal,,2026-08-10,day,ERI,capacity.research; gov.regional; infra.connect; infra.store,government-of-eritrea,2026-09-01,https://mesobjournal.com/post/eritrea-digital-sovereignty-red-sea-internet-gateway,
Climate Watch Advisory: The Evolving Dry Conditions in the Northern Parts of Eastern Africa,IGAD Climate Prediction and Applications Centre (ICPAC),,2026-08-10,day,ERI,data.satellite,icpac; igad,2026-09-01,https://www.icpac.net/documents/1113/Climate_Watch_Advisory_-_The_Evolving_Dry_Conditions_in_the_Northern_Parts_of__2tBmKGt.pdf,
Ministry of Justice Conducts Annual Activity Assessment Meeting,Eritrea Ministry of Information (Shabait),,2026-08-05,day,ERI,dpi.govtech; gov.policy,,2026-08-08,https://shabait.com/2026/08/05/ministry-of-justice-conducts-annual-activity-assessment-meeting/,
General Addressing Issues,Universal Postal Union,,2026-08-01,month,ERI,dpi.registry,universal-postal-union; government-of-eritrea,2026-09-01,https://www.upu.int/UPU/media/upu/documents/PostCode/General-Addressing-Issues.pdf,
"Data Protection in Eritrea: Law, Regulator, Enforcement",Law Lab Africa,,2026-08-01,day,ERI,gov.legislate; gov.protect,lawlab-africa; government-of-eritrea,2026-09-01,https://research.lawlab.africa/eritrea/,
Concluding Observations and Recommendations of the African Committee of Experts on the Rights and Welfare of the Child to the Government of the State of Eritrea on its Second Periodic Report,African Committee of Experts on the Rights and Welfare of the Child (ACERWC),,2026-07-22,day,ERI,dpi.registry,acerwc; government-of-eritrea; eritrea-national-statistics-office,2026-09-01,https://www.acerwc.africa/sites/default/files/2026-07/503.26_Eritrea%20Concluding%20Observations%2022.07.2026.pdf,
Concluding Observations and Recommendations of the African Committee of Experts on the Rights and Welfare of the Child to the Government of the State of Eritrea on its Second Periodic Report on the Implementation of the African Charter on the Rights and Welfare of the Child,African Committee of Experts on the Rights and Welfare of the Child (ACERWC),,2026-07-22,day,ERI,dpi.id; include.access,acerwc; government-of-eritrea; eritrea-national-statistics-office; eritrea-ministry-of-labour-and-human-welfare,2026-09-01,https://reporting.acerwc.africa/sites/default/files/2026-07/503.26_Eritrea%20Concluding%20Observations%2022.07.2026.pdf,
"Polytech, AI, and the Future: Isaias Okbai on Eritrean Innovation",Eritrea Ministry of Information (shabait.com),,2026-07-21,day,ERI,capacity.training; tech.ai; tech.innovate,polytech; isaias-okbai,2026-09-01,https://shabait.com/2026/07/21/polytech-ai-and-the-future-isaias-okbai-on-eritrean-innovation/,
Innovation and Creativity Displays at National Festival,Shabait (Eritrea Profile / Ministry of Information),,2026-07-21,day,ERI,tech.innovate; tech.ai,,2026-07-30,https://shabait.com/2026/07/21/innovation-and-creativity-displays-at-national-festival/,
Mai-Nefhi College of Engineering and Technology Graduates 297 Students,Eritrea Ministry of Information,,2026-07-18,day,ERI,capacity.training,eritrea-mai-nefhi-college; shabait; government-of-eritrea,2026-09-01,https://shabait.com/2026/07/18/mai-nefhi-college-of-engineering-and-technology-graduates-297-students/,
Genomic sequencing strengthens public health in Eritrea,"World Health Organization, Regional Office for Africa",,2026-07-17,day,ERI,dpi.mis,who; eritrea-ministry-of-health; eritrea-ministry-of-agriculture; eritrea-national-health-laboratory,2026-09-01,https://afro.who.int/countries/eritrea/news/genomic-sequencing-strengthens-public-health-eritrea,
Starlink launches in 27th African country before South Africa,MyBroadband,,2026-07-17,day,CIV; ZAF; NAM; ERI; XAF,infra.connect; gov.policy; geopol.usa,starlink; spacex; icasa,2026-07-20,https://mybroadband.co.za/news/broadband/658586-starlink-launches-in-27th-african-country-before-south-africa.html,
