fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024/25,line,IT infrastructure - Government Network (GOVNET) Project,126 / 11-05 / 1615,infra.connect,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",162525095000,162525000000,"Approved Estimates FY2024/25 Vol. I, Vote 126, Table V2 (Summary of Vote Estimates by Sub-SubProgramme, Department and Project), Programme 11 Digital Transformation, SubProgramme 01 ICT Infrastructure, Sub-SubProgramme 05 IT infrastructure, Project 1615 Government Network (GOVNET) Project, row 1615 Government Network (GOVNET) Project, column 2024/25 Approved Estimates External Fin. (PDF p. 1282)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 126 National Information Technologies Authority. The vote's external-financing table names the financier as International Development Association (IDA). GoU part 0 thousand, so no domestic row. Revised 162.525, released 162.460 and spent 40.988 UShs billion by the end of the fourth quarter per the Annual Budget Performance Report FY2024/25, Table V3.4, PDF p. 4887."
2024,2024/25,line,Resource Enhancement and Accountability Programme (REAP) - Management of ICT systems and infrastructure,008 / 18-01 / 1521 / 560024,dpi.mis,partial,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",1973750000,,"Approved Estimates FY2024/25 Vol. I, Vote 008, Table V5 (Detailed Estimates), Programme 18 Development Plan Implementation, Sub-SubProgramme 01 Budget Preparation, Execution and Monitoring, Project 1521 Resource Enhancement and Accountability Programme (REAP), Budget Output 560024 Management of ICT systems and infrastructure, row Total Cost of Budget Output 560024, column 2024/25 Approved Estimates External Fin. (PDF p. 226)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 008 Ministry of Finance, Planning and Economic Development. The vote's external-financing table names the financier as Joint (Multi/Basket) Financing. GoU part 1,534,679 thousand is the domestic row."
2024,2024/25,line,Resource Enhancement and Accountability Programme (REAP) - Management of ICT systems and infrastructure,008 / 18-08 / 1521 / 560024,dpi.mis,partial,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",2100000000,,"Approved Estimates FY2024/25 Vol. I, Vote 008, Table V5 (Detailed Estimates), Programme 18 Development Plan Implementation, Sub-SubProgramme 08 Public Financial Management, Project 1521 Resource Enhancement and Accountability Programme (REAP), Budget Output 560024 Management of ICT systems and infrastructure, row Total Cost of Budget Output 560024, column 2024/25 Approved Estimates External Fin. (PDF p. 249)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 008 Ministry of Finance, Planning and Economic Development. The vote's external-financing table names the financier as Joint (Multi/Basket) Financing. GoU part 57,641,412 thousand is the domestic row."
2024,2024/25,line,Competitiveness and Enterprise Development Project-CEDP - Land Information Management,012 / 06-02 / 1289 / 140035,dpi.registry,whole,external-loan,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",98230573000,,"Approved Estimates FY2024/25 Vol. I, Vote 012, Table V5 (Detailed Estimates), Programme 06 Natural Resources, Environment, Climate Change, Land And Water Management, Sub-SubProgramme 02 Land, Administration and Management, Project 1289 Competitiveness and Enterprise Development Project-CEDP, Budget Output 140035 Land Information Management, row Total Cost of Budget Output 140035, column 2024/25 Approved Estimates External Fin. (PDF p. 389)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 012 Ministry of Lands, Housing & Urban Development. The vote's external-financing table names the financier as International Bank for Reconstruction and Development (IBRD). GoU part 0 thousand, so no domestic row."
2024,2024/25,line,Competitiveness and Enterprise Development Project-CEDP - Management of ICT systems and infrastructure - Computer Software - Acquisition,008 / 07-03 / 1289 / 560024 / 312423,dpi.govtech,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",482480000,,"Approved Estimates FY2024/25 Vol. I, Vote 008, Table V5 (Detailed Estimates), Programme 07 Private Sector Development, Sub-SubProgramme 03 Development Policy and Investment Promotion, Project 1289 Competitiveness and Enterprise Development Project-CEDP, Budget Output 560024 Management of ICT systems and infrastructure, item 312423 Computer Software - Acquisition, column 2024/25 Approved Estimates External Fin. (PDF p. 203)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 008 Ministry of Finance, Planning and Economic Development. The vote's external-financing table names the financier as International Development Association (IDA). GoU part 0 thousand, so no domestic row."
2024,2024/25,line,"Global Fund for AIDS, TB and Malaria - Facilities and Equipment Management - Computer Software - Acquisition",014 / 12-05 / 0220 / 000003 / 312423,dpi.govtech,whole,external-grant,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",11100000,,"Approved Estimates FY2024/25 Vol. I, Vote 014, Table V5 (Detailed Estimates), Programme 12 Human Capital Development, Sub-SubProgramme 05 Public Health Services, Project 0220 Global Fund for AIDS, TB and Malaria, Budget Output 000003 Facilities and Equipment Management, item 312423 Computer Software - Acquisition, column 2024/25 Approved Estimates External Fin. (PDF p. 485)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 014 Ministry of Health. The vote's external-financing table names the financier as Global Fund for HIV, TB and Malaria. GoU part 0 thousand, so no domestic row."
2024,2024/25,line,"Global Fund for AIDS, TB and Malaria - Facilities and Equipment Management - Computer databases - Acquisition",014 / 12-05 / 0220 / 000003 / 312424,dpi.govtech,whole,external-grant,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",186927000,,"Approved Estimates FY2024/25 Vol. I, Vote 014, Table V5 (Detailed Estimates), Programme 12 Human Capital Development, Sub-SubProgramme 05 Public Health Services, Project 0220 Global Fund for AIDS, TB and Malaria, Budget Output 000003 Facilities and Equipment Management, item 312424 Computer databases - Acquisition, column 2024/25 Approved Estimates External Fin. (PDF p. 485)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 014 Ministry of Health. The vote's external-financing table names the financier as Global Fund for HIV, TB and Malaria. GoU part 0 thousand, so no domestic row."
2024,2024/25,line,URC Capacity Building Project - Railway Services - Computer Software - Acquisition,016 / 09-06 / 1563 / 260022 / 312423,dpi.govtech,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",4607522000,,"Approved Estimates FY2024/25 Vol. I, Vote 016, Table V5 (Detailed Estimates), Programme 09 Integrated Transport Infrastructure And Services, Sub-SubProgramme 06 Rail, Air and Inland Water Transport, Project 1563 URC Capacity Building Project, Budget Output 260022 Railway Services, item 312423 Computer Software - Acquisition, column 2024/25 Approved Estimates External Fin. (PDF p. 554)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 016 Ministry of Works and Transport. The vote's external-financing table names the financier as Africa Development Bank (ADB), Africa Development Fund (ADF), Spain. GoU part 154,800 thousand is the domestic row."
2024,2024/25,line,GKMA Urban Development Project - Infrastructure Development and Management - Computer Software - Acquisition,023 / 10-02 / 1798 / 000017 / 312423,dpi.govtech,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",100000000,,"Approved Estimates FY2024/25 Vol. I, Vote 023, Table V5 (Detailed Estimates), Programme 10 Sustainable Urbanisation And Housing, Sub-SubProgramme 02 Economic Development, Project 1798 GKMA Urban Development Project, Budget Output 000017 Infrastructure Development and Management, item 312423 Computer Software - Acquisition, column 2024/25 Approved Estimates External Fin. (PDF p. 832)",2024-07-26-uga-approved-estimates-2024-25-vol-1-central-government-companion,2026-09-24,"Vote 023 Ministry of Kampala Capital City and Metropolitan Affairs. The vote's external-financing table names the financier as International Development Association (IDA). GoU part 0 thousand, so no domestic row."
2025,2025/26,line,IT infrastructure - Government Network (GOVNET) Project,126 / 11-05 / 1615,infra.connect,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",197082528000,,"Approved Estimates FY2025/26 Vol. I, Vote 126, Table V2 (Summary of Vote Estimates by Vote Function, Department and Project), Programme 11 Digital Transformation, Vote Function 05 IT infrastructure, Project 1615 Government Network (GOVNET) Project, row 1615 Government Network (GOVNET) Project, column 2025/26 Approved Estimates External Fin. (PDF p. 1450)",2025-07-24-uga-approved-estimates-2025-26-vol-1-central-government-companion,2026-09-24,"Vote 126 National Information Technologies Authority. The vote's external-financing table names the financier as International Development Association (IDA). GoU part 0 thousand, so no domestic row."
2025,2025/26,line,Uganda Learning Acceleration Program (ULEARN) - Education Data and Information Management Services,013 / 12-05 / 1995 / 320116,dpi.mis,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",2000000000,,"Approved Estimates FY2025/26 Vol. I, Vote 013, Table V5 (Detailed Estimates), Programme 12 Human Capital Development, Vote Function 05 Basic and Secondary Education, Project 1995 Uganda Learning Acceleration Program (ULEARN), Key Service Area 320116 Education Data and Information Management Services, row Total Cost of Key Service Area 320116, column 2025/26 Approved Estimates External Fin. (PDF p. 513)",2025-07-24-uga-approved-estimates-2025-26-vol-1-central-government-companion,2026-09-24,"Vote 013 Ministry of Education and Sports. The vote's external-financing table names the financier as International Development Association (IDA). GoU part 0 thousand, so no domestic row."
2025,2025/26,line,URC Capacity Building Project - Railway Services - Computer Software - Acquisition,016 / 09-06 / 1563 / 260022 / 312423,dpi.govtech,whole,external,UGX,"Thousand Uganda Shillings as printed; stored normalised to units (x1,000)",12079163000,,"Approved Estimates FY2025/26 Vol. I, Vote 016, Table V5 (Detailed Estimates), Programme 09 Integrated Transport Infrastructure And Services, Vote Function 06 Rail, Air and Inland Water Transport, Project 1563 URC Capacity Building Project, Key Service Area 260022 Railway Services, item 312423 Computer Software - Acquisition, column 2025/26 Approved Estimates External Fin. (PDF p. 666)",2025-07-24-uga-approved-estimates-2025-26-vol-1-central-government-companion,2026-09-24,"Vote 016 Ministry of Works and Transport. The vote's external-financing table names the financier as Africa Development Fund (ADF), Spain. GoU part 97,531 thousand is the domestic row."
