title,publisher,author,published,date_precision,places,topics,entities,ingested,url
"PAPSS Targets China, India Payment Markets by Early 2027",Todays Echo,,2026-09-10,day,XAF,dpi.pay; geopol.china; geopol.india,papss; afreximbank,2026-09-10,https://todaysecho.com/papss-targets-china-india-payment-markets-by-early-2027/
Airtel Africa to Invest $1.1bn for Network Expansion across Africa,ThisDay,,2026-09-10,day,XAF; NGA,infra.connect; finance.new,airtel-africa,2026-09-10,https://www.thisdaylive.com/2026/09/10/airtel-africa-to-invest-1-1bn-for-network-expansion-across-africa/
ATU calls for stronger spectrum policy as Africa prepares for WRC-27,TechReviewAfrica,,2026-09-10,day,XAF; TUN,gov.regional; gov.policy; infra.connect,african-telecommunications-union,2026-09-10,https://www.techreviewafrica.com/news/7102/atu-calls-for-stronger-spectrum-policy-as-africa-prepares-for-wrc-27
Can PAPSS overcome regulatory hurdles to transform intra-African payments?,TechCabal,,2026-09-10,day,XAF,dpi.pay; gov.regional,papss; afreximbank,2026-09-10,https://techcabal.com/2026/09/10/papss-payment-network-africans-use/
Intelligence artificielle : l’Afrique peut-elle échapper à une nouvelle forme de colonisation technologique ?,Maliweb,,2026-09-10,day,XAF,tech.ai; gov.discourse; infra.store,,2026-09-10,https://www.maliweb.net/international/intelligence-artificielle-lafrique-peut-elle-echapper-a-une-nouvelle-forme-de-colonisation-technologique-3119820.html
Interview: Liquid bets on AI as next growth frontier for Africa's fibre network,TechTrends KE,,2026-09-10,day,KEN; XAF,infra.connect; tech.ai; infra.store,liquid-intelligent-technologies; cassava-technologies,2026-09-10,https://techtrendske.co.ke/2026/09/10/interview-liquid-bets-on-ai-as-next-growth-frontier-for-africas-fibre-network/
"Nigeria Links Data Sovereignty, AI to Fresh Digital Infrastructure Investment",Leadership,,2026-09-10,day,NGA; XAF,gov.protect; infra.store; tech.ai,nitda; africa50,2026-09-10,https://leadership.ng/nigeria-links-data-sovereignty-ai-to-fresh-digital-infrastructure-investment
Kagame Seeks Removal of Technology Export Restrictions to Africa,KT Press,,2026-09-10,day,RWA; XAF,data.satellite; gov.regional; gov.discourse,government-of-rwanda,2026-09-10,https://www.ktpress.rw/2026/09/kagame-seeks-removal-of-technology-export-restrictions-to-africa/
"Korea Eximbank expands Africa financing in AI, critical minerals",The Korea Herald,,2026-09-10,day,XAF,finance.mou; tech.ai; finance.new,african-development-bank; korea-eximbank,2026-09-10,https://www.koreaherald.com/article/10869241
Africa Gets a Seat at the AI Safety Table as Nairobi Hosts Global Report,KICTANet,,2026-09-10,day,KEN; XAF,tech.ai; gov.policy,kictanet; daystar-university,2026-09-10,https://www.kictanet.or.ke/africa-gets-a-seat-at-the-ai-safety-table-as-nairobi-hosts-global-report/
"At ITW Africa 2026, Africa's Digital Future Came Down to Power, Fibre and Execution",Kenya Engineer,,2026-09-10,day,XAF; KEN,infra.connect; infra.store; gov.regional; tech.ai; infra.energy,africa-data-centres,2026-09-10,https://www.kenyaengineer.co.ke/at-itw-africa-2026-africas-digital-future-came-down-to-power-fibre-and-execution/
"AWS puts $2.3bn behind Africa's cloud, AI future",ITWeb South Africa,,2026-09-10,day,ZAF; XAF,infra.store; geopol.usa; capacity.training,amazon-web-services,2026-09-10,https://www.itweb.co.za/article/aws-puts-23bn-behind-africas-cloud-ai-future/PmxVE7KEYWxqQY85
Interview: Liquid targets Africa's data centre gap,ITWeb Africa,,2026-09-10,day,KEN; XAF,infra.store; tech.industry,liquid-intelligent-technologies; cassava-technologies,2026-09-10,https://www.itweb.africa/article/interview-liquid-targets-africas-data-centre-gap/xA9POvNE2Gxqo4J8
"Intelligence artificielle en Afrique : avant le numérique, bâtir les fondations",Fraternite Matin,,2026-09-10,day,XAF,tech.ai; gov.discourse; infra.capacity,,2026-09-10,https://www.fratmat.info/article/2644414/economie/intelligence-artificielle-en-afrique-avant-le-numerique-batir-les-fondations
Mozambique's Internet Shutdown Case: African Courts Draw a Line on Executive Power,Collaboration on International ICT Policy for East and Southern Africa (CIPESA),,2026-09-10,day,MOZ; XAF,infra.connect; gov.legislate,cipesa; constitutional-council-mozambique; incm-mozambique; achpr,2026-09-10,https://cipesa.org/2026/09/mozambiques-internet-shutdown-case-african-courts-draw-a-line-on-executive-power/
Oversight and supervision in open finance: Considerations for African regulators,Cenfri,,2026-09-10,day,XAF,gov.policy; gov.protect; include.access,cenfri; giz,2026-09-10,https://cenfri.org/articles/oversight-and-supervision-in-open-finance-considerations-for-african-regulators/
"The next bottleneck for African digital identity is infrastructure, not software",Biometric Update,,2026-09-10,day,XAF; CMR,dpi.id; infra.capacity; infra.store,wiocc; africa-finance-corporation; cybastion,2026-09-10,https://www.biometricupdate.com/202609/the-next-bottleneck-for-african-digital-identity-is-infrastructure-not-software
S. Korea vows closer cooperation with African partners at KOAFEC meeting,Yonhap News Agency,,2026-09-09,day,XAF; TZA,finance.mou; tech.ai; infra.store; capacity.training,korea-edcf; african-development-bank; ministry-of-economy-and-finance-korea; micit-tanzania,2026-09-09,https://en.yna.co.kr/view/AEN20260909007200320
"S. Korea, Africa hold complementary strengths in AI era: AfDB president",Yonhap News Agency,,2026-09-09,day,XAF,tech.ai; gov.discourse,african-development-bank; korea-africa-ministerial-conference,2026-09-09,https://en.yna.co.kr/view/AEN20260909006700320
"Stakeholders close CCDA-14 with strong calls for climate finance, stronger agency and delivery ahead of COP31",UN Economic Commission for Africa,,2026-09-09,day,XAF,gov.regional; data.statistics; data.satellite,uneca; african-union-commission,2026-09-10,https://www.uneca.org/stories/stakeholders-close-ccda-14-with-strong-calls-for-climate-finance%2C-stronger-agency-and
[Blog] Africa's economy is growing depending on which spreadsheet you're reading,UN Economic Commission for Africa,,2026-09-09,day,XAF,data.statistics; gov.discourse,uneca,2026-09-10,https://www.uneca.org/stories/%5Bblog%5D-africa%27s-economy-is-growing-depending-on-which-spreadsheet-you%27re-reading
TerraPay and Alipay+ Partner to Enable Cross-Border QR Payments for African Wallets,Tech Africa News,,2026-09-09,day,XAF,dpi.pay,terrapay; alipay-plus,2026-09-09,https://techafricanews.com/2026/09/09/terrapay-and-alipay-partner-to-enable-cross-border-qr-payments-for-african-wallets/
Africa doesn’t need to build the next ChatGPT to win the AI race,TechCabal,,2026-09-09,day,ZAF; XAF,tech.ai; tech.industry,4sight-holdings; abb-group,2026-09-09,https://techcabal.com/2026/09/09/africa-doesnt-need-to-build-the-next-chatgpt-to-win-ai-race/
"Kenya Eyes Digital Infrastructure Hub Status as ITW, Datacloud Africa Open in Nairobi",Scholar Media Africa,,2026-09-09,day,XAF; KEN,infra.store; infra.connect; gov.regional; tech.ai,communications-authority-of-kenya,2026-09-10,https://scholarmedia.africa/africa/kenya-eyes-digital-infrastructure-hub-status-as-itw-datacloud-africa-open-in-nairobi
Trust in the Machine? Practitioner Perspectives on the Role of AI in Online Content Moderation,Policy & Internet,Elena Martellozzo; Kylie McCarthy; Megan Trafford; Emmanuel Adinkrah; Paul Bleakley,2026-09-09,day,XAF,tech.ai; tech.industry,,2026-09-10,https://doi.org/10.1002/poi3.70059
The government has decided to cooperate with 45 African countries in the artificial intelligence (AI) sector,"Maeil Business Newspaper (MK), English edition",,2026-09-09,day,XAF,finance.mou; tech.ai; infra.store,korea-edcf; african-development-bank; ministry-of-economy-and-finance-korea,2026-09-09,https://www.mk.co.kr/en/economy/12148393
"PM Abiy Calls for African Technological Sovereignty, Digital Self-Determination",Fana Media Corporation,,2026-09-09,day,XAF; ETH,gov.protect; gov.discourse; tech.ai,abiy-ahmed; african-union,2026-09-10,https://www.fanamc.com/english/pm-abiy-calls-for-african-technological-sovereignty-digital-self-determination/
COMESA Calls for Agile Regulation to Keep Pace with Africa's Rapid Digital Transformation,Common Market for Eastern and Southern Africa (COMESA),,2026-09-09,day,XAF,gov.regional; gov.legislate; infra.cybersec,comesa; aricea,2026-09-10,https://www.comesa.int/comesa-calls-for-agile-regulation-to-keep-pace-with-africas-rapid-digital-transformation/
Science Diplomacy and Africa's Quantum Horizon: Beyond Economic Development,Centre for International Governance Innovation (CIGI),,2026-09-09,day,XAF,tech.innovate; capacity.research; gov.regional; gov.discourse,cigi; african-union; africa-quantum-consortium,2026-09-10,https://www.cigionline.org/publications/science-diplomacy-and-africas-quantum-horizon-beyond-economic-development/
The Pulse of African Agriculture Is Young and Digital,Caribou,,2026-09-09,day,XAF,digital.rural; capacity.training,caribou; mastercard-foundation,2026-09-10,https://caribou.global/publications/the-pulse-of-african-agriculture-is-young-and-digital/
African delegations study India's digital identity systems under UNDP mission,Biometric Update,,2026-09-09,day,XAF,dpi.id; geopol.india,undp,2026-09-10,https://www.biometricupdate.com/202609/african-delegations-study-indias-digital-identity-systems-under-undp-mission
African Delegations Seek Common Ground in Tunis Ahead of 2027 World Radiocommunication Conference,African Telecommunications Union (ATU),,2026-09-09,day,XAF; TUN,gov.regional; infra.connect; gov.standards,african-telecommunications-union; itu; agence-nationale-des-frequences-tunisie,2026-09-10,https://atuuat.africa/african-delegations-seek-common-ground-in-tunis-ahead-of-2027-world-radiocommunication-conference/
Afreximbank plans PAPSS-Instapay link to expand Egypt-Africa cross-border payments,Ahram Online,,2026-09-09,day,EGY; XAF,dpi.pay; gov.regional,papss; afreximbank; central-bank-of-egypt,2026-09-10,https://english.ahram.org.eg/News/576342.aspx
Africa's AI Push Needs Authority Limits for Autonomous Agents,iAfrica,,2026-09-09,day,XAF,tech.ai; gov.discourse,african-union-commission,2026-09-10,https://iafrica.com/africas-ai-push-needs-authority-limits-for-autonomous-agents/
Africa Builds a Digital Highway for Trade,Business Times (Uganda),,2026-09-09,day,XAF; GHA,gov.regional; dpi.pay; infra.connect,afcfta; quest-ghana,2026-09-10,https://businesstimesug.com/africa-builds-a-digital-highway-for-trade/
Africa Accelerator for Digital Public Infrastructure (AA4DPI),United Nations Development Programme,,2026-09-08,day,XAF,dpi.govtech; dpi.id; dpi.pay; dpi.exchange; gov.regional,undp; africa-accelerator-for-digital-public-infrastructure; undp-regional-bureau-for-africa,2026-09-08,https://www.undp.org/africa/projects/africa-accelerator-digital-public-infrastructure-aa4dpi
UNDP's AA4DPI Programme Deepens South-South Cooperation on Digital Public Infrastructure,United Nations Development Programme (UNDP),,2026-09-08,day,ETH; MWI; RWA; SLE; ZMB; XAF,gov.policy; dpi.exchange; dpi.id; dpi.pay; infra.capacity,undp; african-union,2026-09-09,https://www.undp.org/africa/press-releases/undps-aa4dpi-programme-deepens-south-south-cooperation-digital-public-infrastructure
"Nigeria, fintechs critical to Africa's payment integration",The Sun Nigeria,,2026-09-08,day,NGA; XAF,dpi.pay; gov.regional; tech.ai,papss; afreximbank,2026-09-10,https://thesun.ng/nigeria-fintechs-critical-to-africas-payment-integration/
Africa's Pension Tech Gap: Why Retirement Savings Remain Largely Offline,TechTrends Africa,,2026-09-08,day,XAF; NGA,dpi.pay; include.access,national-pension-commission-nigeria; awabah,2026-09-08,https://techtrends.africa/africas-pension-tech-gap/
"This AI research company wants to put 1,000 African languages into AI",TechCabal,,2026-09-08,day,XAF,tech.ai; capacity.research,african-languages-lab,2026-09-08,https://techcabal.com/2026/09/08/mansa-ai-african-languages/
DCSPay Partners With Kotani Pay to Expand Stablecoin Payouts Across Africa,Tech Africa News,,2026-09-08,day,XAF,dpi.pay,dcspay; kotani-pay; dcs-group,2026-09-08,https://techafricanews.com/2026/09/08/dcspay-partners-with-kotani-pay-to-expand-stablecoin-payouts-across-africa/
