A. KEY FACTORS DURING PREPARATION	15424,87,90,62,68,1221
A. Report Data Prepared	15758
ACCOUNTING STANDARDS FOR THE PREPARATION	11955
AFE DIME Batch Preparation Impact Evaluation	12972
AI Preparedness Index	11140
ANGOLA HEALTH EMERGENCY PREPAREDNESS	11417
APPROACH AND METHODOLOGY TO PREPARATION	12253
ARV for PrEP	4167
ASCON National Preparedness	11857
Accountant General Prepared	15148
Actividades de Preparação	11421,156
Adaptation and Disaster Preparedness	14818
Administrative Preparation	15372
Africa. Preparing the Region	15447
African Development In Preparation	15661
African Preparatory Meeting	6642,432
African Preparatory Meeting for WRC-27	7074
African Union Commission Prepared	3058
Africa’s Preparedness and Response	11283
Afrimoney Prepaid Visa Card	6355
Afrimoney Prepaid Visa Card Launched	6355
Agencies Preparation of TORs	2989
Ahmad Aliwa Preparatory School	15578
Al-Jamamizi Preparatory and Secondary School	15578
Al-Sharaqwa Preparatory and Secondary School	15578
Analysis of Integrated Prepaid Tariff Plans	11259
Analysis of Prepaid Out-of-Bundle	11259
Analysis of Promotional Prepaid Data Tariffs	11259
Analysis of Standard Prepaid Data Tariffs and Data	11259
Analysis of Standard Prepaid Integrated Bundles	11259
Analysis of Standard Prepaid Voice Tariffs	11259
Angola Angola Health Emergency Preparedness	11417
Angola Health Emergency Preparedness	11417
Appraisal Stage Date Prepared	14954
Appraisal Stage. Date Prepared	761,13032
Approach. Preparations	13673
Approval Prepared	1988
Approved By The African Department Prepared	13624
Asuer Connect Prepaid Tariff Plan	11259
Authority Preparatory Meeting	6946
Avaliação da Preparação	5663
B. Preparation	15161
B. Preparation of Bids	13527
B.10 Prepare	15604
BASIS OF PREPARATION	1154,9639,3943
BASIS OF PREPARATION OF PUBLIC ACCOUNTS	13420
BUDGET PREPARATION INSTRUCTIONS	15790
Bank Angola Health Emergency Preparedness	11417
Bankable Project Preparation	17260
Basis of Preparation	13053
Basis of Preparation of Public Accounts	13420
Bid Preparation and Evaluation	14835
Botswana Health Emergency Preparedness	12583
Boys Preparatory	15604
Budget Policy Framework Paper Prepared	14986
Budget Preparation	15090
Budget Preparation Guidelines	15790
Budget Preparation Guidelines URL	15790
Budget Preparation Guidelines v2.pdf	15790
Budget Preparation Module and CSM	16949
Budget Preparation Module and Civil Service Module	16949
Budget Preparation Module and EFT	16949
Budget Preparation Module and Electronic Funds Transfer	16949
Building Law No. Preparation	15473
Bureau of Quarterly Prepare the Facilities Statistics	16863
C-Connect Prepaid Data Bundles	11259
C. Lagging Preparedness Sub-Saharan Africa	11140
C. PREPARATION OF BIDS	14766
C. PREPARATION OF PROPOSALS	15080
C. Preparation of Applications	1638
C. Preparation of Bids	13185,1581
C. Preparation of Bids C.1. Language	14778
C. Preparation of Bids ITB	13185
C. Preparation of Proposals	15080
C. Preparedness and Response Capabilities The NDMA	12977
CENTER PREPARED FOR HAUS	10861
CENTRAL AFRICA Technical Report Prepared	10841
CLASSE PREPA	15674
CLASSES PREPA INTEGREES	15674
CLASSES PREPARATOIRES LYCEE NATIONAL LEON MBA	15674
CNI Preparation	11876
COLE DE PREPARATION AUX CARRIERES ADMINISTRATIVES	16381
COST Stage of Project Cycle Preparation FY20	16436
COVID-19 Preparedness and Response Project	16922
COVID-19 Strategic Preparedness and Response	10829
COVID-19 Strategic Preparedness and Response Project	11417
CSEA Digital Preparedness Index	5724
CYBERSECURITY AWARENESS AND PREPAREDNESS Compiled	1686
Cameroon Prepared	10997
Cards Prepaid Cards Mobile Money Subscribers	6978
