DG INTPA	970,10185,3367
DG INTPA Directorate General for International Partnerships	970
DGs INTPA MENA and ENEST. DG Trade	11155
European Commission DG INTPA	14108
INTPA	251,97,1,2,1,1,112,1,1,2,1,158,2,1,1,1,1,204,1,1,1,2,1,1,1,1,2,219,1,1,1,1,1,6,2,361,1,1,1,1,1,1,4,1,1,1,4
INTPA Crosswalk	187,65,98,114,4,3,158,6,207,6,218,1,7,1,1,1,1,2,369,1,6,1,1,2,1
INTPA Subject	1451,11
INTPA.F3	13325
SDGs. DG INTPA	11155
XI-IATI-EC INTPA-2017-ACT-D-38223-00	187
XI-IATI-EC INTPA-2018-ACT-D-41014-00	251
XI-IATI-EC INTPA-2018-PCC-398140	252
XI-IATI-EC INTPA-2019-ACT-D-40000-00	350
XI-IATI-EC INTPA-2019-ACT-D-42288-00	353
XI-IATI-EC INTPA-2019-PCC-407797	348
XI-IATI-EC INTPA-2019-PCC-408640	349
XI-IATI-EC INTPA-2019-PCC-411583	352
XI-IATI-EC INTPA-2019-PCC-411584	351
XI-IATI-EC INTPA-2020-ACT-D-41820-00	468
XI-IATI-EC INTPA-2020-ACT-D-41855-00	466
XI-IATI-EC INTPA-2020-ACT-D-42514-00	469
XI-IATI-EC INTPA-2020-ACT-D-42801-00	467
XI-IATI-EC INTPA-2020-PCC-418842	464
XI-IATI-EC INTPA-2020-PCC-418872	471
XI-IATI-EC INTPA-2020-PCC-420279	465
XI-IATI-EC INTPA-2020-PCC-421671	470
XI-IATI-EC INTPA-2021-ACT-60686	630
XI-IATI-EC INTPA-2021-ACT-60933	634
XI-IATI-EC INTPA-2021-ACT-61007	631
XI-IATI-EC INTPA-2021-ACT-61126	632
XI-IATI-EC INTPA-2021-ACT-61133	628
XI-IATI-EC INTPA-2021-ACT-62327	1453
XI-IATI-EC INTPA-2021-ACT-62363	1455
XI-IATI-EC INTPA-2021-ACT-62401	1452
XI-IATI-EC INTPA-2021-ACT-62451	1444
XI-IATI-EC INTPA-2021-ACT-62566	1454
XI-IATI-EC INTPA-2021-PCC-420559	633
XI-IATI-EC INTPA-2021-PCC-428847	629
XI-IATI-EC INTPA-2021-PCC-430034	635
XI-IATI-EC INTPA-2022-ACT-60663	844
XI-IATI-EC INTPA-2022-ACT-60671	843
XI-IATI-EC INTPA-2022-ACT-60728	842
XI-IATI-EC INTPA-2022-ACT-60893	838
XI-IATI-EC INTPA-2022-ACT-61214	846
XI-IATI-EC INTPA-2022-ACT-61237	841
XI-IATI-EC INTPA-2022-ACT-61416	839
XI-IATI-EC INTPA-2022-PC-16632	849
XI-IATI-EC INTPA-2022-PC-17718	847
XI-IATI-EC INTPA-2022-PC-19538	845
XI-IATI-EC INTPA-2022-PC-23588	840
XI-IATI-EC INTPA-2022-PCC-435475	848
XI-IATI-EC INTPA-2023-ACT-61702	1081
XI-IATI-EC INTPA-2023-ACT-61794	1449
XI-IATI-EC INTPA-2023-ACT-62059	1068
XI-IATI-EC INTPA-2023-ACT-62060	1069
XI-IATI-EC INTPA-2023-ACT-62086	1077
XI-IATI-EC INTPA-2023-PC-23737	1067
XI-IATI-EC INTPA-2023-PC-25165	1075
XI-IATI-EC INTPA-2023-PC-25192	1076
XI-IATI-EC INTPA-2023-PC-25505	1073
XI-IATI-EC INTPA-2023-PC-25743	1072
XI-IATI-EC INTPA-2023-PC-25925	1074
XI-IATI-EC INTPA-2023-PC-26682	1066
XI-IATI-EC INTPA-2023-PC-26915	1071
XI-IATI-EC INTPA-2023-PC-28597	1079
XI-IATI-EC INTPA-2023-PC-28612	1070
XI-IATI-EC INTPA-2023-PC-28937	1078
XI-IATI-EC INTPA-2023-PC-35283	1080
XI-IATI-EC INTPA-2024-ACT-61053	1445
XI-IATI-EC INTPA-2024-ACT-62421	1461
XI-IATI-EC INTPA-2024-ACT-62753	1443
XI-IATI-EC INTPA-2024-PC-25183	1442
XI-IATI-EC INTPA-2024-PC-28075	1460
XI-IATI-EC INTPA-2024-PC-36046	1447
XI-IATI-EC INTPA-2024-PC-36135	1448
XI-IATI-EC INTPA-2024-PC-36283	1462
XI-IATI-EC INTPA-2024-PC-36405	1450
XI-IATI-EC INTPA-2024-PC-37118	1458
XI-IATI-EC INTPA-2024-PC-37624	1446
XI-IATI-EC INTPA-2024-PC-37646	1451
XI-IATI-EC INTPA-2024-PC-37650	1457
XI-IATI-EC INTPA-2024-PC-37989	1456
XI-IATI-EC INTPA-2024-PC-41337	1459
