A. RESULTS FRAMEWORK PDO Indicators	11924,4512,1526
A.2 Intermediate Results Indicators Component	15424,177,62
A.2 Intermediate Results Indicators Formally Revised	15511
A.5 Survey Results	15247
ACTAS RESUMO DOS ENCONTROS COM	11406
AFE HEPRR Program Results Chain Official	11417
AFFECTATION DES RESULTATS	19260
AFFECTATION DU RESULTAT	18032
AFFECTATION DU RESULTAT DEFICITAIRE	18032
AMONG PARLIAMENTARIANS Resumption	12737
ANA Exemplars Matric Results Curriculum Curriculum	11241
ANA Exemplars Matric Results Examinations Grade	11220
ANA Exemplars Matric Results Research EMIS	11220
ANALYSIS AND RESUL TS	8605
ANNUAL RESULTS REPORT	14959
ANÁLISE DOS PRINCIPAIS RESULTADOS	11391
ANÁLISE DOS PRINCIPAIS RESULTADOS DO CENSO	10766
ANÁLISE DOS PRINCIPAIS RESULTADOS Este	11391
ARREST AGENDA INTO RESULTS	10581
ASYCUDAWorld Customs Management System. Result	16631
ASYCUDAWorld Result Launched	16631
ASYCUDAWorld. Result	16631
ASYCUDAWorld. Result ASYTIN	16631
Abbreviations Results	10793
Academic Results Monitoring	16963
Accelerating Results	15661,76,699
Access the Virtual Results Operations Centre	7266
Accuracy Kappa Index Results Indicators	17140
Achievements Project Results Indicator Appraisal Additional	15663
Achievements Project Results Indicator Baseline Target	15663
Action Plan RBF Results-based Financing RfB	16896
Actions and Outcomes Result Actions A Strong	958
Administration Fiscale RESULTATS ATTENDUS	10712
Administration Pedagogique Resume	14472
AfDB Implementation Progress and Results Report	13966
AgricultureCensus Results	16833
AgricultureSurvey Results	16833
All Result No Result View All	4619
Ambiente Resumo São Tomé	18760
Angolan Institutions. Results	10784
Announcing the Results Article	15393
Annual Results Report	12257,1732,4136
Annual Results Report URL	18125
Approach for Better Education Results	15604
Ariadne Labs and Results for Development	17869
Assess and Use Results	396
Assess and Use Results Evaluation	1824
Assessment Results	1953
Authorized IMPLEMENTATION COMPLETION AND RESULTS REPORT	16436
B RESULTS MATRIX RESULTS CHAIN	13938
B RESULTS MATRIX UNIT BASELINE TARGET	11863
B. PDO Level Results Indicators	18887
B. Results	14132
B. Results M&E	19245
B. Results Monitoring	15743,401,240
B. Results Monitoring and Evaluation	11525,3847,39,2030,17,1429
B. Results Monitoring and Evaluation Arrangements	969,295,603,1737,2935,4229,61,135,416,37,132,11,295,1476,1,1605,554,24,3,35,68,37,1,2,1288,1155,94,95,8,476,462
B.Â PDO Level Results Indicators	18887
B.Â Results Monitoring and Evaluation	18887
Bank's Results-Measurement Tool	4840
Baseline Result Month	16436
Bayobab. Results	10793
Better Outcomes and Results	11905
Better Outcomes and Results UNESCO Treasury Single	11905
Birth Registration Pilot Results Helen Nyangoya	17070
Body ANNUAL RESULTS REPORT	13163
Body Malawi Foundational Learning Program for Results	13058
Breve Resumo	15684
Breve Resumo1 Cabo Verde	15684
Brief Resume	10765,10
Budgeting RBM Results-Based Management SADC Southern	19042
Built Results	9129
Burkina Faso. RESULTATS DEFINITIFS DU RGE	10875
Burundi RESULT NO PDO Additional Financing	1284
Business Planning Results	11469
C. PDO Level Results Indicators	15411
C. PDO-Level Results Indicators	11525
C. Parent Project Status and Results	13459
C2D AFD PUBLICATION DU RESULTAT D'ATTRIBUTION	16666
CADEIA DE RESULTADOS	11390
CADRE DE RESULTATS DU PROGRAMME INDICATIF	15500
CADRE LOGIQUE AXE SUR LES RESULTATS	17842,449
CAR ACCELERATING RESULTS	15661
CAR Accelerating Results	15661,76
CARD PRESENT VERIFICATION RESULT	17537
CARD PRESENT VERIFICATION RESULT Causes Solution	17537
CENSUS PUBLICATION 20260826152056 039d1199.pdf FINAL RESULTS	16921
CHANGES INCORPOTATED IN THE RESULTS FRAMEWORK	15782
CHANGES Implementing Agency Results Framework Changed	1228
CHANGES TO RESULTS FRAMEWORK	15663
CHANGES TO RESULTS FRAMEWORK Indicator Name	15663
CITCG. B. Results Monitoring and Evaluation	15372
CNE Resultado	16898
CNSS Collection Results Area Improving	19284
CNSS. RESULTATS DEFINITIFS DU RGE	10875
CNT INEGE Resultado	16898
COMPLETION AND RESULTS REPORT	17862
COMPTE DE RESULTAT	17833,199
COMPTE DE RESULTAT CIB	17841
CONSIDERER RESULTATS DERNIERE DESCENTE	10975
CONTROLE DE VERSÕES Versão Resumo	11532
COULIBALY RESULTATS DEFINITIFS DU RGE	10875
COUNTING AND TABULATION OF RESULTS	12201
COUNTING AND TABULATION OF RESULTS Counting	12201
COUT DU RISQUE RESULTAT D’EXPLOITATION	17841
CPF Intervention Logic and Results	11468
CPF Results Area II	15983
CRI Corporate Results Indicator	11965
