C. Cobo	6948
CGICTPF and GICTF. COBIT	1009
CHC Council for Scientific and Industrial Research COBIT	1009
COB BIRR	1732,1,1
COBAC	4785,568,714,688,14,169,1126,106,1007
COBE Act	4896
COBE the Memo and Articles	4896
COBE. Accordingly	4896
COBETWIN TECHNICAL LIMITED Data Controller INST-863721C2A8A	7167
COBETWIN TECHNICAL LIMITED Data Processor INST-863721C2A8A	7167
COBIT	1009,677,3991,3560
COBIT-informed	9237
COBIT2019	9237
COBIT28	1009
COBIT3	1009
COBRA SECURITY COMPANY LIMITED Data Controller	7167
COBUIN SOLUTIONS LIMITED Data Controller INST-9706484FA5B	7167
Che Cob	7759
Che Cob and Ali	7759
Cobac	4127,4096,134,2116
Cobbe	8283
Cobbe and Singh2018	8436
Cobbe and Singh2020	8436
Cobertura	4436
Cobertura Escolar	4209
Cobertura Não Significa	9559
Cobertura Sanitaria Universal CT&I	1701
Cobertura de Internet	2132,2323,647
Cobranet Ltd	3862
Cobrança Coerciva	2866
Cobrar	744
Cobweb Communication Ltd	3862
Conseil POUR LE NICKEL COBALT LATÉRITIQUE	2342
DEVOLUCIÓN DE INGRESOS COBRADOS	4209
Guidelines COBIT	9237
Health Centre COBIT CSIR Control Objectives	1009
Huayou Cobalt	7014
ITIL and COBIT Vendor Management	6432
Inquérito de Cobertura. Os	4040,4
Legacy COBOL Systems	6432
Mr. James Kanja Cobba	8271
Planeamento de Cobertura	9559
REGULAMENTO DAS TAXAS A COBRAR PELA	744
Reference Cobbe	8283
TAXAS A COBRAR PELA AGÊNCIA	744
