Appelé NEKKAL	6882,11524
Caledonspoort and Qacha's Nek	12742
Financement du NEKKAL	3381
Manali Nekkanti and Shivani Pandya	10881
Minister of Works and Transport Veikko Nekundi	11681
NEKKAL	6882,11459,65
Nekkal	555,1200,16630
Nekkal Salime	16230
Nekmahmud	9129
Nekoto	11140
Nekundi	10626,1055,795
OMWENE PSYCHE DAMIAN NEKUNYA	12478
Qacha's Nek	309,12345,1,28,41,39,4
Qacha's Nek and Mokhotlong	12767
Quthing and Qacha's Nek	12753
Quthing and Qacha's Nek Police Stations	12763
Quthing and Qacha's Nek. Following	12668
Veikko Nekundi	10626,1850
