Arms Embargo and Travel Ban	7845,6964,19,3
BAN CENOR	15694
BAN COU MANA	17828
BAN IKAN	17828
Ban Harmful Cultural Practices	17296
Ban Ki-Moon	14723
Cercle de Banamba BAN AMBA	17828
Cercle de Bandiagara BAN DIAG AR	17828
Cercle de Bankass BAN KAS S	17828
Cercle de Dioïla BAN CO	17828
Completely Ban Cross-Border Data Transfers	7173
Etudes Ban-	10237
Greater Ban	332
Meta's News Ban	13461
Ministry of Agriculture Immediate Ban	17157
Ministry of Economy Organizational Ban	17157
NBE Reaffirms Ban	7754
OUN BOU LK IEMD E BAN	10847
Travel Ban	7845
UN Secretary-General Ban Ki-Moon	15411
Yifang Ban	2816
