Informa TechTarget	4434
JOIN OUR TECHTRENDS NEWSLETTER	6385
Nigeria By TechTrends	10133
Okey Chigbu for TechTrends Africa. Counter-narrative	7798
TECHTRENDSKE.co.ke	6385
TechTalkThursday	2459,2166,281,87,385,150,383,275,528,633,1117,1439,685,912
TechTalkThursday The Cost of Empty Capacity	9899
TechTalkThursday Why Connecting Rural Congo Costs	2359,13,87,68,36,30,118,5,38,73,95,11,121,34,20,130,25,37,6,91,61,22,11,33,54,34,36,14,40,26,12,3,1,53,40,95,124,13,13,112,45,4,29,54,220,29,47,10,98,73,98,92,74,21,20,30,170,31,30,91,61,13,2,12,12,47,7,58,2,58,102,75,67,26,56,46,65,1,8,8,1,14,28,62,8,33,16,28,4,8,71,7,18,54,11,5,3,96,47,11,2,12,27,34,3,24,18,34,7,1,30,3,82,57,50,35,3,70,4,171,6,45
TechTalkThursday Why Data Refinement Could Define	2359,13,87,68,36,30,118,5,38,73,95,11,121,34,20,130,25,37,6,91,61,22,11,33,54,34,36,14,40,26,12,3,1,53,40,95,124,13,13,112,45,4,29,54,220,29,47,10,98,73,98,92,74,21,20,30,170,31,30,91,61,13,2,12,12,47,7,58,2,58,102,75,67,26,56,46,65,1,8,8,1,14,28,62,8,33,16,28,4,8,71,7,18,54,11,5,3,96,47,11,2,12,27,34,3,24,18,34,7,1,30,3,82,57,50,35,3,70,4,171,6,45
TechTalkThursday Why Stablecoins Are Becoming Africa	9899,4
TechTapestry	9082
TechTarget	10780,1407,2486
TechTimes	7972
TechTrends Africa	6441,1019,326,332,1484
TechTrends Kenya	4467
TechTrends Media	2133
TechTrendsKE	6385
