A. QUALITY OF MONITORING AND EVALUATION	15424,87,90,62,68,1221,897,13
A.8 Monitor	15604
AAID Monitoring Cycle	17139
ACKNOWLEDGEMENTS The Malawi Economic Monitor	12181
ACOMPANHAMENTO E MONITORIZAÇÃO DO PSE	11523
AI Governance Monitoring System	4528,7984
AI-Driven Predictive Epidemiology for Malaria Monitoring	13805
AI-enabled Remote Monitoring System	7534,12
AIIB Project Implementation Monitoring Report	15609
AML Monitoring System	15145
ANEH Obligatoire Santé ANSSA MEASURE Monitoring	17845
ANNUAL REPORT FOREIGN RESEARCHERS MONITORING VISITS	1154
APPLIED DROUGHT MONITORING INDICATORS FOR LIBYA	17157
ARCHITECTURE FOR CHANGE Monitoring	14752
ASSYST International. Monica Miller	10977
ASYPM ASYCUDA Performance Monitoring System CBL	17011
AVALIAÇÃO E MONITORIZAÇÃO	11397
Academic Results Monitoring	16963
Action Monitoring Reports	970
Actively Monitor SLAs	11995
Activity Monitoring	7548
Administration System M&E Monitoring and Evaluation MACs	16949
Administrative Entities Development Agency M&E Monitoring	14942
Advance Monitoring Schedule	13392
Advanced Monitoring	13704
Africa Monitor	7946
African Monitoring	16947
Ag. Director Director Compliance and Monitoring Inspections	6946
Agencies and Counties MERL Monitoring	7548
Agency INRAP Monitoring and Evaluation Ministry of Social	11905
Agreement ANVASAN Food and Nutrition Security Monitoring	17962
Air Quality Monitoring and Forecasting System	16947
Annual Monitoring for Educational Oversight	14787
Application Performance Monitoring ARIA Accessible Rich	11952
Applied Drought Monitoring Indicators for Libya Different	17157
Association M&E Monitoring and Evaluation Mali Méteo	17962
Assurance RTM Real-Time Monitoring SABER Systems	15604
Audit and Monitoring	11952,350
Audit and Monitoring Requirement	11952
Authorisations Monitoring	16839
Auto-scaling Mandatory Monitoring	11952
B Monitoring	961
B. Disclosure and Compliance Monitoring	11863
B. Disclosure and Compliance Monitoring B.1	13938
B. Results Monitoring	15743,401,240
B. Results Monitoring and Evaluation	11525,3847,39,2030,17
B. Results Monitoring and Evaluation Arrangements	969,295,603,1737,2935,4229,61,135,416,37,132,11,295,1476,1,1605,554,24,3,35,68,37,1,2,1288,1155,94,95,8
BENEDIAOU MONIO	15558
Backup Regular Monitoring	9123
Bank Monitor	14744
Bank and UNHCR. The Monitoring and Evaluation	13938
Bank's Monitoring Support	1988
Biannual Monitoring Reports	11224
Bilateral Investment Monitoring and Agreements	16884
Biophysical and Ecological Monitoring System	13144
Bloomwit Africa Monitoring Standard	7445
Bonded Warehouse Monitoring Information System	14985
Broadband Monitoring	11857
Broadcast Content Monitoring	6946
Broadcast Monitoring Room	7957
Broadcast Monitoring Training	7957
Budget Monitoring Committee	14835
Budget Programming and Monitoring	13349
Budget Programming and Monitoring Congo	11907
Budget and One Monitoring and Evaluation Framework	13166
Budget. Regional Monitoring Committees	18370
C. Complaint Monitoring	5676
C. Complaint Monitoring Consumer	5676
C. Monitoring and Evaluation	16975
C.2 Monitor	15604
CAPÍTULO IV EQUIPA DE MONITORIZAÇÃO	10747
CDMU Compact Delivery and Monitoring Unit CEEAC	16037
CEEAC Monitoring Room	11420
CEO of Moniepoint Inc	4725
CHAPTER SIX MONITORING	12185
CIRMR- Monitoring	10721
CITCG. B. Results Monitoring and Evaluation	15372
CIVICUS Monitor	9679,8488
CIVICUS' Civic Space Monitor	15007
COMPLIANCE MONITORING	718
COMPLIANCE MONITORING BY THE MINISTRY RESPONSIBLE	13484
CONTINUOUS COMPLIANCE MONITORING SYSTEMS	3861
CS-REF Economic and Financial Reform Monitoring Unit	969
CYPARSADE Smreetee Disaster Monitoring Officer	14770
Cadre de Monitoring Embarquer	15583
Call for Entries Non-Tariff Barriers Online Monitoring	7020
Central Electronic Monitoring System	14828,2
Central Monitoring Centre	5626
Central Monitoring and Co	2727
Central Monitoring and Co-ordination Centre	2727
Central Monitoring and Coordination Centre	2727
Central Monitoring and Coordination Centre Prohibition	2727
Central Monitoring and Evaluation Division	12240
Centre Broadcasting Monitoring Centre Type Approval	9109
Certified Results-Based Monitoring and Evaluation	17407
Charge of ICT NEA Monitoring and Evaluation ONPT	15372
Chief Gender Monitor	14869
Child Registration MEL Monitoring	13005
Child Rights Monitoring Unit	17228
China MERICS China Monitor	17780
Christian Churches Monitoring Group	9986,31
Civic Freedom Monitor	9022
Civic Space Monitor	9022
Climate Monitoring Maproom	14900
Climate Monitoring Rainfall This Analysis	14900
Coastlines Monitoring Service	10794
Collection Monitoring	11417,488
Commission MER Monitoring	16943
Commissioning Monitoring	12358
Committee for Monitoring Economic Programs	10964
Community Partnerships and Digital Monitoring The Ministry	16049
Community-Based Erosion Monitoring Conduct	17157
Compact Delivery Monitoring Unit	12595
Compact Delivery and Monitoring Unit	12717,3320,151,778
Compact Delivery and Monitoring Unit CPR Compact	16188
Completion and Results Report M&E Monitoring and Evaluation	13836
Compliance Level Monitoring Category Core Requirements	11952
Compliance Monitoring All	17142
Compliance Monitoring and Audit	12302
Components Monitoring	1867
Conduct Inspection and Compliance Monitoring	16978
Conduct Monitoring Nationwide X X X	15845
Consumption and Production Monitoring	970
Continuous Compliance Monitoring Systems	3861
Continuous Monitoring	3861,8134,4217,902
Continuous Monitoring Feedback Loops Incident Reporting	16212
Continuous Monitoring Regular	15061
Continuous Monitoring and Review	14761
Continuous Performance Monitoring	3651
Continuous Security Monitoring CIRMR- CIRMR-CSM	10721
Control and Monitoring	12894
Control and Monitoring Act	12894
Coordination Structure B. Results Monitoring and Evaluation	15553
Coordination and Monitoring	10829
Coordination and Monitoring Committee	6087
Copernicus Land Monitoring Service	16411
Coral Restoration Project Manager Rayd Moniaruch	11332
Corporation of Kenya PCMS Private Capital Monitoring	2775
Corridor Trip Monitoring System	10324
Council M&E Monitoring and Evaluation MPAT Management	11224
Country Economic Monitor	11271
Country LTS Long-Term Strategy M&E Monitoring	10768
Court Administrator. Monitoring	16943
Credit Market Monitoring Programme	13532
Credit Market Monitoring Programme Data	13479
Crop Conditions Monitoring and Analysis Utilise	13925
Current Monitoring Regime	15905
Customs Compliance Monitoring	14718
Cyber Security Monitoring and Management	6946
Cyber Security and Monitoring Centre	972
Cyber Threat Monitoring System	14729
Cybersecurity Risk Monitoring	15054
Cybersecurity and Monitoring Centre	6793,6856
D. MONITORING AND EVALUATION	11863,2075
D. Monitoring and Evaluation	11863,2075
D.G. MONITOREO Y PROG. S. SOC.-Concepto	4209
D.G. MONITOREO Y PROG. S. SOC..-Concepto	4209
DA Monitoring of Employment	10964
DCCMS Enhances Weather Monitoring Capabilities	12988
DDQM District Data Quality Monitor DFSs	16921
DJIBOUTI ECONOMIC MONITOR	11271
DOII MONICA E. N. ASARE NPC	15845
DPI ADP III. Moniepoint	2247
DPME Programme Expenditure Sector Monitoring Services	11224
DRIVEN BY LOCAL PRIORITIES The Monitoring	14752
DRMIS Dashboard Development of Malawi Election Monitoring	12241
DRMS MONITORING AND EVALUATION FRAMEWORK	17011
DRMS Monitoring and Evaluation Framework	17011
DRMS Monitoring and Evaluation Team	17011
DROUGHT CHARACTERIZATION AND MONITORING	17157
Daily Monitor	315,2711,7815
Daily Teacher Attendance Monitoring. A UNICEF	16911
Dark Web Monitoring	17156
Data Collection Tools for Field Monitoring	13395
Data Collection and Monitoring The WRU	14745
Data Collection and Real-Time Monitoring Effective Spectrum	5245
Data Management And Results Monitoring	18160,89
Data Protection Monitoring Information	13331
Data Quality Monitoring	14921
Data Quality Monitoring System	11553
Database Activity Monitoring	13053
Delivery Monitoring and Sustainability High	17441
Department of Water Resources Climate Monitoring	16957
Departments and Agencies M&E Monitoring and Evaluation MFD	1264
Department’s Frontline Monitoring and Support	11224
Deployment Monitor	11007
Deputy Chief Gender Monitor	14869
Deputy Director of Monitoring and Exchange Regulations	6938
Description Component of FCDO's Somalia Monitoring Programme	650
Detailed Monitoring and Evaluation	14889
Develop and Implement Monitoring and Evaluation Tools	12923
Developing Information Society Monitoring System	16885
Development Association M&E Monitoring and Evaluation ME	16187
Development Impact Monitoring Indicators	16861
Development Ministry Monitoring	15845
Development Monitoring and Evaluation Office DMEO	15244
Development of Malawi Election Monitoring Systems	13095
Development of Malawi Election Monitoring Systems Report	13080
Digital Economy Masterplan Monitoring	11230
Digital Infrastructure Monitoring Center	4682
Digital Monitoring Platform	17594
Digital Road Violation Monitoring System	12275
Digitized School Monitoring System	17214
Digitized School Monitoring System The Ministry	17214
Digitized School Monitoring System. URL	17214
Director of Financial Stability Monitoring Department	6938
Director of Monitoring and Evaluation Division	12978
Director of Planning and Monitoring Office	16902
Disability Annual Monitoring Report	13033
Disaggregation Monitoring Responsibility	15845
Displacement Monitoring Centre IFAD International Fund	10759,78,1052,451
Disseminate Monitoring and Evaluation	11860
Division Division Monitoring	6946
Djibouti Economic Monitor	11161,110
Djibouti Economic Monitor Labor Market Structure	11271
Does the Monitoring and Evaluation	11863
Dr. Monica Musenero	3065
Dr. Monica Musenero Masanza	6258
Dr. Monica Pinilla-Roncancio Initiative	15244
Drought Characterization and Monitoring	17157
Drought Indices for Agricultural Drought Monitoring	12614
Drought Monitoring Centre	14409
Duties and Responsibilities Monitoring	9123
E MONITORIA DA POLÍTICA Introdução	11362
E Monitoring and Evaluation MDA Ministries	13359
E Monitoring and Evaluation MOPT Ministry of Posts	1777
E Monitoring and Evaluation N	12923
E&S Supervision and Monitoring	13392
E-Government Monthly Monitoring	12253
ENVIRONMENTAL AND SOCIAL MANAGEMENT AND MONITORING	12253
EPA Monitoring Department	16843
EPA. The Environmental and Social Monitoring Unit	17099,15
ESERA Power Quality Monitoring Results	12969
ESG-compliant Annual Monitoring	14787
ESTABLISHING NATIONWIDE MONITORING POINTS	1000
EU AI Industrial Policy Monitor Newsletter	6487
EVALUATION FRAMEWORK The Monitoring and Evaluation	14935
EXECUTIVE MONITOR	18291
Earth Observations Global Agricultural Monitoring	13094,1046
Easy Data Monitoring Train	12253
Ecological Monitoring Center	18309
Economic Performance Monitoring	12962
Economy and Strategic Monitoring Minister Badanam Patoki	11613,3685
Effective Monitoring and Supervision	12064
El Monitoreo de Proceso	1701
El Monitoreo de Progreso	1701
El Sistema Nacional de Monitoreo	16875
Electronic Monitoring	12389,1801
Electronic Monitoring Regulations	14190
Electronic Waste Management Monitoring Plans and Indicators	1988
Electronic Waste Management and Monitoring Plan	1988
Elevé Monitoring	15583
Embed Accountability and Monitoring	11285
Enable Real-time Monitoring and Analytics	16600
Encouraging Monitoring and Evaluation	11860
Enforce Groundwater Monitoring and MoWR	17157
Enhance Monitori	1988
Enhance Monitoring	13005
Enhancing Data Use for SDG Monitoring	677
Ensure Compliance and Monitoring	12675
Ensure the Monitoring	13320
Entities Development Agency M&E Monitoring and Evaluation	14935
Environmental Monitoring Plan	1988
Environmental Monitoring System	13185
Environmental Monitoring and Law Enforcement	18318
Environmental and Social Management and Monitoring Plan	14487,2627
Environmental and Social Management and Monitoring Plans	12253
Environmental and Social Monitoring	17114
Environmental and Social Monitoring Plan	12253
Environmental and Social Monitoring Plan Potential Impact	12253
Environmental and Social Monitoring Plan The Environmental	12253
Epidemiological Monitoring Survey	14622
Equipa de Monitorização	10747
Establish Monitoring	12008
Establish Monitoring Set	1777
Establish Monitoring and Evaluation Processes	16963
Estrategia Monitoreo	1701
Evaluating and Monitoring	16885
Evaluation MEIS Monitoring and Evaluation Information System	15138
Evaluation MEL Monitoring	14942
Evaluation and Monitoring	14867
Evaluation-Technical Working Group. Monitoring	15556
Events TechCabal and Moniepoint	2552,1639,797
Experience Monitoring	14565
Exploration Monitoring Preparation Negotiation	1243
External Resources and Project Monitoring	15870
F. Monitoring and Evaluation	17018
FBS Monitoring	11231
FICHAS DE TRIAGEM PARA MONITORIZAÇÃO	11406
FPI Onboarding and Monitoring	11995
Ficha de Monitorização Ambiental	11406
Financial Audits and Compliance Monitoring	12753
Financial Monitoring Reports	15553
Financial Reporting and Monitoring	15659
Financial Reporting and Monitoring. Interim	15518
Financial Stability Monitoring Department. Director	15023
Fiscal Monitor	17503
Fisheries Monitoring Centre FX Foreign	17105
Flutterwave and Moniepoint	2310
Fomid monitoring bin.js	4861,929,900
