AFRITAC	9425,1449,5050,326,1417,1156
AFRITAC Africa Regional Technical Assistance Center	16104
AFRITAC African Regional Technical Assistance Centre	17105
AFRITAC Centre	16298
AFRITAC East	12500
AFRITAC Ouest	18015
AFRITAC South and AfDB	17235
AFRITAC Sud	14581
AFRITAC WEST	18577
AFRITAC West	8775,8460,1277,64,1
AFRITAC du FMI	16250
AFRITAC- Finance	11906
AFRITAC-Ouest	10500
AFRITAC-West	10508,536
AFRITRADE CONSULTING GROUP LIMITED Data Controller	7167
AfriTrade CMP	9515
Afritac	17844,171
Afritech	1864,1503,57,84,470,1100,39,6,1267,5520
Assistance Centre AfRITAC African Growth and Opportunity	17235
Cf. Afritech	10966
East AFRITAC	12500
IMF AFRITAC South	11134
IREMA AFRITEC INSTITUT RÉGIONAL DE MANAGEMENT	18143,27
Management IMF-International Monetary Fund AFRITAC- Africa	18576
Mr. Vern McKinley of IMF AFRITAC South	11134
PFMD and AFRITAC	16944
REPUBLIC OF SOUTH AFRItii	11178
Request of AFRITAC Centre	11906
Startupbootcamp AfriTech	12540
Startupbootcamp AfriTech South Africa STEMCafe Nigeria	15460
Subsahariana AFRITAC-C Centro de Apoyo Técnico	16898
