Alpha O. GAYE	18029
Amran Gaye	17277
Armée Gaylord OSSAVOU AUGUSTIN	16099
Commissioner of Tax Gayathri Chetty	7163
ELONGO MOUSSA Gaylord DEP	15580
FADA N'GOURMA GOURMA GAYERI PAMA EST	10847
Gaya Media	3551,1106,1302
Gaya Member Piragalathan Chinnapen The Audit	14744
Gayan Kuruppu	12478
Gayatri. P	6423
Gayo Diallo	766
Gayéri Komandjari Est	15715
Groupe Gaynako	3526,841
Information Commission Chairperson Neneh Macdouall Gaye	17335
Ishwar Anoopum Gaya Director	14744
Macdouall Gaye	17335
Madame TRAORE Aïssata GAYE	8237
Mame Mor Gaye	2353,47,39,1,1,1,1,35,104,165,81,292,300,1479,308,258,41,255,18,1345,145
Othman Gayer	8891
