Djibouti-ville. Parmi	11271
Dr. Parshuram Parmar Data Controller INST-782778B516F	7167
E. Parmiggiani	7278
ENEO. Parmi	10975
Etat. Parmi	737
FCFA. Parmi	2971
Gabon. Parmi	10975
M. Diagne. Parmi	10548
MCC. Parmi	2436
Maliens. Parmi	10885
PARMAP	1281
PARMFP	1281
Parmalat	12950,27
Parmenter	6832
Parmi	737,450,521,114,139,13,95,284,1,82,15,103,10,131,220,191,84,138,10,18,687,343,73,212,2,150,47,1,53,72,17,41,11,6,135,98,20,167,15,4,16,145,14,66,94,186,37,155,18,100,79,166,13,6,137,75,142,415,128,40,113,29,29,1,19,36,132,39,38,16,37,54,47,6,132,43,8,4,30,65,33,15,166,44,213,157,100,19,26,83,1,1,329,114,5,249,38,52,59,265,33,49,42,11,7,180,6,109,48,1,61,39,39,257,812
Parmiggiani	7278
S3Q03 Parmi	6959
Sud Parmi	6959
