Co-investor Finnfund	248
DFC and Finnfund	1515
DRC Expansion Finnfund	651
Description Finnfund	197,454,212,229,377
Description Finnfund EUR	864
Description Finnfund USD	1470
Expansion Finnfund	1092
FINNFUND	10510
FinNeeds UNDERSTANDING PEOPLE’S LIVES Data	418
Finland Finnish Population Information System	10714
Finn Church Aid	12227,3902
FinnFund	684
Finnegan	3791
Finnegan KE	3791,7090
Finney	8604
Finnfund	197,51,96,279,28,169,11,32,30,36,17,483,40,1,45,510,212,914,1324,624,136,5275
Finnfund Power AMEA Power	11310
Finnfund USD	294,50,1075
Finnfund and Norfund	2141
Finnfund. Cassava	1436
Finnfund. Pelle Enarsson	5099
Finnfund.fi. Morocco	1515
Finnish	248,1777,2450,201,423,136,283,154,4838,82,2002,14,1757,26,2452,1370
Finnish Aid	15473
Finnish Ambassador Saana Halinen	10510
Finnish DFI	4475
Finnish Digital Agency	8276
Finnish Fund for Industrial Cooperation	197,454,212,1,228,377,1
Finnish Government	12138
Finnish Institute for Public Administration	12391
Finnish National Agency for Education	14050
Finnish Red Cross	12977
Finnovating for Africa	11994
Finnvera	5235
Finnvera and Finnfund	5235,283,12695
French Development Finn Church Aid	15661
Google LLC and Finnfund. Investment	1436
HAUS Finnish Institute of Public Management	12587,21
M Finnfund	929
M-Birr Ethiopia Mobile Money Finnfund	197
Markets Group. Finnfund CPDIF	1054
Nigeria’s Data Exchange Platform and Finnish	5518
Wave Mobile Money SSA Expansion Finnfund	864
Zambia Seeks More Finnish Investment	10510
