DE FEVEREIRO	5169,10222
Em Fevereiro	5309,2694
FEVRIER	13300,29,195,1826,33,502
Fev. COMPTE RENDU DU CONSEIL DES MINISTRES DU JEUDI 13 FE	8673
Fever	10829,368
Fever and Care-seeking Behaviour	15247
Fevereiro	744,448,1173,69,179,203,1330,72,339,179,202,41,37,4,33,116,36,6,98,1685,172,172,2061,1043,305,4,1,3,2,9,4,18,572,3,2,6,1,7,2,4,1,3,1,14,18,7,3,8,1,2,2,2,1,1,3,1,4,1,21,63,13,21,1196,5,5,1,1,23,2,21,1483,1031,14,1,21,11,1,56,698,20,85
Fevereiro Através da Resolução	15391
Fevereiro Bissau Zona-V Public	11552
Fevereiro Com	15391
Fevereiro. Artigo	12772
Fevereiro. Coordenação	5329
Fevereiro. Para	9909
Fevereiro. Secção III	15380
LASSA FEVER INFECTION	10581
Q5 FEV	14469
Rift Valley Fever	5985
Viral Hemorrhagic Fever	11912
Yellow Fever	11912
