AFS FY	1944
AGO FY2025	2295
APDP FY2024	1990
Across FY26	6100
Activity FY	1204
Against FY2024	2062,2313
Against the FY2024 PTA	3469
Algeria FY2026	4584,1,1,1
Algerian FY2026	4421,164
Announced Q4 FY2021	622
Annual Report for FY	6946
Auditor-General's FY2023	2512
BDI FY2024	1822,1994
BFA FY2024	1298
BIRR FY2025	6588
BSDs for DTT FM Broadcasters FY	6946
Botswana FY2024	1660,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,901,60
Botswana FY2025	2637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,728
Botswana FY2026	5631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana's FY2024	1660,1,1,1,1,1,1,1,1,1,5,1
Broadcast Content Standards FY	6946
CC Cyber Threat Advisories FY	6946
CC Cyber Threats Detected FY	6946
CIL's FY2025	3116
CNPD's FY2024	1338
CNPD's FY2025	2080
CNPD's FY2026	4419
COD FY2026	6390
COMFIB's FY2026	4870
CORRECTION TO THE FY2025 SWEEP RUN	1339
COUNTRY PARTNERSHIP FRAMEWORK FOR MOZAMBIQUE FY26	12804
CPF ECD FCV FY IDA IFC	11468
Cabo Verde FY2024	1251,1,1,1,1,83,1,1,1,1,89
Cabo Verde FY2025	2080,1,1,1,1,1,1,1,1,58
Cabo Verde FY2026	4410,1,1,1,1,1,1,1,1,45
Cameroon FY2024	1322,1,1
Cameroon FY2025	2064,1,1
Cameroon FY2026	4079,1
Category FY	6946
Category Licence Category FY	6946
Central African Republic FY2024	1930,1,1,1,1,1,1,1
Central African Republic FY2025	2002,1,1,1,1,1,1,1,1,1,1,1
Central African Republic FY2026	3994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1787
Comorian FY2024	2561
Comoros' FY2024	2561
Company's FY2025	4896
Conflict-Affected Situations FY23	1264
Congo's FY2024	1337
Congo's FY2025	435
Cumulative Broadcasting Licensees FY	6946
DCDT for FY2026	5198
DFC FY2021	622,1,1
DFC FY2022	831,1
DFC FY2023	1060,1,1
DFC FY2024	1435,1,1
DFC FY24	292
DIR FY HC HCMS HRM&D ICT	12920
DRC's FY2024	1285,1
Description The FY2025	2965
Digital Terrestrial Television Broadcasting Frequencies FY	6946
E.C. FY Tax	12500
EEC EG ESERA ESWASA FY GET	12969
Econet FY2025 EBITDA	4896
Ethio Telecom H1 FY2025	4828
Ethiopia's FY2017	750,540
Ethiopia's FY2024	1783
Ethiopia. FY27	6100
Ethiopian FY Addis Ababa	3211
Every FY2024 and FY2025	2286
Export FY	12358
FCFA. FY2023	4930
FSU Financial Management FY Financial Services	13331
FTA TV and FM Radio Stations FY	6946
FY Distribution	12969
FY FY FY FY	6946
FY FY FY License Category Purpose	6946
FY Financial Year GCA Global Cybersecurity	6946
FY Financial Year IMF International Monetary	13060
FY Fiscal Year GBVH Gender Based	1818
FY Indicator Name End Target Direct	11525
FY Overall	12969
FY Q2 Bi-annual Tariff Analysis Report	11259
FY-2024-25-Program-Based-Budget-Book.pdf	1730,1,1,1,1
FY-2025-26	5660,1
FY-average	6586
FY. S	12358
FY13-16	11924
FY14-20 Country Partnership Strategy	12968
FY14-FY16 WBG Country Partnership Strategy	10779
FY19-23. World Bank	13332
FY20--25 Country Partnership Framework	11905
FY20-24	11924
FY20-25	969
FY2014	88
FY2015	88,2
FY2016	147,6949,3454,2868
FY2017 Budget Proclamation	750,540
FY2017 IFMIS	1789,1,1,1,1,1413,3881
FY2018	287,6809
FY2018. Project	291
FY2019	4048,1600,1,7299
FY2020	461,102,6533
FY2021	462,66,176,1,6391,1382,3487,986,157
FY2021. Crosswalk	622
FY2022	721,203,1302,247,367,289,919,2114,934,4869
FY2022 MIGA	914,1,1,1,1,1,1,1,1,1
FY2023	1062,73,148,388,324,478,263,1426,668,4939,2196,216,39,175,556,11
FY2023 RELF	3706
FY2023 and FY2024	12399
FY2023-2024	1377
FY2024	987,264,1,1,1,1,1,10,6,9,4,1,3,2,3,1,1,4,1,1,5,15,1,1,10,3,2,1,2,15,74,1,82,27,2,38,5,1,4,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,45,5,1,1,1,1,10,1,1,1,9,1,1,1,1,1,1,1,1,1,11,18,1,15,20,4,1,3,28,51,1,17,1,21,17,16,3,3,14,21,14,4,1,2,4,2,3,1,1,1,1,1,3,2,3,4,2,1,1,1,1,1,1,1,1,1,57,1,79,1,139,11,51,45,39,49,14,1,60,13,1,86,214,12,1,1,1,6,93,17,35,7,1,76,7,1,54,35,29,34,106,3,68,77,92,63,47,30,233,1,200,28,34,32,5,1,4,1,13,13,1,1,2,1,1,1,1,44,1,17,1,348,40,60,82,211,226,184,15,1,164,299,50,130,137,159,17,341,139,3,1,7,789,32,50,3283,715,986,11,171,285
