AL DAS ELEtçÕeS IeeSLAnVAS	11544
Assinaturas Eletrónicas	11569
Auto RERD-Desdobrável Flyer Declaração Eletrónica Mod	12018
Comunicações Eletrónicas	4435
Comunicações Eletrônicasetc	11456
Contribuites Declaração Eletrónica Mod	12018
Declaração Eletrónica	12018
Declaração Eletrónica Mod	12018
Desenvolvimento de Governo Eletrónico	11569
Desenvolvimento de Governo Eletrónico EGDI Enquanto	11569
Eletricidade	10760,789
Eletricidade de Moçambique	7381
Eletromagnetismo	12019
Eletrónica	11569,364
Eletrónico	11569
Eletrónicos	11569
Eletrônicas	15
Estatísticas Vitais Sistema Eletrônico	12862
Governação Eletrónica	1268,1350,8951
Governação Eletrónica da Universidade	11569
Governo Eletronico	11555
Governo Eletrónico	1228,1245,9082,14
Grandes Contribuintes. Declaração Eletrónica Modelo	12018
Identidade Eletrónica	11555
Instituições de Moeda Eletrónica As Instituições de Moeda	11933
Instituto Nacional de Governança Eletrónica	12142
Pagamentos Eletrónicos	7948
Participação Eletrónica	11569
Passaporte Eletrónico	1254,833,2330
Passaporte Eletrónico PEC	4415,1,1,1
Passaporte Eletrônico	3192,3338
Plataforma Eletrónica de Contratação Pública	5462
Plataforma Eletrónica de Contratação Pública O Governo	5462
Programa de Governação Eletrónica	5443
Programa de Reforma da Governação Eletrónica	5443
Quadro de Interoperabilidade da Governação Eletrónica	11555
Rede de Governo Eletrônico	12142
Transações Eletrónicas	11583
Transações Eletrónicas. Esse	11583
