A. Institutional and Implementation Arrangements	969,295,603,1737,2935,4229
A2 TALLERES Y TIENDAS ARTESANALES	4209
A21 Principe Saudi Arabia Automated	10714
ACKNOWLEDGEMENTS The Republic of Ghana National Artificial	4126
ACRONYMS AF Additional Financing ARMP Burundi	1284
ADM Arcade Bigirindavyi EAERU Responsible	1284
ADM IDD04 Ariss Responsible	1284
AF ALCP Anti-HBc ARV BCG CAPI	10777
AI Architecture	5482
AI Artificial Intelligence	3184,1,1340
AI Artificial Intelligence ART Antiretroviral Therapy	396
AI Declaration. It Needs Architecture	7112
AI Economy Artificial	7876
AI Governance Artificial	9261
AI IOT VR AR Cloud Computing	10461
AI List of Abbreviations AI Artiﬁcial Intelligence	1204
AI Strategy Focus Areas	1814
AI Strategy Focus Areas Figure	1814
AI and Pan-African Architecture	7155
AI4D Africa. Artificial Intelligence Capacity	6948
AI4D Artificial Intelligence for Development AIMS African	4126
AI4D Artificial Intelligence for Development AMMI African	1814
AIC ARROR TOWNSHIP Data Controller INST-9960063C6C9	7167
AIIB Ariba	8726
ALECSO Charter of Ethics for Artificial Intelligence	2958
ALGUMAS INICIATIVAS GLOBAIS DE INTELIGÊNCIA ARTIFICIAL	2816
AMENDMENT OF ARTICLES OF ASSOCIATION	4896
ANAIP Article	113
ANAIP. Article	113
ANNONCES Archives	9993
ANSSI. Article	7152
AO A&O Shearman ArticleVisitor Data	6632
AO Artículo	163
APD. Artigo	167,577
APDPVP. Article	1231
APO03 Managed Enterprise Architecture	9237
APO03 Managed Enterprise ITCap Architecture	9237
ARAB FINANCIAL SERVICES CO. B.S.C.CLOSED Data	7167
ARABELLA SMILE DENTAL CLINIC Data Processor	7167
ARABIA SAUDITA	4209
ARABIAN DENTAL CARE LIMITED Data Controller	7167
ARABICA RIVER SLOPES LIMITED Data Processor	7167
ARABOSAI	10002
ARABSAT	9262
ARABSAT and LTT	9262
ARABSAT and Libya	9262
ARAG MEDICARE	7167
ARAMEX KENYA LIMITED Data Controller INST-413294AFEE0	7167
ARAMEX KENYA LIMITED Data Processor INST-413294AFEE0	7167
ARANLAND LTD Data Controller INST-6723312F237 NAIROBI	7167
ARAPCO LIMITED Data Processor INST-6824511282C NAIROBI	7167
ARAREST HEALTH CARE LIMITED Data Controller	7167
ARATUS HEALTH CLINIC LIMITED Data Controller	7167
ARATUS HEALTH CLINIC LIMITED Data Processor	7167
ARATUS HEALTH LIMITED Data Controller INST-24147292520	7167
ARATUS HEALTH LIMITED Data Processor INST-24147292520	7167
ARATUS HEALTH PHARMACY LLP Data Controller	7167
ARATUS HEALTH PHARMACY LLP Data Processor	7167
ARAWA HOSPITAL LIMITED Data Controller INST-128395C2171	7167
ARAWA HOSPITAL LIMITED Data Processor INST-128395C2171	7167
ARAYA CHAVES	6613
ARBITRATION	1243
ARBOVIRUS HABOVIRUS Pesquisa Contem	966
ARC RIDE KENYA LIMITED Data Controller	7167
ARC Resources	3583
ARC Resources Corporation Ltd	3583
ARC Resources Corporation Ltd and Winners Construction	3583
ARC Resources Ltd	3583
ARC Ride	4972
ARC. RI8	10779
ARCADIA INSURANCE BROKERS LIMITED Data Controller	7167
ARCADIA INSURANCE BROKERS LIMITED Data Processor	7167
ARCAI	1814,5123
ARCCLA	8052
ARCEP	37,895,51,15,10,197,445,285,76,250,2,106,145,19,21,176,52,19,62,26,49,31,293,57,37,115,28,6,46,73,34,10,2,129,13,82,122,43,123,14,15,65,20,361,101,44,11,9,52,44,38,50,85,48,31,191,316,2,44,67,23,13,51,14,82,29,239,16,354,141,105,82,71,115,112,562,200,100,69,29,424,543,1,328,72,333,20,55,286,109,117,162
ARCEP Article	37
ARCEP Benin	2433,3529
ARCEP Chad	2862,2094
ARCEP Customer	5679
ARCEP Dans	7237
ARCEP Deputy Director General Isra Brahim	6752
ARCEP Executive Secretary Wendlassida Patrice Compaore	6939
ARCEP I Page	998
ARCEP L’ARCEP	998
ARCEP Niger	998,8567
ARCEP ONEP NIGER	5170
ARCEP RAPPORT ANNUEL	998
ARCEP Renforcer	998
ARCEP Togo	5962
ARCEP and Togo Telecom	5679
ARCEP du Niger	4059
ARCEP's CNRCEP	9565
ARCEP-090720 CODAN C-463 Antenne HF	998
ARCEP-170521	998
ARCEP-170721	998
ARCEP-191021 Annexe	998
ARCEP-200521 Conforme IC-78 Conforme	998
ARCEP-CAF	4345,1628
ARCEP-run	932
ARCEP. Auparavant	5170
ARCEP. Aussi	998
ARCEP. Ces	998
ARCEP. Cette	998,1265,2539
ARCEP. Elle	4813
ARCEP. Leur	5891
ARCEP. M. Nouhou Aboubacar	5170
ARCEP. Sans ARCEP	3319
ARCEP. Selon	983
ARCEP. Une	983
ARCEP.préalablement	37
ARCH. Finances PAYG	389
ARCHDIOCESE OF NAIROBI KENYA REGISTERED TRUSTEES	7167
ARCHER	7167
ARCHERS POST CATHOLIC HEALTH CENTRE Data	7167
ARCHITECTURE	1009
ARCHITECTURE TAKING SHAPE AfCFTA	9593
ARCHMAN HOLDINGS LTD Data Processor INST-943095BFF4E	7167
ARCOD	8733,2,1,150
ARCOD. Il	8735,1
ARCOP	5907,2405,1
ARCOP. L’objectif	8313
ARCOP. Pour	8312
ARCPE	8828
ARCT Project Steering Committee	1284
ARCT Technical Directorate	5292
ARCT and PIU	1284
ARCT of GNI	1284
ARCT. Nous	7830
ARDA TALK Series	4580
ARDAGH GLASS PACKAGING KENYA LIMITED Data	7167
ARDHA JABESA FOUNDATION Data Processor INST-9324377A6E0	7167
ARDHIWORTH	7167
AREAS CHALLENGES AND INTERVENTIONS Challenge	6936
AREAS FOR COOPERATION TO SUPPORT DIGITAL	1243
AREAS FOR COOPERATION The State Parties	1243
AREAS OF COOPERATION Cooperation	1243
AREGNET	8645
ARELIA MEDICARE Data Controller INST-7418928DD7E NAIROBI	7167
AREN SOFTWARE LIMITED Data Processor INST-57109396246	7167
ARENE-approved	9409
ARESA MEDICARE NURSING HOME LIMITED Data	7167
ARETE Institute for Sustainable Prosperity	7810
ARGASC	6959
ARGELIO NDONG NKONI	1855
ARGENT CYBER X AFRICA LTD Data	7167
ARI SÉRGIO MENDES AGOSTINHO SANTOS	10751
ARICEA for Eastern Africa	5677
ARID CARE HOSPITAL LIMITED Data Controller	7167
ARIEL TECHNOLOGY LIMITED Data Processor INST-682644127DA	7167
ARIGA	6613
ARIN and LACNIC	3874
ARIPO	6997,848
ARISE Agenda	9115
ARISE Agenda ICT	9115
ARISE ICT	9115
ARISING CHALLENGES IN REALISING OPPORTUNITIES	961
ARIZONA DENTAL CENTRE LIMITED Data Controller	7167
ARK CONSTRUCTION LIMITED Data Controller INST-691796047FC	7167
ARK CONSULTANTS LIMITED Data Processor INST-419138B3393	7167
ARKROCH INVESTMENT COMPANY LIMITED Data Processor	7167
ARKTEK	5225
ARMAAN LTD Data Controller INST-284135866B1 NAIROBI	7167
ARMANDO EMILIO GUEBUZA	1829
ARMANDO NDAMBI GUEBUZA	1829
ARMED	10776
ARMOR EAST AFRICA IMAGING SUPPLIES LIMITED	7167
ARMP Procurement Regulation Authority	969
ARMP-	8021
ARMP-3	8021
ARMP-4	8021
ARMP-5 and ARMP-1	8021
ARMYTEX INTERNATIONAL SECURITY SERVICES LIMITED Data	7167
ARN SECURITY CONSULTANTS AND TRAINING SERVICES	7167
ARN USERS	5679
ARN-TIC	2701,352
ARNOLD KIPKEMOI AYABEI Data Processor INST-8629212BDB2	7167
AROHA CANCER CENTRE LIMITED Data Controller	7167
AROHA CANCER CENTRE LIMITED Data Processor	7167
AROPE GROUP LIMITED Data Processor INST-446058ED2F9	7167
ARPCE	1690,616,100,30,220,108,204,60,193,122,107,21,193,32,8,55,25,17,4,156,207,391,18,104,237,56,101,301,377,1,9,3,475,443,85,505,793,2312
ARPCE Annual Report	4559
ARPCE Congo	3028,315
ARPCE Convenes Meeting	3805
ARPCE Demands Flawless Network Performance Ahead	5075
ARPCE Director General Louis-Marc Sakala	3961
ARPCE Pointe-Noire	6455
ARPCE. ARPCE DG Louis-Marc Sakala	1643
