AFRINIC AGMM	9914,1,77
AGM Sanuka	13059
AGM World Bank	6202
AGM and Innovation Awards	13095
AGM. Dr Peter Ndegwa	8782
AGMET	13094
AGMF III	1558
AI. At the ID4Africa AGM	6823
ANNUAL REPORT ACRONYMS AGM ACTS BDIH	1154
Agmet Indicator Tool	13094
Bank's AGM	9005
Financial Statement AGM Annual	11250
ICTAM’s AGM and Innovation Awards	13095
ID4Africa AGM	2883,158,586,461,465,302,1322,274,1,561,3578
ID4Africa AGM. The Unique Number ID	2947
Jan AGM van Dijk	6948
Jan AGM. The Deepening Divide	6948
Mandate Resolution AGM22	5677
Mr. Agmasse Gebeyehu	12276
NGSO Framework Following Resolution AGM21	5680
Resolution AGM22	5677
