Avec Ijeni	2407,41,490,2760,1057
BULLA IJARA HOSPITAL ANNEX Data Controller	7167
Digitizes Home Services With Ijeni Platform	2269,19,45,14,9,24,65,84,4,11,6,12,38,10,6,3,8,49,4,421,243,278,96,422,265,221,430,282,332,124,146,163,355,164,56,209,176,238,23
IJACSA.2023.0140146 SME	9129
IJARBSS	5349,3780
IJCST	9128
IJDMS.2019.1301 Electronics	9128
IJEBMR_1748.pdf	5244
IJEMBR	5244
IJILT-02-2019-0024 Khor	8602
IJIRAS	8130
IJIRCST	7278
IJISAE	2722
IJKM.291704 Tornatzky	8021
IJKMS.2018.094216 Ngoepe	8021
IJKMS.2018.096318 Jalal	8021
IJMED.2024.138428	9129
IJMIE.2022.119681	9129
IJOPM-06-2019-0444	2093
IJPH_203_17	3791
IJR South Africa	7662
IJRISS	1599,919
IJRISS.2024.801166	1599
IJRISS.2025.9020107	2518
IJRR0011.pdf. Piquero	7278
IJRR_Vol.6_Issue.3_March2019	7278
IJSWIS.2018100104	8604
IJTPM.2021.119703	5349
Ij I	4301
Ijagwu	3538
Ijraati	5119
Ijumaa	7849
Kola Ijasan	5008,4751
Kola Ijasan and Pria Chetty of Research ICT	6052
Leslie Dwolatzky and Kola Ijasan	7954
Lisette IJssel de Schepper	7253
Mrs. Nneoma Ijei	2680
Ondaje Ijagwu	3538,4022,40
Ondaje Ijagwu Director	6296
Survey Ijasan	9759
