CAPÍTULO IV Deveres	539
CAPÍTULO V DEVERES E CONFLITOS	4147
CAPÍTULO V Deveres	6462
DEVER DE COOPERAÇÃO E CONFIDENCIALIDADE	11383
DEver	4583
DOS DIREITOS E DEVERES	11528
Dever	14,525,1979,3944,4922,77,121,319
Dever Geral de Sensibilização	11367
Dever and Dever	2518
Dever de Colaboração	4274
Dever de Colaboração Pessoal	11452
Dever de Confidencialidade	6462
Dever de Cooperação	549,10834
Dever de Divulgação de Políticas de Segurança	11377
Dever de Fundamentação	549
Dever de Obediência	11388
Dever de Segredo	11368
Dever de Sigilo	11383,1,49
Dever de Sigilo Profissional	167
Dever-se-á	12018
Devera	11390
Deveres	4147,7237,130,14,54
Deveres Profissionais	11452
Deveres Relativos	11425
Deverium	2778
Deverá	6537,3372,1660,452
Deverão	12018
GARANTIAS E DEVERES FUNDAMENTAIS ARTIGO	11513
Quotas Pluripessoais. Deverá	10753
SECÇÃO IV DEVERES DE INFORMAÇÃO	11452
UIP. Deverão	11542
