ANSAT Lire	8673
Cazoo. Melchior Koba Lire	10682
FCFA Lire	1299
FCFA. Lire	10044
IA. Samira Njoya Lire	7488
Isaac K. Kassouwi Lire	7434,3170
LIRE AUSSI	10230
LIRE AUSSI Dette	1996,2390
LIRNEasia	7211
Lions du Sénégal LIRE LE JOURNAL	2478
Lira City	4217
Lira District	4217
Lira University	5413
Lire LMBJ	3639
Melchior Koba Lire	10605,1,77,4
Mobile Money. Lire	5051
POPULAIRES LIRE LE JOURNAL DU JOUR	2400,39,1,1,1,1,139,165,81,292,300,1479,308,258,41,255,18,1345,145
Pour... Lire	3526,841
Samira Njoya Lire	7399,18,45,40,40,2182,16,18,90,93,20
Serge Valery Zongo. Lire	4276
Togo. Samira Njoya Lire	7582
Ziguinchor LIRE LE JOURNAL DU JOUR	2353
Zubair Bhatti and Lira Rajenarison	6972
