Column,Definition
indicator_id,"The indicator, as listed in lookups/indicators.csv: the subject before the double hyphen, the indicator after it"
stage,"Where the country stands against the continental norm as at the month end: 1 Absent, 2 Nascent, 3 Established, 4 Operating, 5 Leading. Empty means unplaced: evidence is held but satisfies no stage. An indicator with no row has no evidence (No evidence)"
stage_rows,"The rows of the country's ledger (outputs/reports/{ISO3}/ledger.csv) that satisfy the stage's anchor, separated by |. Empty for a measure that stands on a figure alone"
value,"Measures only: the figure the stage is banded on"
unit,"Measures only: the unit of the value"
value_year,"Measures only: the year the figure describes, which is not the year it was published"
value_source,"Measures only: where the figure comes from. A dated source slug; budgets/, outputs/non-state-finance/ or outputs/datasets/ followed by @date for a Corpus compile; or ref:{dataset}@{release date} for a reference dataset"
next_milestone,"A dated target the cited instrument itself states, where it states one"
due,"The date of next_milestone"
assessed_on,"The month end the stage is set or confirmed as at"
reassessed,"1 where the stage changed because the rubric changed or a re-read corrected it, not because anything happened in the country; otherwise 0"
qualifier,"Who says so, or what is missing for the next stage"
moved_by,"Where the stage differs from the previous month: the dated source inside the month that moved it, 'reassessed', or a dated event leaving a 12-month look-back period. Empty where the stage did not move"
