row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
MOZ-infra.connect-5g-coverage-plan-2027-2030,MOZ,infra.connect,Infrastructure,instrument,5G coverage plan to 2027 and 2030,Planned,2026-06-22,Pledged by the President at the 5th National Communications Conference,,Advanced,None published,"Provincial capitals, special economic zones and main tourist destinations by 2027; all districts and administrative posts by 2030",2026-06-22-chapo-pledges-5g-district-capitals-2027-clubofmozambique|2026-06-22-5g-rollout-southern-africa-digital-hub-techafricanews,,No commercial launch date and no operator-level coverage obligation figures are held
MOZ-infra.connect-5g-licence-terms-coverage-obligations,MOZ,infra.connect,Infrastructure,instrument,5G licence terms and coverage obligations,"Implemented, terms not published",2026-06-24,"Obligations stated by the regulator at the award, 2026-06-23",,Advanced,Did not exist,"The regulator states the licences carry 710,000 subsidised smartphones - 420,000 4G-capable and 290,000 5G-capable - for low-income users, small and medium enterprises and students on an instalment model, and broadband for at least 3,000 schools and 1,000 community institutions including health centres, with equipment, installation, activation and support included; no deadline, milestone or penalty attaching to a named operator is on record",2026-06-24-incm-awards-5g-licences-mozambique-operators,,"The licence instruments are not published, so every figure is the regulator's own characterisation of what the operators agreed"
MOZ-infra.connect-5g-spectrum-assignment-700-mhz,MOZ,infra.connect,Infrastructure,instrument,"5G spectrum assignment (700 MHz, 2.6 and 3.5 GHz)",Implemented,2026-07-27,"Licences awarded to Tmcel, Vodacom and Movitel 2026-06-23",,Advanced,No 5G spectrum assigned and no bidding process open (2025-08),"Three operators licensed for 5G and 4G expansion, with a first phase covering provincial capitals, major urban centres, industrial zones, economic hubs and dense areas and extending to coastal and inland tourist areas, national parks and reserves; Vodafone reports 210 MHz to Vodacom Mozambique for US$56m with payment and licence terms still being finalised (quarter ended 2026-06-30)",2026-06-26-clears-path-for-5g-services-itweb|2026-04-21-opens-bids-for-5g-spectrum-connectingafrica|2026-07-27-vodafone-africa-q1-fy27-service-revenue|2026-06-24-incm-awards-5g-licences-mozambique-operators,,"Assignment was by administrative consignment, not auction, despite one account calling it an auction. Two held accounts date the award 23 and 26 June 2026"
MOZ-infra.connect-administrative-posts-localities-without-coverage,MOZ,infra.connect,Infrastructure,measure,Administrative posts and localities without mobile coverage,,2024-01-01,Regulator's Communications Regulation Report 2024,2024-12-31,"No change, no later figure published","6 of 453 administrative posts uncovered and 209 of 1,222 localities uncovered, 82.9% locality coverage (2024)",Same; no later figure published at 2026-08-09,2024-01-01-incm-relatorio-regulacao-comunicacoes-2024,,"The regulator's own figures, published by operator: uncovered administrative posts fell to 16 for Movitel, 38 for Vodacom and 88 for Tmcel. In 2023, 11 administrative posts were uncovered and locality coverage was 80.7%"
MOZ-infra.connect-chanida-cassacatiza-cross-border-fibre,MOZ,infra.connect,Infrastructure,instrument,Chanida-Cassacatiza cross-border fibre interconnector,Implemented,2026-02-23,Commissioned 2026-02-23,,Advanced,Did not exist,"In service, linking Zambia's national backbone to Mozambique's submarine cable network; built by Bayobab Zambia and Vodacom",2026-02-23 Zambia and Mozambique launch fibre-optic interconnector at Chanida–Cassacatiza border,,"No capacity, cost or traffic figure is stated by either government"
MOZ-infra.connect-dare1-subsea-cable-southern-extension,MOZ,infra.connect,Infrastructure,instrument,DARE1 subsea cable southern extension,Planned,2025-09-01,"Extension announced by Djibouti Telecom; work from 2026, ready for service 2028",,Advanced,Not announced,"Planned landings in Tanzania, Mozambique, Madagascar and South Africa, interconnecting at Mombasa; Mombasa-Durban route estimated at 3,200-3,500 km; no construction start confirmed at 2026-08-06",2025-09-01-dare1-extension-techafricanews,,Held three times over from three outlets reporting one announcement
MOZ-infra.connect-internet-para-todos,MOZ,infra.connect,Infrastructure,instrument,Internet Para Todos,Implemented,2026-07-23,Launched March 2025 with targets to 2030,2025-03,No change,Programme running with 2030 targets,"Running; INCM states targets of 80% mobile penetration, 95% territory coverage and 99% network availability by 2030",2026-07-23-mozambique-portail-national-haut-debit|2025-07-16 Mozambique Digital Transformation Strategy (Market Intelligence),,Two held accounts state the 2030 targets differently
MOZ-infra.connect-nacala-lobito-submarine-cable,MOZ,infra.connect,Infrastructure,instrument,Nacala-Lobito submarine cable,In development,2026-06-22,The President stated the project is in the design phase,,Baseline not held,,"In design phase; no route length, cost, financier or in-service date stated",2026-06-22-chapo-pledges-5g-district-capitals-2027-clubofmozambique,,The only held statement on this project is one sentence in a presidential speech
MOZ-infra.connect-broadband-coverage-portal,MOZ,infra.connect,Infrastructure,instrument,National broadband coverage portal,Implemented,2026-07-23,"INCM communique, 2026-07-22",,Advanced,Did not exist,"Public geospatial platform built with Esri and Cellular Expert; operator coverage and speeds queryable by location, with a public gap-reporting channel",2026-07-23-mozambique-portail-national-haut-debit,,Presented earlier at the Esri user conference; no usage or gap-report figures published
MOZ-infra.connect-published-internet-penetration-figure,MOZ,infra.connect,Infrastructure,instrument,Published national internet penetration figure,Not held,,,,,,,,,
