title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
ننشر توصيات ختام المؤتمر العربي لمديري إدارات الجنسية والأحوال المدنية,بوابة الأهرام (Al-Ahram Gate),,2026-08-20,day,TUN; XNA,dpi.id; gov.protect; gov.regional; infra.cybersec,council-of-arab-ministers-interior; naif-arab-university-security-sciences,2026-08-21,https://gate.ahram.org.eg/News/5891986.aspx,
5G in North Africa Shows Mixed Results One Year On,Ookla,,2026-08-03,day,DZA; EGY; MAR; TUN; LBY; MRT; XNA,infra.connect; gov.legislate,ookla; instance-nationale-des-telecommunications-tunisia; anrt-morocco; ntra-egypt; almadar-aljadid; chinguitel,2026-08-04,https://www.ookla.com/articles/5g-north-africa-2026,
Egypt Chairs the 58th Ordinary Session of the Executive Bureau of the Council of Arab Ministers of Communications and Information,Business Tech News,,2026-08-01,day,XNA; EGY; TUN; LBY,gov.regional; tech.ai; gov.policy; gov.standards,council-of-arab-ministers-communication-information; arab-permanent-committee-ai-emerging-technologies; league-of-arab-states; mcit-egypt,2026-08-09,https://www.businesstec.news/23334,
"Egypt wins chairmanship of AI governance, quantum computing working groups at Arab AI Committee",State Information Service (Egypt),,2026-07-31,day,XNA; EGY,gov.regional; tech.ai; gov.standards; gov.policy,arab-permanent-committee-ai-emerging-technologies; council-of-arab-ministers-communication-information; mcit-egypt; arab-charter-ai-ethics,2026-08-01,https://sis.gov.eg/en/media-center/news/egypt-wins-chairmanship-of-ai-governance-quantum-computing-working-groups-at-arab-ai-committee/,
Banque d'Algérie : Début à Alger de la 29e réunion ordinaire de la Commission arabe des systèmes de paiement et de règlement,DK News (Algeria),,2026-07-27,day,DZA; XNA,dpi.pay; gov.regional; infra.cybersec; tech.ai; dpi.id,bank-of-algeria; arab-monetary-fund,2026-08-01,https://www.dknews-dz.com/article/193186-banque-dalgerie-debut-a-alger-de-la-29e-reunion-ordinaire-de-la-commission-arabe-des-systemes-de-paiement-et-de-reglement.html,
Why VaulFi is building a stablecoin-powered super app for North Africa,TechCabal,,2026-02-24,day,DZA; XNA,dpi.pay; tech.innovate; finance.new,vaulfi; safa-korti; karim-khattaby,2026-07-18,https://techcabal.com/2026/02/24/francophone-weekly-by-techcabal-013/,
الجامعة العربية تشارك فى أعمال الدورة 29 لمجلس الوزراء العرب للاتصالات والمعلومات,اليوم السابع (Youm7),,2026-01-22,day,EGY; XNA,gov.regional; tech.ai; gov.standards,council-of-arab-ministers-communication-information; arab-permanent-committee-ai-emerging-technologies; arab-charter-ai-ethics; mcit-egypt,2026-09-04,https://www.youm7.com/story/2026/1/22/%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D8%B4%D8%A7%D8%B1%D9%83-%D9%81%D9%89-%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D8%A9-29-%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8/7278361,
"Mobilis, Djezzy, Ooredoo lead Algeria's $492m 5G rollout",ITWeb Africa,,2025-12-08,day,DZA; XNA,infra.connect; gov.policy; finance.new; include.divides; digital.rural,mobilis; djezzy; ooredoo-algeria; sid-ali-zerrouki; ministry-of-post-and-telecommunications-algeria; ericsson; gsma,2026-07-18,https://itweb.africa/article/mobilis-djezzy-ooredoo-lead-algerias-492m-5g-rollout/lwrKxq3YVEP7mg1o,
Algeria launches 5G rollout,Connecting Africa,,2025-12-05,day,DZA; XNA,infra.connect; gov.policy; tech.industry,mobilis; djezzy; ooredoo-algeria; algerie-telecom; arpce-algeria; ministry-of-post-and-telecommunications-algeria; sid-ali-zerrouki,2026-07-18,https://www.connectingafrica.com/5g-networks/algeria-launches-5g-rollout,
Bank of Algeria joins the PAPSS network,Afreximbank (press release),,2025-08-15,day,DZA; XNA,dpi.pay; gov.regional,papss; afreximbank,2026-07-15,https://www.afreximbank.com/bank-of-algeria-joins-papss-network-accelerating-financial-integration-in-africa-as-algeria-prepares-to-host-iatf-2025,
الميثاق العربي لأخلاقيات الذكاء الاصطناعي — 2025 (Arab Charter for AI Ethics),Arab ICT Organization (AICTO) / League of Arab States — Arab AI Working Group,,2025-07-01,month,XNA,tech.ai; gov.standards; gov.policy; gov.regional; gov.protect,arab-charter-ai-ethics; council-of-arab-ministers-communication-information; aicto; arab-permanent-committee-ai-emerging-technologies,2026-08-01,https://www.aicto.org/wp-content/uploads/2025/10/Arab_Charter_AI_Ethics_2025.pdf,
ALECSO Charter on Artificial Intelligence Ethics,"Arab League Educational, Cultural and Scientific Organization (ALECSO)",,2025-06-01,month,XNA,tech.ai; gov.standards; capacity.training,alecso; league-of-arab-states,2026-08-01,https://www.alecso.org/publications/uploads/2025/08/etic.pdf,
ViaTunisia — CEF Digital project record,"European Commission, Shaping Europe's digital future (DG CONNECT)",,2024-12-03,day,TUN; XNA,infra.connect; finance.new; geopol.eu,orange-tunisia; orange-wholesale; medusa-submarine-cable; european-union,2026-07-20,https://digital-strategy.ec.europa.eu/en/news/viatunisia,
"MOROCCO, ALGERIA, LIBYAN ARAB JAMAHIRIYA, MAURITANIA AND TUNISIA — Treaty instituting the Arab Maghreb Union (with declaration). Concluded at Marrakesh on 17 February 1989","United Nations Treaty Series (English translation supplied by the Government of Morocco), Volume 1546, No. I-26844",,1989-02-17,day,MAR; DZA; LBY; MRT; TUN; XNA,gov.regional,arab-maghreb-union,2026-09-04,https://treaties.un.org/doc/Publication/UNTS/Volume%201546/volume-1546-I-26844-English.pdf,
