row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
MUS-finance.budget-finance-bill,MUS,finance.budget,Finance,Budget 2026-2027 tax and revenue measures as enacted,"The 128-page Finance Bill 2026. Three fetch paths into the National Assembly's bills library returned an HTML shell rather than the document; the library is script-rendered and exposes no static file path, so this needs a browser rather than an automated fetch.",,not probed on this run; probe capped at four across the three units
MUS-tech.ai-compute,MUS,tech.ai,Artificial intelligence and the technology sector,National sovereign compute capacity,"Vendor or independent confirmation of installed accelerators. The state operator's chief executive stated in July 2026 that its data centre already hosts NVIDIA H200 units with B300 due by end-2026; no corroboration is on file, and this is precisely the compute-timing bet a domestic critique disputes.",2026-08-09,"probed 2026-08-09: no vendor or independent confirmation found, and the probe turned up the opposite side of the claim. The same chief executive wrote on 22 February 2026, after the New Delhi summit, that Mauritius is requesting a few hundred B300 units and was quoted a lead time of about one year — which the wiki does not hold and which sits against the July statement that current-generation units are already installed. Acquisition line raised."
MUS-tech.ai-ai-adoption,MUS,tech.ai,Artificial intelligence and the technology sector,Enterprise artificial-intelligence adoption,"The results of the adoption, readiness and governance study launched on 27 July 2026 by the chamber of commerce, the outsourcing association and a third partner, commissioned because no picture exists of adoption levels, affected sectors or available skills.",,not probed on this run; probe capped at four across the three units
MUS-geopol.china-china,MUS,geopol.china,Artificial intelligence and the technology sector,Chinese digital cooperation with Mauritius,"A bilateral agreement, financing or vendor arrangement in the digital sector. The only Chinese-linked item held is a 2018 buyer's credit.",,not probed on this run; probe capped at four across the three units
MUS-dpi.registry-address-register,MUS,dpi.registry,Digital public infrastructure,National address register,"A national addressing standard, a state address register, or a mandate for one.",2026-09-01,probed 2026-09-01: the national data strategy identifies addressing as a data gap; no register exists
MUS-include.access-gender,MUS,include.access,Inclusion and capacity,Gender in digital policy and statistics,"A gender-disaggregated digital access or usage figure, or the national gender policy's own text.",2026-09-01,probed 2026-09-01: the gender policy text did not reach the repository and no disaggregated digital measure was found
MUS-include.access-refugees,MUS,include.access,Inclusion and capacity,Position on refugees and stateless people,"A refugee or statelessness framework, or any digital service reaching displaced people.",2026-09-01,probed 2026-09-01: only a treaty body's concluding observations found
MUS-finance.sustain-rose-belle-hosting-terms,MUS,finance.sustain,Finance,Commercial terms of state hosting at Mauritius Telecom's Rose-Belle centre,"The hosting agreement or a ministry statement giving the price, duration and obligations for state systems hosted at Rose-Belle, and the budget line that pays for them.",2026-09-25,absence
MUS-finance.sustain-outturn-2025-26,MUS,finance.sustain,Finance,Outturn against the 2025-26 digital appropriations,"The Accountant-General's annual report and financial statements for the year ended 30 June 2026, read into the budget extract.",2026-09-25,acquisition
MUS-geopol.sovereignty-sovereign-cloud-award,MUS,geopol.sovereignty,Geopolitics,Outcome and contract terms of the government sovereign-cloud procurement,"The award, bidding document or contract that followed RFI MITCI/RFI/01/2025-26, with its key-custody, portability and exit terms.",2026-09-25,acquisition
MUS-geopol.sovereignty-id-source-code,MUS,geopol.sovereignty,Geopolitics,Source code and supplier exit for the national identity system,"The Thales-led consortium's contract, the independent security audit the National Identity Card Act requires, or a ministry statement on source-code ownership and change of supplier.",2026-09-25,absence
MUS-geopol.sovereignty-aws-mou-terms,MUS,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the Mauritius Telecom–AWS memorandum",Publication of the July 2026 memorandum or any follow-on agreement touching state data.,2026-09-25,absence
