title,publisher,author,published,date_precision,places,topics,entities,ingested,url
"2027 presidential election : more than one million new voters, CENI accelerates preparations - SOS M\u00e9dias Burundi",SOS Medias Burundi,,2026-09-03,day,BDI,dpi.id; dpi.registry; include.access,ceni-burundi,2026-09-04,https://www.sosmediasburundi.org/en/2026/09/03/2027-presidential-election-more-than-one-million-new-voters-ceni-accelerates-preparations/
Cartographie,Institut Géographique du Burundi (IGEBU),,2026-08-28,day,BDI,data.satellite,igebu-burundi,2026-09-01,https://www.igebu.bi/Services/cartographie/
Images satellitaires,Institut Géographique du Burundi (IGEBU),,2026-08-28,day,BDI,data.satellite,igebu-burundi,2026-09-01,https://www.igebu.bi/data-tools/
Coopération Sud-Sud : la Guinée équatoriale s'inspire de l'expérience burundaise du recensement numérique,UNFPA Burundi,,2026-08-28,day,BDI; GNQ,data.statistics; gov.regional,insbu-burundi; inege-gnq; unfpa; fao,2026-09-01,https://burundi.unfpa.org/fr/news/coop%C3%A9ration-sud-sud-la-guin%C3%A9e-%C3%A9quatoriale-sinspire-de-lexp%C3%A9rience-burundaise-du-recensement
"Number of internet users in Burundi is low, says ARCT",Iwacu,,2026-08-27,day,BDI,include.divides; include.access,arct-burundi; abuco,2026-08-27,https://www.iwacu-burundi.org/englishnews/number-of-internet-users-in-burundi-is-low-says-arct/
Burundi begins talks on new law for Social Media Influencers,Burundi Times,,2026-08-27,day,BDI,gov.legislate; gov.discourse,ministry-of-communication-and-media-burundi,2026-08-29,https://www.burunditimes.com/burundi-begins-talks-on-new-law-for-social-media-influencers/
#internet4all #shombo #internet4all #shombo #internet4all #digitalinclusion #burundi #ruralconnectivity #digitalliteracy #education #socialimpact | Eddy Kubwimana,Eddy Kubwimana (LinkedIn),,2026-08-23,day,BDI,include.access; include.divides; capacity.literacy,,2026-08-27,https://www.linkedin.com/posts/eddy-kubwimana_internet4all-shombo-internet4all-activity-7497195156408954880-fCPP
Les coupures d'électricité compliquent la facturation électronique des commerçants à Karusi,ABP — Agence Burundaise de Presse,,2026-08-20,day,BDI,gov.discourse; include.access; dpi.govtech; infra.energy,obr-burundi,2026-08-23,https://abpinfo.bi/2026/08/20/les-coupures-delectricite-compliquent-la-facturation-electronique-des-commercants-a-karusi/
Burundi to join East African payment network by December 2026,The EastAfrican,,2026-08-19,day,BDI,dpi.pay; gov.regional; gov.standards,bank-of-the-republic-of-burundi; eaps; east-african-community; burundipay,2026-08-23,https://www.theeastafrican.co.ke/tea/news/east-africa/burundi-to-join-east-african-payment-network-by-december-2026-5562616
IGAD and Burundi Push for Stronger Regional Health Security Through Cross-Border Cooperation,Intergovernmental Authority on Development (IGAD),,2026-08-19,day,BDI,dpi.exchange; gov.regional,igad; ministry-of-health-burundi; africa-cdc; world-health-organization; world-bank,2026-08-27,https://igad.int/igad-and-burundi-push-for-stronger-regional-health-security-through-cross-border-cooperation/
Burundi integrates COMESA payment systems to boost cross-border trade,Channel Africa,,2026-08-19,day,BDI,dpi.pay; gov.regional; dpi.exchange,bank-of-the-republic-of-burundi; comesa,2026-08-23,https://www.channelafrica.co.za/channelafrica/news/burundi-integrates-comesa-payment-systems-to-boost-cross-border-trade/
"CEPI, Free Tech Institute Explore Pathways to Boost Tech Sector in Cameroon, Burundi",Pan African Visions,,2026-08-15,day,CMR; BDI,gov.discourse; capacity.research,cepi-cameroon; free-tech-institute,2026-08-18,https://panafricanvisions.com/2026/08/cepi-free-tech-institute-explore-pathways-to-boost-tech-sector-in-cameroon-burundi/
Experts Push for Stronger Digital Policies to Accelerate Africa's Prosperity,Pan African Visions,,2026-08-15,day,CMR; BDI; COD,gov.discourse; infra.connect,cepi-cameroon; free-tech-institute; sadi-drc,2026-08-21,https://panafricanvisions.com/2026/08/experts-push-for-stronger-digital-policies-to-accelerate-africas-prosperity/
Le Pnud octroie un don destiné aux gouverneurs de province et administrateurs communaux,Le Renouveau du Burundi,,2026-08-14,day,BDI,digital.localgov,undp,2026-09-01,https://lerenouveau.bi/le-pnud-octroie-un-don-destine-aux-gouverneurs-de-province-et-administrateurs-communaux/
