date,facility_id,facility_name,change,summary,sources
2026-09-24,EGY-026,Huawei Cloud Cairo Region,Updated,"Huawei Cloud Cairo Region: new source “Huawei — Huawei Cloud Cairo Region investment, 2024” (Huawei Cloud, 2024-05-21).",https://www.huaweicloud.com/intl/en-us/news/20240523155312706.html
2026-09-24,TUN-005,CNI Government Data Center,Updated,"CNI Government Data Center: new source “Cybersécurité et entreprises : ce qui va changer pour les entreprises publiques et leurs fournisseurs privés” (Webmanagercenter (WMC), 2026-09-22).",https://www.webmanagercenter.com/2026/09/22/573106/cybersecurite-et-entreprises-ce-qui-va-changer-pour-les-entreprises-publiques-et-leurs-fournisseurs-prives/
2026-09-24,ZAF-041,Microsoft Azure South Africa North (Johannesburg),Updated,"Microsoft Azure South Africa North (Johannesburg): new source “Microsoft South Africa highlights six dimensions of digital sovereignty for AI Era” (Tech Review Africa, 2026-09-24).",https://techreviewafrica.com/news/7405/
2026-09-24,ZAF-042,Microsoft Azure South Africa West (Cape Town),Updated,"Microsoft Azure South Africa West (Cape Town): new source “Microsoft South Africa highlights six dimensions of digital sovereignty for AI Era” (Tech Review Africa, 2026-09-24).",https://techreviewafrica.com/news/7405/
2026-09-24,BWA-002,Digital Delta Data Centre (DDDC),Updated,"Whole-of-government migration: the communications minister said all government systems are moving to a government cloud here, to meet a November 2027 deadline for putting public services online (September 2026).",https://dailynews.gov.bw/news-detail/93395
2026-09-23,ZMB-001,INFRATEL Primary Data Centre,Updated,"Procurement added: the US$65.5 million Huawei contract for the national data centre was awarded without a public tender, with the procurement authority's clearance issued only after it was signed (Lusaka Times, January 2015).",https://www.lusakatimes.com/2015/01/05/pf-government-single-sources-huawei-us-65-5-million-scam-national-ict-project/
2026-09-23,ZAF-043,AWS Africa (Cape Town) Region,Updated,"AWS Africa (Cape Town) Region: new source “Announcing the new AWS Africa (Cape Town) Region” (Amazon Web Services, 2020-04-22).",https://aws.amazon.com/about-aws/whats-new/2020/04/announcing-aws-africa-cape-town-region/
2026-09-23,TGO-001,Lomé Data Centre (LDC),Updated,"Lomé Data Centre (LDC): new source “Conseil des ministres du 21 décembre 2022” (Présidence de la République togolaise, 2022-12-21).",https://archive.presidence.gouv.tg/2022/12/24/conseil-des-ministres-du-21-decembre-2022/
2026-09-23,KEN-035,National Data Recovery Centre (Naivasha),Updated,The Auditor-General's report shows the unused Naivasha recovery centre has left the government owing its contractor Kshs 5.55 billion after an arbitration award over the stalled third phase (June 2024).,https://parliament.go.ke/sites/default/files/2025-02/Report%20of%20the%20Auditor%20General%20on%20National%20Government%20Ministries%2C%20Departments%20and%20Agencies%20for%20the%20Year%202023%EF%80%A22024.pdf
2026-09-23,MWI-007,Airtel Malawi Blantyre Data Centre,Updated,"Airtel Malawi Blantyre Data Centre: new source “Airtel presentation — National Broadband Mapping Systems in Malawi, ITU Malawi national event” (Airtel Malawi Plc / ITU Africa Broadband Maps, 2025-10-07).",https://africabbmaps.itu.int/wp-content/uploads/2025/11/Airtel-presentation-Malawi-National-Broadband-Mapping.pdf
2026-09-23,MWI-001,Malawi National Data Center Blantyre,Updated,"Malawi National Data Center Blantyre: new source “ESCOM Presentation v.02 — ITU 2025 Africa Broadband Mapping, Malawi national event” (Electricity Supply Corporation of Malawi (ESCOM) / ITU Africa Broadband Maps, 2025-10-07).",https://africabbmaps.itu.int/wp-content/uploads/2025/11/ESCOM-Presentation-v.02-ITU-2025-Africa-BoradBand-Mapping.pdf
2026-09-23,ZAF-015,OADC Parklands (ex-NTT/IS Parklands),Updated,"OADC Parklands (ex-NTT/IS Parklands): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
2026-09-23,ZAF-016,OADC Bryanston (ex-NTT/IS Bryanston),Updated,"OADC Bryanston (ex-NTT/IS Bryanston): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
2026-09-23,ZAF-019,OADC Umhlanga (ex-NTT/IS Umhlanga),Updated,"OADC Umhlanga (ex-NTT/IS Umhlanga): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
2026-09-23,ZAF-032,OADC Bloemfontein (ex-NTT/IS),Updated,"OADC Bloemfontein (ex-NTT/IS): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
2026-09-23,ZAF-033,OADC East London (ex-NTT/IS),Updated,"OADC East London (ex-NTT/IS): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
2026-09-23,ZAF-034,OADC Gqeberha/Port Elizabeth (ex-NTT/IS),Updated,"OADC Gqeberha/Port Elizabeth (ex-NTT/IS): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
2026-09-23,ZAF-057,OADC Bree Street (CPT3),Updated,"OADC Bree Street (CPT3): new source “Statement on the Latest Decisions by the Competition Commission, 22 December 2025” (Competition Commission of South Africa, 2025-12-22).",https://www.compcom.co.za/wp-content/uploads/2025/12/Statement-on-the-latest-decisions-by-the-Competition-Commission-22-December-2025.pdf
