indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,"Strategies, plans and policies",2,12,3,1,2,9,0,,staged,2
gov.policy--broadband-strategy,"Strategies, plans and policies",2,11,2,1,1,9,4,already-seen already-seen already-seen already-seen,staged,2
gov.policy--data-storage-cloud-strategy,"Strategies, plans and policies",2,9,3,1,2,6,1,already-seen,staged,2
gov.policy--data-interoperability-framework-roadmap,"Strategies, plans and policies",2,11,3,1,2,8,1,already-seen,staged,2
gov.policy--data-localisation-policies,"Strategies, plans and policies",2,12,3,1,1,10,1,already-seen,staged,2
gov.policy--data-governance-policy,"Strategies, plans and policies",2,12,3,1,1,10,1,already-seen,staged,2
gov.policy--open-data-policy,"Strategies, plans and policies",2,12,4,1,2,9,1,already-seen,staged,2
gov.legislate--cybersecurity-legislation,Legislation and regulation,2,14,3,1,2,11,0,,staged,3
gov.legislate--legislation-covering-digital-id,Legislation and regulation,2,12,3,1,1,10,0,,staged,3
gov.legislate--digital-payments-legislation,Legislation and regulation,2,14,3,1,2,11,0,,staged,3
gov.legislate--legislation-enabling-data-interoperability,Legislation and regulation,2,12,3,1,2,7,1,already-seen,staged,3
gov.legislate--ai-legislation-regulations,Legislation and regulation,2,11,3,1,2,6,0,,staged,3
gov.legislate--statistics-legislation,Legislation and regulation,2,14,3,1,1,8,3,unfetchable already-seen out-of-scope,staged,3
gov.legislate--access-to-information-legislation,Legislation and regulation,2,12,2,1,2,7,0,,staged,3
gov.protect--national-data-protection-readiness,Data protection,2,15,3,1,2,9,1,already-seen,staged,2
gov.regional--regional-legal-harmonisation,Regional collaboration,2,16,3,1,2,10,2,already-seen unfetchable,staged,1
gov.regional--cross-border-data-transfers,Regional collaboration,2,13,3,1,2,8,0,,staged,1
gov.standards--national-quality-standards,Standards,2,14,3,1,2,9,0,,staged,2
gov.discourse--non-governmental-contribution-to-national-policy,Public debate and participation in policymaking,2,17,3,1,2,10,0,,staged,0
gov.discourse--open-discussion-of-government-policy,Public debate and participation in policymaking,2,15,3,1,2,9,0,,staged,0
finance.mou--strategic-relationships,MoUs and other agreements,2,11,4,1,2,6,2,out-of-scope already-seen,staged,1
finance.new--mobilisation-of-non-state-finance,New investments,2,20,3,1,2,6,1,already-seen,staged,5
infra.connect--internet-usage,Connectivity,2,15,2,1,1,5,0,,staged,8
infra.connect--mobile-affordability,Connectivity,2,17,2,1,1,5,0,,staged,8
infra.connect--national-fibre-backbone,Connectivity,2,20,3,1,2,5,0,,staged,8
infra.connect--internet-exchange-points,Connectivity,2,13,2,1,0,4,1,headline-only-stub,staged,8
infra.store--local-data-centre-capacity-all-providers,Data Storage,2,15,3,1,2,4,1,already-seen,staged,2
infra.store--off-site-backup-capacity,Data Storage,2,9,1,1,0,4,0,,staged,2
infra.energy--sufficient-energy-and-water-for-data-centres,Energy,2,15,3,1,2,5,0,,staged,2
infra.energy--rural-electrification,Energy,2,13,3,1,2,4,0,,staged,2
infra.capacity--robustness-of-government-hardware-and-software,Technical Capacity,2,19,3,1,2,5,0,,staged,0
dpi.exchange--use-of-digital-id-in-other-systems,Data Exchange,2,17,3,1,2,6,0,,staged,1
