row_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
XCA-gov.protect-cemac-consumer-protection-regulation,gov.protect,0,0,0,0,0,0,,held,1
XCA-gov.regional-cameroon-chad-digital-agreement,gov.regional,0,0,0,0,0,0,,held,6
XCA-gov.regional-eccas-remittance-harmonisation,gov.regional,0,0,0,0,0,0,,held,6
XCA-infra.connect-car-south-sudan-link,infra.connect,1,3,1,1,1,1,already-seen,staged,4
XCA-infra.connect-nigeria-equatorial-guinea-cable,infra.connect,1,3,1,0,2,1,already-seen,nil,4
XCA-dpi.pay-cemac-payment-services-regulation,dpi.pay,0,0,0,0,0,0,,held,9
XCA-dpi.pay-gimacpay,dpi.pay,0,0,0,0,0,0,,held,9
XCA-dpi.registry-birth-registration-support,dpi.registry,0,0,0,0,0,0,,held,2
XCA-capacity.training-iai-cameroun,capacity.training,1,3,2,1,2,0,,staged,1
XCA-include.access-refugee-economic-inclusion,include.access,0,0,0,0,0,0,,held,1
XCA-data.statistics-itu-ict-benchmarking,data.statistics,0,0,0,0,0,0,,held,3
