indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--broadband-strategy,Broadband strategy,2,10,3,1,2,7,0,,staged,7
gov.policy--data-localisation-policies,Data localisation policies,2,6,3,1,2,2,0,,staged,7
gov.policy--open-data-policy,Open data policy,2,8,3,1,2,5,0,,staged,7
gov.legislate--legislation-covering-digital-id,Legislation covering digital id,2,5,3,1,2,2,0,,staged,7
gov.legislate--ai-legislation-regulations,AI legislation / regulations,2,6,2,1,1,3,0,,staged,7
gov.legislate--statistics-legislation,Statistics legislation,2,6,3,1,2,3,0,,staged,7
gov.regional--regional-legal-harmonisation,Regional legal harmonisation,2,5,3,1,2,2,0,,staged,3
gov.standards--national-interoperability-standards,National interoperability standards,2,6,2,1,1,4,0,,staged,3
finance.mou--strategic-relationships,Strategic relationships,2,5,3,1,2,2,0,,staged,0
infra.connect--mobile-affordability,Mobile affordability,2,5,3,1,2,2,0,,staged,7
infra.connect--internet-exchange-points,Internet Exchange Points,2,6,3,1,2,3,0,,staged,7
infra.store--off-site-backup-capacity,Off-site backup capacity,2,7,3,1,2,4,0,,staged,2
dpi.registry--population-register,dpi.registry,2,8,2,1,1,0,2,already-seen,staged,0
dpi.registry--civil-register,dpi.registry,2,9,3,1,2,0,0,,staged,0
dpi.registry--address-register,dpi.registry,2,8,3,1,2,0,0,,staged,0
dpi.registry--business-register,dpi.registry,2,8,4,1,2,0,1,headline-only-stub,staged,0
dpi.registry--social-protection-register,dpi.registry,2,8,2,1,1,0,2,already-seen,staged,0
dpi.registry--electoral-register,dpi.registry,2,8,3,1,2,0,0,,staged,0
dpi.registry--tax-register,dpi.registry,2,6,3,1,1,0,1,fetch-blocked,staged,0
dpi.registry--land-register,dpi.registry,2,6,4,1,2,0,1,fetch-blocked,staged,0
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,10,3,1,2,0,1,already-seen,staged,1
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,8,3,1,2,0,0,,staged,0
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,8,3,1,1,0,0,,staged,0
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,7,3,1,1,1,0,,staged,0
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,8,3,1,1,0,1,fetch-blocked,staged,0
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,9,3,1,2,0,0,,staged,3
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,7,2,1,1,0,2,already-seen,staged,3
dpi.id--digital-id-from-birth,dpi.id,2,9,3,1,2,1,0,,staged,7
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,8,1,1,2,0,0,,staged,7
dpi.pay--g2p-functionality,dpi.pay,2,8,3,1,2,0,0,,staged,12
dpi.pay--b2b-and-b2g-functionality,dpi.pay,2,12,2,1,2,0,0,,staged,12
dpi.pay--consumer-protection,dpi.pay,2,7,3,1,2,0,0,,staged,12
dpi.mis--education,dpi.mis,2,6,1,1,2,0,0,,staged,7
dpi.mis--social-protection,dpi.mis,2,4,1,1,1,0,1,already-seen,staged,7
dpi.mis--justice,dpi.mis,2,7,3,1,2,0,0,,staged,7
dpi.mis--customs,dpi.mis,2,8,5,1,2,2,0,,staged,7
dpi.mis--land,dpi.mis,2,7,4,1,2,1,0,,staged,7
tech.ai--use-of-ai-in-sectoral-management-information-systems,tech.ai,2,8,3,1,2,0,0,,staged,2
tech.ai--control-of-ai-abuse,tech.ai,2,9,3,1,2,0,0,,staged,2
tech.innovate--tech-startup-ecosystem,tech.innovate,2,5,3,1,2,0,0,,staged,0
capacity.literacy--digital-literacy-civil-service,capacity.literacy,2,6,3,1,2,0,0,,staged,0
capacity.literacy--digital-literacy-general-population,capacity.literacy,2,6,3,1,2,0,0,,staged,0
capacity.training--dt-related-training-in-secondary-education,capacity.training,2,8,3,1,2,0,0,,staged,1
capacity.training--graduates-entering-dt-ecosystem,capacity.training,2,7,3,1,2,0,0,,staged,1
include.access--citizen-feedback-portals,include.access,2,9,4,1,1,0,2,headline-only-stub,staged,4
include.access--citizen-participation-in-policy,include.access,2,7,3,1,2,0,0,,staged,4
include.access--inclusion-of-persons-with-disabilities,include.access,2,8,3,1,2,0,0,,staged,4
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,9,4,1,1,5,2,fetch-blocked,staged,0
data.statistics--censuses-and-surveys,data.statistics,2,9,3,1,2,6,0,,staged,0
data.statistics--statistics-from-administrative-data,data.statistics,2,8,3,1,1,4,2,already-seen;fetch-blocked,staged,0
data.open--use-of-open-data,data.open,2,8,3,1,2,5,0,,staged,0
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,9,3,1,2,6,0,,staged,1
data.satellite--meteorological-use-of-satellite-data,data.satellite,2,7,3,1,2,4,0,,staged,1
geopol.eu--eu-mous-engagements-and-commitments,geopol.eu,2,13,3,1,2,10,0,,staged,0
geopol.gulf--gulf-mous-engagements-and-commitments,geopol.gulf,2,12,3,1,2,9,0,,staged,1
