row_id,file,brief,rank,why
XWA-gov.legislate-cybercrime-statutes-and-the-press,regions-baseline/2025-06-01-ipi-cybercrime-laws-lawfare-against-the-press.md,1,1,"IPI's June 2025 report: Guinea, Mali and Niger cybercrime laws already used against journalists before the window; Burkina Faso not covered"
XWA-gov.legislate-ecowas-electronic-transactions-act,raw/2010/2010-02-16-ecowas-supplementary-act-electronic-transactions.md,0,1,"held enacting act, dated 2010 and operative; the act is itself the pre-window position"
XWA-gov.regional-roa-bn-backbone-managers-network,regions-baseline/2024-12-17-ansut-roa-bn-assemblee-generale-constitutive-conakry.md,1,1,"member agency's own account of the 5 Dec 2024 constitutive assembly: HQ fixed at Conakry, officers named"
XWA-finance.new-janngo-startup-fund,regions-baseline/2022-09-12-janngo-capital-startup-fund-first-close.md,1,1,fund manager's own EUR34m first-close announcement naming AfDB and Boost Africa (EU/OACPS) as anchor investors
XWA-infra.connect-wacs-repair-logistics,regions-baseline/2024-03-28-nca-update-6-undersea-cable-disruptions.md,1,1,"regulator update on the 2024 cuts: WACS/ACE/MainOne share one repair vessel from London, WACS restoration 28 Apr 2024"
XWA-infra.store-data-centre-capacity-gap,raw/2025/2025-05-01-west-africa-data-center-markets-brief.md,0,1,"held source is itself dated May 2025, before the window, and states the gap as at early 2025"
XWA-infra.cybersec-central-bank-cyber-vigilance,regions-baseline/2025-08-01-commission-bancaire-umoa-rapport-annuel-2024.md,1,1,bank supervisor's August 2025 annual report: supervision stepped up against technology and cybercrime risks
XWA-infra.cybersec-ecowas-cybercrime-directive,raw/2011/2011-08-19-ecowas-directive-cyber-crime.md,0,1,"held directive itself, dated 2011 and operative; the instrument is its own pre-window position"
XWA-infra.cybersec-ecowas-isac,regions-baseline/2025-03-07-anssi-guinee-csirt-cedeao-ecowas-isac.md,1,1,"national cyber agency report: ECOWAS CSIRTs agreed to set up the ECOWAS-ISAC in Nov 2024, no instrument or operation yet"
XWA-dpi.pay-bceao-papss-accession,regions-baseline/2025-06-01-bceao-fsb-groupe-consultatif-paiements-transfrontaliers.md,1,1,"BCEAO's own June 2025 account: 'participates actively' in PAPSS, no accession stated"
XWA-dpi.pay-bceao-oversight-instruction,raw/2021/2021-03-12-bceao-instruction-001-03-2021-surveillance-imf-paiement.md,0,1,"held instruction itself, dated 2021 and operative; the instrument is its own pre-window position"
XWA-dpi.pay-epss,regions-baseline/2025-08-14-wama-66th-committee-of-governors-ecowas-central-banks.md,1,1,"WAMA, 14 Aug 2025: EPSS at risk for lack of funding, cost-benefit done (4-year break-even)"
XWA-dpi.pay-gim-uemoa-switch,regions-baseline/2020-04-26-gim-uemoa-dg-coulibaly-interview-financial-afrik.md,1,2,"the switch's own published full text of its DG interview, dated 26 April 2020: Minayegnan Coulibaly as DG, ~115 interconnected institutions, >11m transactions and FCFA 1,000bn a year; rank 1 was held but its capture carries no GIM-UEMOA content"
XWA-dpi.pay-uemoa-payment-systems-regulation,raw/2002/2002-09-19-uemoa-reglement-15-2002-systemes-paiement.md,0,0,"held regulation itself, adopted 19 Sep 2002 and operative before the cutoff; the Act is itself the baseline position"
XWA-dpi.pay-union-electronic-money-position,raw/2026/2026-01-01-bceao-services-financiers-numeriques-uemoa-2024.md,0,0,"held BCEAO annual digital-financial-services report for 2024: states the union's electronic-money accounts, active accounts and transactions at end-2024, the pre-window year of the same series; published Jan 2026 but dated to its reference year; it does not cover the large-microfinance half of the row"
XWA-dpi.pay-payment-services-instruction,raw/2024/2024-01-23-bfa-bceao-instruction-001-01-2024-services-paiement.md,0,0,"held instruction itself, dated 23 Jan 2024 and operative before the cutoff; the instrument is itself the baseline position"
XWA-dpi.mis-asrii-platform,XAF/baseline/2025-06-01-african-integration-report-2025.md,1,2,"already staged by XAF: the AUC's June 2025 report sets out the ASRII methodology and publishes REC scores including ECOWAS's, the pre-cutoff state before the ECOWAS platform rollout"
XWA-tech.innovate-ecowas-startup-awards,regions-baseline/2021-11-25-ecowas-first-west-african-startup-summit-awards.md,1,1,"the Commission's own results release for the first edition (Niamey, Nov 2021): 10 startups awarded, named winners and prizes"
XWA-capacity.training-agrhymet-enabel-land-degradation-monitoring,regions-baseline/2024-08-22-agrhymet-enabel-convention-launch-land-degradation.md,1,1,"AGRHYMET's own launch account of the Enabel convention (Aug 2024): scope, four countries, 26 months, FCFA 344.8m"
XWA-capacity.training-regional-skills-programme,regions-baseline/2025-06-03-cofeb-parcours-bceao-attf-finance-digitale-deuxieme-edition.md,1,1,"COFEB's own closing report of the second edition (Sep 2024-May 2025): 23 certified, 8 dissertations"
XWA-capacity.training-epsg-factcheck,regions-baseline/2025-05-30-fiap-eu-epsg-disinformation-project-west-africa.md,1,1,"implementer's own pre-cutoff statement of the EPSG fact-checking and counter-disinformation component (Nov 2024-Oct 2027), before any platform was selected"
XWA-data.statistics-ecomac,raw/2007/2007-12-15-ecowas-regulation-c-reg-30-12-07-ecomac.md,0,0,"held regulation constituting the ECOMAC statistical and computer protocol (Dec 2007), operative before the cutoff; the instrument is itself the baseline position"
XWA-geopol.china-external-partners,regions-baseline/2024-07-06-ecowas-new-headquarters-construction-progress-china-aid.md,1,1,"the Commission's own dated construction-status record: 33% physical, 45% financial completion in July 2024, handover scheduled Feb 2025"
