indicator_id,url,title,publisher,published,brief,why_not,slice
gov.policy--broadband-strategy,https://www.mdenp.gov.bf/details?...news=1017,CASEM extraordinaire 2025,MDENP,2025-08-21,progress,already-seen (DUP-EXACT vs raw/2025/2025-08-21-bfa-mtdpce-casem-extraordinaire-pta-2025-execution-10-80.md),gov-policy+legislate
gov.policy--data-storage-cloud-strategy,https://primature.gov.bf/souverainete-numerique-le-premier-ministre-inaugure-deux-datacenters-2/,Souveraineté numérique: inauguration deux datacenters,Primature,2026-01-23,baseline-candidate,already-seen (DUP-EXACT vs raw/2026/2026-01-23-primature-...),gov-policy+legislate
gov.policy--data-storage-cloud-strategy,https://www.queenmafa.net/2026/07/26/chantier-zero-donnee-a-lexterieur-120-plateformes-deja-repertoriees/,Zéro donnée à l'extérieur: 120 plateformes,Queen Mafa,2026-07-26,progress,already-seen (DUP-EXACT vs raw/2026/2026-07-26-...),gov-policy+legislate
gov.policy--data-governance-policy,https://assembleenationale.bf/830,Loi protection données personnelles adoptée,ALT,2026-08-03,progress,already-seen (DUP-EXACT vs raw/2026/2026-08-03-burkina-faso-deputies-adopt-new-personal-data-protection-law.md),gov-policy+legislate
gov.policy--data-governance-policy,https://www.assembleenationale.bf/831,Loi organisant l'ARCOD adoptée,ALT,2026-08-03,progress,already-seen (DUP-EXACT vs raw/2026/2026-08-03-burkina-faso-deputies-adopt-organic-law-creating-arcod.md),gov-policy+legislate
gov.legislate--ai-legislation-regulations,https://www.assembleenationale.bf/831,Loi organisant l'ARCOD adoptée,ALT,2026-08-03,progress,already-seen (same as above),gov-policy+legislate
gov.legislate--e-commerce-legislation,https://www.finances.gov.bf/forum/detail-actualites?...news=vat,VAT on e-commerce platforms (Loi de finances 2026),MEF,2025-12-27,progress,already-seen (DUP-EXACT vs raw/2025/2025-12-27-bfa-mef-loi-finances-2026-deputes-feu-vert.md),gov-policy+legislate
gov.legislate--e-commerce-legislation,https://dgi.bf/journal-officiel-n01-special-loi-de-finances-2026/,Journal Officiel n01 Special Loi de Finances 2026,DGI,2026-01-03,progress,"headline-only-stub (thin landing page, no extractable statute text beyond headline/download link)",gov-policy+legislate
gov.legislate--statistics-legislation,https://www.insd.bf/sites/default/files/2022-05/loi_036_statistiques.pdf,Loi n°036-2021/AN full PDF,INSD,2021-12-06,baseline-candidate,already-seen (DUP-EXACT vs raw/2021/2021-12-06-burkina-loi-036-2021-activites-statistiques.md),gov-policy+legislate
gov.regional--regional-legal-harmonisation,https://www.ecowas.int/wp-content/uploads/2025/06/Final-Communique_Summit_ENG.pdf,ECOWAS Final Communiqué 22 June 2025,ECOWAS,2025-06-22,progress,out-of-window (published before 2025-08-01),gov-regional+standards+discourse+finance+infra
gov.regional--regional-legal-harmonisation,https://ictpolicyafrica.org/api/documents/download?_id=5e905c9351621e001b4d5966,ECOWAS Supplementary Act A/SA.1/01/10,ECOWAS,2010-02-16,baseline,not fetched - cap=1 filled by more current withdrawal statement,gov-regional+standards+discourse+finance+infra
gov.regional--regional-legal-harmonisation,https://www.assembleenationale.bf/144,BF Assembly AES treaty approval,Assemblée nationale du Burkina Faso,2025-03-27,baseline,not fetched - cap=1 filled by more current ECOWAS withdrawal statement,gov-regional+standards+discourse+finance+infra
gov.regional--cross-border-data-transfers,https://cil.bf/?page_id=1062,CIL BF transfer authorization forms,CIL Burkina Faso,undated,baseline,not fetched - cap=1 filled by primary law,gov-regional+standards+discourse+finance+infra
gov.regional--cross-border-data-transfers,https://www.aib.media/burkina-les-deputes-adoptent-la-loi-portant-creation-de-larcod-issue-de-la-fusion-du-csc-et-de-la-cil/,ARCOD creation law,AIB,2026-08-04,progress,already-seen (DUP-EXACT raw/2026/2026-08-04-burkina-faso-arcod-created-by-merger-of-csc-and-cil.md),gov-regional+standards+discourse+finance+infra
gov.regional--cross-border-data-transfers,https://www.ecowas.int/wp-content/uploads/2026/07/Final-Communique_-ENG.pdf,ECOWAS revised Supplementary Act,ECOWAS,2026-07-19,progress,already-seen (DUP-EXACT raw/2026/2026-07-19-ecowas-69th-ordinary-session-final-communique.md),gov-regional+standards+discourse+finance+infra
gov.standards--national-quality-standards,https://abnorm.bf/historique/,ABNORM Historique,ABNORM,undated,baseline,not fetched - cap=1 filled by founding decree,gov-regional+standards+discourse+finance+infra
gov.standards--national-quality-standards,https://faolex.fao.org/docs/pdf/bkf165524.pdf,Décret n°2016-1248 marque nationale conformité,Présidence du Faso,2016-12-30,baseline,not fetched - cap=1 filled,gov-regional+standards+discourse+finance+infra
gov.standards--national-quality-standards,https://faso7.com/2026/06/10/enquete-publique-relative-a-la-revision-de-normes-nationales...,Enquête publique révision normes nationales,Faso7,2026-06-09,progress,"not fetched - no-development (public consultation notice only, not yet an adopted standard)",gov-regional+standards+discourse+finance+infra
gov.standards--adoption-of-international-standards,https://www.iso.org/member/269997.html,ABNORM ISO member page,ISO,undated,baseline,not fetched - cap=1 filled by ABNORM catalogue,gov-regional+standards+discourse+finance+infra
gov.standards--adoption-of-international-standards,https://www.itu.int/dms_pubrec/itu-t/rec/x/T-REC-X.Sup27-201609-I!!SUM-HTM-E.htm,ITU-T X.1054/ISO 27014 case Burkina Faso,ITU-T,2016-09-01,baseline,"not fetched - cap=1 filled, dated/historical",gov-regional+standards+discourse+finance+infra
gov.standards--adoption-of-international-standards,https://abnorm.bf/2025/08/04/qualite-des-produits-a-limportation-un-nouveau-texte...,Certificat national de conformité decree,ABNORM,2025-08-04,progress,not fetched - cap=2 filled by Kigali Agreement + S4S pilot,gov-regional+standards+discourse+finance+infra
gov.discourse--non-governmental-contribution-to-national-policy,https://documents1.worldbank.org/curated/en/099010324062521988/txt/BOSIB1820069fa08f184be153cc4df50669.txt,Burkina Faso Digital Acceleration Project PAD,World Bank,2023-12-22,baseline,not fetched - cap=1 filled by CDD report,gov-regional+standards+discourse+finance+infra
gov.discourse--non-governmental-contribution-to-national-policy,https://www.opengovpartnership.org/wp-content/uploads/2020/01/Burkina-Faso_Action-Plan_2019-2021_EN.pdf,OGP National Action Plan 2019-2021,OGP/Government of Burkina Faso,2019-12-01,baseline,"not fetched - cap=1 filled, less digital-specific",gov-regional+standards+discourse+finance+infra
gov.discourse--non-governmental-contribution-to-national-policy,https://libreinfo.net/burkina-faso-un-dialogue-direct-pour-une-gouvernance-numerique-inclusive-et-vertueuse/,Balai Citoyen/Kofi Annan digital governance dialogue,Libreinfo.net,2026-07-28,progress,already-seen (DUP-EXACT raw/2026/2026-08-01-burkina-faso-balai-citoyen-digital-governance-dialogue.md),gov-regional+standards+discourse+finance+infra
finance.mou--strategic-relationships,https://documents1.worldbank.org/curated/en/099010324062521988/txt/BOSIB1820069fa08f184be153cc4df50669.txt,Burkina Faso Digital Acceleration Project PAD,World Bank,2023-12-22,baseline,not fetched - cap=1 filled by PACT DIGITAL ratification,gov-regional+standards+discourse+finance+infra
finance.mou--strategic-relationships,https://documents1.worldbank.org/curated/en/099053025134047787/pdf/P168386-0999976a-f718-4350-975f-fd9b633de229.pdf,Lomé-Ouagadougou-Niamey Corridor Financing Agreement,World Bank/IDA,2025-05-30,baseline,not fetched - cap=1 filled,gov-regional+standards+discourse+finance+infra
finance.mou--strategic-relationships,https://burkina-faso.news-pravda.com/burkina-faso/2026/02/14/46188.html,Burkina Faso-Russia S&T MOUs,Pravda Burkina Faso,2026-02-13,progress,"inadmissible-origin (Pravda network, DROP per origin-screen)",gov-regional+standards+discourse+finance+infra
finance.new--mobilisation-of-non-state-finance,https://burkina24.com/2019/03/19/partenariat-onatel-banque-atlantique-bientot-la-4g-disponible/,ONATEL-Banque Atlantique 4G financing,Burkina24,2019-03-19,baseline,not fetched - cap=1 filled by more current FMO investment,gov-regional+standards+discourse+finance+infra
finance.new--mobilisation-of-non-state-finance,https://documents1.worldbank.org/curated/en/099010324062521988/txt/BOSIB1820069fa08f184be153cc4df50669.txt,Digital Acceleration Project CAPEX subsidies mechanism,World Bank,2023-12-22,baseline,not fetched - cap=1 filled,gov-regional+standards+discourse+finance+infra
finance.new--mobilisation-of-non-state-finance,https://www.aib.media/burkina-souverainete-numerique-ika-cloud-le-premier-hebergeur-100-local-des-donnees/,IKA CLOUD launch,AIB,2026-08-01,progress,already-seen (DUP-EXACT raw/2026/2026-08-01-burkina-ika-cloud-hebergeur-local-donnees.md),gov-regional+standards+discourse+finance+infra
infra.connect--internet-usage,https://datahub.itu.int/data/?e=BFA,ITU DataHub Burkina Faso,ITU,live,baseline,not fetched - dynamic/live page unsuitable for verbatim capture,gov-regional+standards+discourse+finance+infra
infra.connect--internet-usage,https://www.arcep.bf/download/1er-trimestre-2025-observatoire-internet/,ARCEP Q1 2025 Observatoire Internet,ARCEP,2025-08-12,baseline,"headline-only-stub (fetched - download-wrapper page only, no accessible PDF text)",gov-regional+standards+discourse+finance+infra
infra.connect--internet-usage,https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=BF,World Bank internet-usage indicator page,World Bank,live,baseline,"headline-only-stub (fetched - dynamic chart page, no numeric data returned)",gov-regional+standards+discourse+finance+infra
infra.connect--internet-usage,https://telecomobserver.com/burkina-faso-connectivity-degradation-eight-days-may-2026/,Connectivity degradation event May 2026,Telecom Observer,2026-05-27,progress,"inadmissible-origin (Generated-content site, DROP per origin-screen)",gov-regional+standards+discourse+finance+infra
infra.connect--international-internet-bandwidth,https://www.itu.int/en/ITU-D/Statistics/Documents/publications/ldb/LDB_ICT_2018.pdf,Little Data Book on ICT 2018,ITU/World Bank,2018-01-01,baseline,"not fetched - cap=1 filled, outdated 2016-era data",gov-regional+standards+discourse+finance+infra
infra.connect--international-internet-bandwidth,https://www.afdb.org/en/news-and-events/press-releases/niger-takes-major-step-towards-high-speed-connectivity-handover-over-1000-km-fibre-optic-cable,Niger fibre backbone handover to BF border,AfDB,2025-11-14,progress,fetch-blocked (CRAWL_UNKNOWN_ERROR on two attempts),gov-regional+standards+discourse+finance+infra
