indicator_id,file,brief,rank,why
gov.policy--ict-strategy,2010-05-27-bo-guine-bissau-21-sup3-lei-5-2010-base-tic.md,baseline,1,"The operative sectoral framework law; Article 3(2) is the statutory basis on which any national ICT strategy is made and must be published. Chosen over Decreto 10/2025 approving ENTD.GW, which the base already carries"
gov.policy--ict-strategy,2026-05-19-guine-bissau-comunicado-conselho-ministros-politica-nacional-competencias-digitais.md,progress,1,Primary Council of Ministers communiqué approving the Política Nacional de Competências Digitais decree project — a concrete post-launch instrument operationalising ENTD.GW's human-capital objective under the transitional government
gov.policy--ict-strategy,2026-03-18-worldbank-wardip-p176932-isr06133-implementation-status-results-report.md,progress,2,"The dated authoritative statement of where implementation stands: 13.35% disbursed, steering and technical committees not reactivated, legal reforms slowed, backbone procurement delayed — the counterweight to the strategy's approval"
gov.policy--broadband-strategy,2019-01-01-itu-broadband-strategies-policies-plans-2019.md,baseline,1,The authoritative record of the absence — the ITU country table entry reads Guinea-Bissau No for an adopted national broadband policy or plan
gov.policy--broadband-strategy,2026-05-01-wardip-plano-estrategico-fundo-acesso-servicos-universais-2026-2031.md,progress,1,Nearest thing to an adopted national connectivity strategy — objectives indicators and milestones for universal access 2026-2031 prepared for ARN
gov.policy--broadband-strategy,2026-03-18-worldbank-wardip-sop1-isr-seq4.md,progress,2,Distinct event with a stated position: 13.35 per cent disbursement backbone procurement delayed legal reforms slowed and a five-country submarine cable procurement targeted for June 2026
gov.policy--data-storage-cloud-strategy,2023-11-07-world-bank-wardip-project-appraisal-document-guinea-bissau-p176932.md,baseline,1,"The approved instrument that makes a government cloud strategy a funded Guinea-Bissau activity (Component 3, US$60m IDA grant); no national cloud or storage policy exists independently of it"
gov.policy--data-storage-cloud-strategy,2026-03-17-worldbank-wardip-p176932-procurement-plan-guinea-bissau.md,progress,1,"Dated procurement record showing the National GovCloud tender cancelled twice and re-let under a second credit, plus a technical room and NOC line to host it — the state of the cloud strategy in execution rather than in prospectus"
gov.policy--data-storage-cloud-strategy,2026-03-14-conosaba-pnud-inicia-construcao-centro-nacional-de-dados-guine-bissau.md,progress,2,"Construction started on a National Data Centre at Alto Bandim, Japan-funded and UNDP-implemented, explicitly to hold citizen data on national territory — a distinct event from the WARDIP procurement and the only physical build located"
gov.policy--data-interoperability-framework-roadmap,2024-07-31-gnb-wardip-egif-gw-interoperability-framework-v2.md,baseline,1,"The interoperability framework and roadmap document itself — eGIF-GW, with the enterprise architecture and the action plan for digitalising key public services; the only national framework text located, and its own version date is 31 Jul 2024 though it reached the public WARDIP site in Nov 2025"
gov.policy--data-interoperability-framework-roadmap,2026-04-01-undp-guinea-bissau-newsletter-05-jan-mar-2026.md,progress,1,"First civil registry office in the country operating entirely on the national SIREC platform, 2.4m records digitised — the data-exchange foundation the framework documents describe as prerequisite, moving inside the window"
gov.policy--ai-strategy,2025-03-28-informea-decreto-10-2025-entd-gw-guine-bissau.md,baseline,1,No standalone AI strategy exists; ENTD.GW 2025-2030 adopted by Decreto n.º 10/2025 is the national framework in its place and this record names the instrument and its date
gov.policy--ai-strategy,2026-07-15-ang-ministro-saude-inteligencia-artificial-guine-bissau.md,progress,1,Dated ministerial position: Guinea-Bissau at an initial stage of AI adoption in health and building the basis for responsible implementation
gov.policy--ai-strategy,2026-06-12-forum-macau-capacitacao-inteligencia-artificial-cooperacao-sino-lusofona.md,progress,2,Distinct event: a named Guinean ministry official speaks in the China–Lusophone AI panel — government participation standing in for a strategy
gov.policy--data-localisation-policies,2023-01-01-uneca-dtri-guinea-bissau-country-profile.md,baseline,1,"The authoritative statement of the standing position: no specific data protection law, the signed ECOWAS Supplementary Act unenforceable while unpublished in the Boletim Oficial, and no local data-hosting requirement — a documented absence is the baseline here"
gov.policy--data-localisation-policies,2025-09-25-ang-conselho-ministros-politica-governanca-protecao-dados.md,progress,1,"Council of Ministers approves the Política Nacional de Governança e Proteção de Dados — the only in-window movement on the domestic data-governance instrument, and still an approved project rather than a promulgated law"
gov.policy--open-data-policy,2024-07-08-imf-pr24262-guinea-bissau-implements-egdds-national-summary-data-page.md,baseline,1,The only operating national open-data facility Guinea-Bissau has — the e-GDDS National Summary Data Page — documented by the body that certified it; there is no national open-data policy or access-to-information statute to stand in its place
