indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,4,3,1,2,0,1,already-seen,staged,6
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,4,3,1,2,0,0,,staged,6
gov.policy--open-data-policy,gov.policy,2,4,5,1,2,1,0,,staged,6
gov.legislate--statistics-legislation,gov.legislate,2,2,2,1,1,0,0,,staged,14
gov.standards--national-quality-standards,gov.standards,2,4,3,1,2,1,0,,staged,2
gov.standards--adoption-of-international-standards,gov.standards,2,4,3,1,2,0,0,,staged,2
infra.connect--mobile-affordability,infra.connect,2,4,3,1,2,0,0,,staged,20
infra.store--off-site-backup-capacity,infra.store,2,4,3,1,2,0,0,,staged,6
infra.energy--grid-reliability,infra.energy,2,4,4,1,2,1,0,,staged,1
infra.energy--rural-electrification,infra.energy,2,4,3,1,2,0,0,,staged,1
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,11,3,1,2,0,0,,staged,1
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,13,3,1,2,0,0,,staged,2
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,9,3,1,2,0,0,,staged,2
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,9,4,1,2,1,0,,staged,2
dpi.id--robustness-of-system,dpi.id,2,10,3,1,2,0,0,,staged,12
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,13,6,1,2,3,0,,staged,12
dpi.id--digital-id-from-birth,dpi.id,2,8,3,1,2,0,0,,staged,12
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,8,4,1,2,1,0,,staged,12
dpi.pay--revenue-collection,dpi.pay,2,9,3,1,2,0,1,already-seen,staged,16
dpi.registry--population-register,dpi.registry,2,5,3,1,2,0,0,,staged,4
dpi.registry--address-register,dpi.registry,2,7,4,1,1,2,0,,staged,4
dpi.registry--social-protection-register,dpi.registry,2,5,3,1,2,0,0,,staged,4
dpi.registry--electoral-register,dpi.registry,2,5,4,1,2,0,1,duplicate-in-run,staged,4
dpi.registry--tax-register,dpi.registry,2,8,5,1,2,1,1,headline-only-stub,staged,4
dpi.mis--education,dpi.mis,2,4,3,1,2,0,0,,staged,2
dpi.mis--social-protection,dpi.mis,2,5,4,1,1,0,2,out-of-window;duplicate-in-run,staged,2
dpi.mis--land,dpi.mis,2,5,3,1,2,0,0,,staged,2
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,5,3,1,2,0,0,,staged,1
digital.rural--digitalisation-of-rural-health-clinics,Digitalisation of rural health clinics,2,5,3,1,2,2,0,,staged,0
digital.rural--digitalisation-of-rural-primary-schools,Digitalisation of rural primary schools,2,6,4,1,2,2,0,,staged,0
digital.rural--digitalisation-of-rural-registry-offices,Digitalisation of rural registry offices,2,6,4,1,2,2,0,,staged,0
digital.rural--digitalisation-of-rural-police-stations,Digitalisation of rural police stations,2,6,3,1,2,1,1,already-seen,staged,0
include.access--citizen-feedback-portals,Citizen feedback portals,2,6,4,1,2,2,1,already-seen,staged,3
include.access--citizen-participation-in-policy,Citizen participation in policy,2,6,4,1,2,1,0,,staged,3
include.access--inclusion-of-refugees-and-idps,Inclusion of refugees and IDPs,2,6,4,1,2,1,0,,staged,3
data.statistics--national-strategy-for-development-of-statistics,National strategy for development of statistics,2,6,4,1,2,2,0,,staged,2
data.statistics--statistics-from-administrative-data,Statistics from administrative data,2,6,3,1,2,2,0,,staged,2
geopol.china--chinese-mous-engagements-and-commitments,Chinese MoUs engagements and commitments,2,6,4,1,2,1,0,,staged,0
geopol.gulf--gulf-mous-engagements-and-commitments,Gulf MoUs engagements and commitments,2,6,4,1,2,1,0,,staged,1
geopol.india--india-mous-engagements-and-commitments,India MoUs engagements and commitments,2,6,4,1,2,1,0,,staged,1
