indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--broadband-strategy,gov.policy,2,7,1,0,1,0,2,already-seen,staged,6
gov.policy--data-storage-cloud-strategy,gov.policy,2,4,0,0,0,0,2,already-seen,nil,6
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,6,1,0,1,0,2,already-seen,staged,6
gov.policy--ai-strategy,gov.policy,2,6,2,1,1,0,1,already-seen,staged,6
gov.policy--data-localisation-policies,gov.policy,2,5,1,1,0,0,2,already-seen,staged,6
gov.policy--data-governance-policy,gov.policy,2,6,1,0,1,0,1,already-seen,staged,6
gov.policy--open-data-policy,gov.policy,2,5,2,1,1,0,1,already-seen,staged,6
gov.protect--national-data-protection-readiness,gov.protect,2,4,0,1,1,0,0,,staged,2
gov.standards--national-interoperability-standards,gov.standards,2,5,1,1,0,0,2,already-seen,staged,5
gov.legislate--legislation-covering-digital-id,gov.legislate,2,7,2,1,0,0,3,off-topic,staged,7
gov.legislate--digital-payments-legislation,gov.legislate,2,10,5,1,2,1,0,,staged,7
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,6,0,0,0,0,1,already-seen,nil,7
gov.legislate--ai-legislation-regulations,gov.legislate,2,8,2,1,1,0,2,already-seen,staged,7
gov.legislate--statistics-legislation,gov.legislate,2,7,1,1,0,0,3,off-topic,staged,7
gov.legislate--access-to-information-legislation,gov.legislate,2,7,1,1,0,0,3,off-topic,staged,7
gov.regional--regional-legal-harmonisation,gov.regional,2,10,2,1,1,0,1,already-seen,staged,2
gov.regional--shared-regional-infrastructure,gov.regional,2,8,3,1,2,0,1,already-seen,staged,2
gov.regional--cross-border-data-transfers,gov.regional,2,6,3,1,2,1,0,,staged,2
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,7,1,1,0,5,1,already-seen,staged,2
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,6,3,1,2,3,0,,staged,2
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,7,2,0,2,4,1,already-seen,staged,2
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,4,1,1,0,2,1,already-seen,staged,2
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,6,2,1,1,3,1,already-seen,staged,5
dpi.id--authentication,dpi.id,2,5,1,1,0,2,1,already-seen,staged,5
