row_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
XAF-capacity.training-leaps,capacity.training,1,3,1,1,0,0,,staged,4
XAF-dpi.exchange-afcfta-customs-modernisation,dpi.exchange,1,3,2,1,1,0,,staged,12
XAF-dpi.exchange-continental-data-governance-frameworks,dpi.exchange,1,3,0,0,0,0,,held,12
XAF-dpi.id-apai-crvs,dpi.id,1,3,2,1,1,0,,staged,5
XAF-dpi.id-smart-africa-digital-identity-blueprint,dpi.id,1,3,0,0,0,1,already-seen,held,5
XAF-dpi.id-ssa-id-coverage,dpi.id,1,3,1,1,0,0,,staged,5
XAF-dpi.id-upanzi-policy-analyzer,dpi.id,1,3,1,0,1,1,off-topic,nil,5
XAF-dpi.mis-asrii,dpi.mis,1,3,1,1,0,0,,staged,5
XAF-dpi.pay-cips-africa-uptake,dpi.pay,1,3,0,0,0,0,,held,17
XAF-dpi.pay-comesa-retail-payments,dpi.pay,1,3,1,1,0,0,,staged,17
XAF-dpi.pay-cross-border-cost,dpi.pay,1,3,1,0,1,1,off-topic,nil,17
XAF-dpi.pay-psda,dpi.pay,1,3,2,1,1,0,,staged,17
XAF-dpi.pay-remittance-cost-to-ssa,dpi.pay,1,3,1,1,0,0,,staged,17
XAF-dpi.pay-stablecoin-payout-rail,dpi.pay,1,3,1,1,0,0,,staged,17
XAF-dpi.pay-stablecoin-settlement-rails,dpi.pay,1,3,1,1,0,1,already-seen,staged,17
XAF-dpi.pay-trade-finance-gap,dpi.pay,1,3,1,1,0,0,,staged,17
XAF-dpi.registry-ohada-audcg,dpi.registry,1,3,0,0,0,0,,held,1
XAF-finance.new-afc-digital-bond,finance.new,1,3,3,0,3,0,,nil,32
XAF-finance.new-africa50-infrastructure-acceleration-fund,finance.new,1,3,2,1,1,0,,staged,32
XAF-finance.new-biashara-2063,finance.new,1,3,1,1,0,0,,staged,32
XAF-finance.new-bii-africa50-partnership,finance.new,1,2,0,0,0,2,off-topic;off-topic,nil,32
XAF-finance.new-bluepeak-monty-mobile,finance.new,1,3,0,0,0,3,off-topic;inadmissible-origin;off-topic,nil,32
XAF-finance.new-development-agency-africa-digital-portfolio,finance.new,1,5,2,1,1,1,out-of-window,staged,32
XAF-finance.new-development-finance-portfolio-stage-mix,finance.new,1,4,1,0,1,0,,nil,32
XAF-finance.new-google-accelerator-raises,finance.new,1,3,1,1,0,0,,staged,32
XAF-finance.new-koica-youth-leadership-programme,finance.new,1,4,0,0,0,4,out-of-window;off-topic;already-seen;off-topic,nil,32
XAF-finance.new-lingua-africa,finance.new,1,3,1,1,0,0,,staged,32
XAF-finance.new-private-capital-fundraising,finance.new,1,3,3,1,2,0,,staged,32
XAF-geopol.china-ai-cooperation-centres,geopol.china,1,4,1,1,0,1,duplicate-in-run,staged,5
XAF-geopol.china-atu-caict-mou,geopol.china,1,3,1,1,0,2,out-of-window;out-of-window,staged,5
XAF-gov.policy-africa-tech-policy-tracker,gov.policy,1,3,1,1,0,0,,staged,3
