indicator_id,url,title,publisher,published,brief,why_not,slice
capacity.literacy--digital-literacy-civil-service,https://www.fdnb.gov.bi/fr/loutil-informatique-crucial-dans-les-operations-de-paix,"L'outil informatique, crucial dans les opérations de paix",Force de Défense Nationale du Burundi,2025-09-27,progress,"fetched, dropped off-topic: UNSOS-delivered six-day ICT course for 13 officers of the 15th Burundian AUSSOM contingent in Somalia. Military personnel on deployment abroad, not the fonction publique, and the training is the UN's not Burundi's.",capacity-data
capacity.literacy--digital-literacy-civil-service,https://abpinfo.bi/2026/04/22/validation-de-la-strategie-nationale-de-lia/,Validation de la stratégie nationale de l'IA,Agence Burundaise de Presse (ABP),2026-04-22,progress,"dropped already-seen: the six-pillar national AI strategy validated 21-22 April 2026 is already held. Its capital-humain pillar targets training over 1,000 agents publics in AI skills - a target, not agents trained.",capacity-data
capacity.literacy--digital-literacy-civil-service,https://www.insp.gouv.fr/actualites/le-formation-au-burundi-un-projet-en-bonne-voie,L'e-formation au Burundi : un projet en bonne voie,"Institut national du service public (INSP, France)",2025-05-15,baseline,"not fetched, below cap: PADeFF civil-service e-learning project with ENA Burundi; a module was tested with 15 ENA teachers and the digitisation team trained. French publisher, and the strongest alternative baseline if the cap widens.",capacity-data
capacity.literacy--digital-literacy-general-population,https://setic.gov.bi/recrutement-dun-bureau-detudes-pour-le-developpement-dune-strategie-budgetun-plan-operationnel-dao-pour-lalphabetisation-numerique-de-base/,"RECRUTEMENT D'UN BUREAU D'ETUDES POUR LE DEVELOPPEMENT D'UNE STRATEGIE, BUDGET, UN PLAN OPERATIONNEL, DAO POUR L'ALPHABETISATION NUMERIQUE DE BASE",Le SETIC,2024-05-20,progress,"dropped out-of-window: procurement notice for the basic digital literacy strategy, dated 20 May 2024, before the 2025-08-01 window opens.",capacity-data
capacity.literacy--digital-literacy-general-population,https://arct.gov.bi/2025/08/27/rapport-des-indicateteurs-tic-au-burundi-edition-2024-2/,"RAPPORT DES INDICATETEURS TIC AU BURUNDI, EDITION 2024",Autorité de Régulation et de Contrôle des Télécommunications (ARCT),2025-08-27,progress,"dropped off-topic: in-window and authoritative, but reports subscriptions, penetration, coverage and mobile money only. It carries no ICT-skills or digital-literacy indicator, so it does not move this indicator. Already staged by a sibling slice.",capacity-data
capacity.literacy--digital-literacy-general-population,https://academy.itu.int/training-courses/full-catalogue/formation-et-validation-de-strategie-nationale-sur-linclusion-numerique-au-burundi,Formation et validation de Stratégie Nationale sur l'Inclusion Numérique au Burundi,ITU Academy / BDT,,progress,"dropped headline-only-stub: course-catalogue entry for a 3-5 September 2025 session presenting the draft national digital inclusion strategy. No publication date, no evidence of adoption, no population literacy target.",capacity-data
capacity.literacy--digital-literacy-general-population,https://download.uis.unesco.org/SDG4/SDG4-Profile-Burundi.pdf,SDG 4 - Country Profiles,UNESCO Institute for Statistics,,baseline,"not fetched, below cap: records SDG indicator 4.4.1, proportion of youth and adults with ICT skills, as having no data for Burundi. The clearest single statement of the measurement gap and the best evidence-of-absence document if the cap widens.",capacity-data
capacity.training--dt-related-training-in-secondary-education,https://www.cbetic.tech/commune-de-bururi-le-cbetic-mobilise-la-communaute-educative-locale-pour-rallumer-linitiative-dacheter-un-groupe-electrogene/,Commune de Bururi : le CBETIC mobilise la communauté éducative locale pour rallumer l'initiative d'acheter un groupe électrogène,Centre burundais d'expertise en TIC (CBETIC),2026-04-16,progress,dropped off-topic: a single-commune fundraising workshop for a generator. It carries a striking datum - 15 MENRS-supplied computers unused for over two years across the 10 schools of the Kajabure network for want of electricity - but it is not a national movement.,capacity-data
capacity.training--dt-related-training-in-secondary-education,https://www.teachertaskforce.org/sites/default/files/2026-03/burundi_Plan%20sectoriel%20de%20l%27education.%20Burundi.%202022-2030.pdf,PLAN SECTORIEL DE L'EDUCATION 2022-2030,"MENRS, hosted by the Teacher Task Force",2023,baseline,"not fetched, below cap: the ministry's sector plan, covering fondamental and post-fondamental curricula and system digitalisation. Third-party host; the MENRS ICT workshop page was preferred because it carries the ministry's own deployment figures.",capacity-data
capacity.training--graduates-entering-dt-ecosystem,https://www.linkedin.com/posts/kit-digital-innovation-hub_umugenziintech-codeclub-kithub-activity-7430618973567860736-A9hb,Innovation pour chaque enfant!,KIT- Digital Innovation HUB,2026-02-20,progress,"dropped inadmissible-origin: a LinkedIn post, not a publication. Content is real and relevant - UMUGENZI IN TECH Code Clubs launched with the Raspberry Pi Foundation, 70+ schools at the event, targets of 100+ teachers and 50+ clubs - so worth re-sourcing to a publisher if the cap widens.",capacity-data
