row_id,file,brief,rank,why
XAF-capacity.training-leaps,baseline/2024-11-05-acbf-leaps-launch-harare.md,1,1,"ACBF's own launch account; programme launched 5 Nov 2024, the pre-cutoff founding position"
XAF-dpi.exchange-afcfta-customs-modernisation,baseline/2025-04-11-how-to-modernize-customs-procedures-afcfta.md,1,1,"pre-cutoff statement that no continental automated customs system existed, only proposals"
XAF-dpi.exchange-continental-data-governance-frameworks,raw/2022/2022-02-01-au-data-policy-framework.md,1,1,held AU Data Policy Framework mandating the cross-border and data-sharing frameworks
XAF-dpi.id-apai-crvs,baseline/2017-11-01-apai-crvs-costed-strategic-plan-2017-2021.md,1,2,programme's own strategic plan for the 2017-2026 decade; no later plan surfaced
XAF-dpi.id-smart-africa-digital-identity-blueprint,raw/2020/2020-01-01-smart-africa-blueprint-digital-identity.md,1,2,"held blueprint itself, pre-cutoff and operative; no later edition surfaced"
XAF-dpi.id-ssa-id-coverage,baseline/2024-07-21-trends-in-access-to-id-in-sub-saharan-africa.md,1,1,"World Bank's own pre-cutoff statement of SSA adult ID ownership (78%, Findex 2021)"
XAF-dpi.mis-asrii,baseline/2025-06-01-african-integration-report-2025.md,1,1,AUC's own June 2025 report stating the ASRII methodology and scores
XAF-dpi.pay-cips-africa-uptake,raw/2025/2025-06-19-standard-bank-first-african-bank-cips-access.md,1,3,"held operator notice of the first African bank access to CIPS, June 2025"
XAF-dpi.pay-comesa-retail-payments,baseline/2025-03-01-comesa-eu-partnership-shaping-a-digital-future.md,1,1,operator's own pre-cutoff statement of the platform at pilot deployment
XAF-dpi.pay-psda,baseline/2025-03-01-rfp-feasibility-study-payment-services-directive-africa.md,1,2,primary PSDA-specific document stating it as a proposal at feasibility stage
XAF-dpi.pay-remittance-cost-to-ssa,baseline/2025-03-01-remittance-prices-worldwide-march-2025.md,1,1,latest pre-cutoff issue of the series the end figure is drawn from
XAF-dpi.pay-stablecoin-payout-rail,baseline/2024-10-02-sub-saharan-africa-nigeria-takes-2-crypto-tradfi.md,1,1,dated pre-cutoff regional account of stablecoin and crypto payment use
XAF-dpi.pay-stablecoin-settlement-rails,baseline/2025-05-27-digital-payment-innovations-in-sub-saharan-africa.md,1,1,IMF's pre-cutoff regional policy paper on digital payments including stablecoin settlement
XAF-dpi.pay-trade-finance-gap,baseline/2025-01-01-african-trade-report-2025.md,1,1,"Afreximbank flagship published 2025, before cutoff, covering 2024 trade finance"
XAF-dpi.registry-ohada-audcg,raw/2010/2010-12-15-ohada-audcg-acte-uniforme-droit-commercial-general.md,1,1,"held enacting Act, operative and pre-cutoff; the Act is itself the baseline position"
XAF-finance.new-africa50-infrastructure-acceleration-fund,baseline/2024-12-06-africa50-iaf-dbsa-axian-pledge.md,1,3,"most recent pre-cutoff statement by the fund's sponsor, restating the first close and adding new investors"
XAF-finance.new-biashara-2063,baseline/2023-09-22-world-bank-biashara-2063-isr-p180117.md,1,1,"the financier's own status record with approval date, effectiveness status, objective and component costs"
XAF-finance.new-development-agency-africa-digital-portfolio,baseline/2024-11-05-afd-numerique-bilan-activite-2021-2023.md,1,1,"the financier's own digital sector review, latest published before the cutoff, with the Africa split"
XAF-finance.new-google-accelerator-raises,baseline/2025-06-24-google-for-startups-accelerator-africa-class-9.md,1,1,company's own latest pre-cutoff cumulative figure for the accelerator's alumni
XAF-finance.new-lingua-africa,baseline/2025-07-24-google-supporting-future-ai-research-africa.md,1,1,"funder's own pre-cutoff commitment to the Masakhane hub, one of LINGUA Africa's four partners"
XAF-finance.new-private-capital-fundraising,baseline/2025-04-17-avca-private-capital-fundraising-doubles-2024.md,1,2,"the association's own dated release of its 2024 annual fundraising figures, the latest dated before the cutoff"
XAF-geopol.china-ai-cooperation-centres,baseline/2024-09-26-focac-beijing-action-plan-2025-2027.md,1,1,the enacting instrument: FOCAC action plan committing to the China-Africa digital technology cooperation center
XAF-geopol.china-atu-caict-mou,baseline/2025-07-08-atu-caict-sme-digital-transformation-wsis.md,1,1,"only pre-cutoff record of the ATU-CAICT relationship; shows partnership without a memorandum, the other two candidates post-date the cutoff"
XAF-gov.policy-africa-tech-policy-tracker,baseline/2024-12-04-africa-technology-policy-tracker-summary-of-findings.md,1,1,"the builder's own launch findings, stating coverage and scope as at December 2024"
XAF-gov.protect-au-data-policy-framework,raw/2022/2022-02-01-au-data-policy-framework.md,1,1,"the instrument itself, endorsed by the Executive Council in February 2022, already held"
XAF-gov.protect-nadpa,baseline/2018-02-23-statute-of-the-african-network-of-data-protection-authorities.md,1,1,"the network's constitutive instrument, operative before the cutoff"
XAF-gov.regional-afcfta-state-parties,baseline/2025-07-01-afcfta-progress-report-executive-council.md,1,1,"official ratification count closest to the cutoff (July 2025), from the Secretariat's own report"
