row_id,file,brief,rank,why
XEA-gov.protect-surveillance-spyware-pattern,raw/2025/2025-06-13-unwanted-witness-surveillance-spyware-report-launch.md,0,1,"held; Unwanted Witness launch of its East & Southern Africa surveillance/spyware report, Harare 10 June 2025, pre-cutoff"
XEA-gov.regional-eac-rdi-protocol,raw/2025/2025-01-21-burundi-embraces-eac-digital-integration-ict-growth.md,0,1,"held; Burundi minister before the Senate, Jan 2025: RDI protocol adoption pending before partner-state legislature"
XEA-gov.regional-igad-cyber-harmonisation,raw/2024/2024-05-01-igad-cybersecurity-legal-harmonisation-tor.md,0,1,"held; IGAD ToR (May 2024) commissioning the comparative harmonisation study, pre-cutoff"
XEA-finance.new-data-centre-connectivity-financing,raw/2025/2025-06-05-wingu-60m-rmb-funding-biometricupdate.md,0,1,"held; June 2025 report of RMB $60m to Wingu Africa for Ethiopia, Djibouti, Tanzania, pre-cutoff"
XEA-infra.store-regional-data-centre-market,raw/2025/2025-05-01-east-africa-data-center-markets-brief-xalam.md,0,1,held; Xalam regional market brief (May 2025) is itself the pre-cutoff assessment
XEA-dpi.id-mutual-recognition-of-national-ids,raw/2018/2018-08-01-study-of-options-mutual-recognition-national-ids-eac.md,0,1,held; 2018 World Bank study for the EAC setting out the four-milestone architecture
XEA-dpi.mis-impulse-newborn-data-study,regions-baseline/2024-07-01-en-mini-tools-implementation-tanzania-brief.md,1,3,"D4I July 2024 brief: IMPULSE contributed EN-MINI v2.0 (incl. eRHIS functionality tool) and was evaluating newborn indicators in CAR, Ethiopia, Tanzania, Uganda"
XEA-dpi.govtech-gtmi-benchmarking,regions-baseline/2023-03-01-govtech-maturity-index-2022-regional-brief-afe.md,1,2,"World Bank GTMI 2022 AFE brief: Tanzania, Uganda Group A; Kenya, Rwanda, Ethiopia Group B"
XEA-tech.ai-cipit-ai-policy-outlook,regions-baseline/2025-06-25-cipit-state-of-ai-in-africa-report-2025.md,1,1,"CIPIT's June 2025 report: Uganda no dedicated AI policy, Tanzania AI inside ICT Policy, Kenya strategy 2025-2030"
XEA-tech.ai-higher-education-quality-under-ai,regions-baseline/2023-09-08-iucea-12th-eaqan-forum-bujumbura.md,1,1,IUCEA report of the 12th EAQAN forum (Sept 2023) where AI was put to internal QA systems as an emerging issue
XEA-include.divides-regional-access-gap,regions-baseline/2024-09-11-eac-igad-eardip-rollout-connectivity-access.md,1,3,"EAC release with IGAD (Sept 2024) stating the regional digital-infrastructure and access gap, rural underservice and landlocked price gap"
XEA-data.statistics-eaco-communications-statistics-report,regions-baseline/2024-06-27-2023-eaco-communications-sector-regional-report.md,1,1,"account of EACO's previous (2023-data) regional report launched June 2024: 199.7m mobile, 122.3m internet, 128.7m mobile-money subscriptions"
