row_id,file,brief,rank,why
XCA-gov.protect-cemac-consumer-protection-regulation,raw/2020/2020-07-03-cemac-reglement-01-20-protection-consommateurs.md,0,1,"held Regulation 01/20 itself (3 Jul 2020), operative and pre-cutoff; the instrument is the baseline position"
XCA-gov.regional-cameroon-chad-digital-agreement,raw/2025/2025-05-16-cameroon-chad-digital-cooperation-agreement-techreviewafrica.md,0,1,"held report of the agreement's conclusion, 16 May 2025, pre-cutoff; states the position at signing"
XCA-gov.regional-eccas-remittance-harmonisation,raw/2025/2025-04-01 Regional Harmonization of Remittance Policies in ECCAS - Burundi.md,0,1,"held UNCDF ECCAS harmonisation diagnostic, April 2025, pre-cutoff; the diagnostic series is the position"
XCA-infra.connect-car-south-sudan-link,regions-baseline/2022-09-01-worldbank-missing-broadband-links-horn-of-africa.md,1,1,"World Bank gap study lists the Juba-Ri Yubu route to CAR as a proposed link and gap to close, none operational (Sept 2022)"
XCA-dpi.pay-cemac-payment-services-regulation,raw/2018/2018-12-21-reglement-cemac-04-18-services-de-paiement.md,0,1,"held Regulation 04/18 itself (21 Dec 2018, full text), in force through the window; the instrument is the baseline position"
XCA-dpi.pay-gimacpay,raw/2020/2020-07-10-beac-gimacpay-systeme-monetique-interbancaire.md,0,1,"held BEAC description of the interbank platform (Jul 2020), pre-cutoff; states the platform operating region-wide"
XCA-dpi.registry-birth-registration-support,"raw/2025/2025-08-12 La Francophonie supports birth registration efforts across Central Africa, Madagascar.md",0,1,"held 12 Aug 2025 report, pre-cutoff: OIF civil-registration project since 2019 with Chad, Cameroon, CAR figures"
XCA-capacity.training-iai-cameroun,regions-baseline/2018-07-01-minfopra-iai-cameroun-protocole-formation-personnels.md,1,1,official ministry record of a partnership convention signed with IAI-Cameroun on 10 Jul 2018 to train its staff; institution operating
XCA-include.access-refugee-economic-inclusion,raw/2024/2024-01-01-unlocking-economic-power-of-refugees-in-central-africa.md,0,1,"held World Bank technical report (2024), pre-cutoff; the diagnostic itself is the position"
XCA-data.statistics-itu-ict-benchmarking,raw/2021/2021-01-01-itu-reg-ict-benchmarking-cafrica-2021-benchmarking-of-icts-in-central-africa.md,0,1,"held ITU project record: 2021 commitment, 2021-2023 run, status closed; pre-cutoff position of the benchmarking"
