indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,9,5,1,1,2,1,already-seen,staged,6
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,9,4,1,2,0,1,already-seen,staged,6
gov.policy--data-localisation-policies,gov.policy,2,7,4,1,0,0,3,already-seen|url-dead,staged,6
gov.policy--data-governance-policy,gov.policy,2,7,2,1,0,0,2,fetch-blocked|already-seen,staged,6
gov.legislate--cybersecurity-legislation,gov.legislate,2,8,5,1,2,0,2,fetch-blocked,staged,15
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,8,2,0,0,0,3,already-seen|off-topic,nil,15
gov.legislate--statistics-legislation,gov.legislate,2,8,4,1,2,0,1,headline-only-stub,staged,15
gov.legislate--access-to-information-legislation,gov.legislate,2,9,3,0,2,0,1,fetch-blocked,staged,15
gov.regional--regional-legal-harmonisation,gov.regional,2,8,4,1,1,0,2,already-seen|headline-only-stub,staged,3
gov.regional--shared-regional-infrastructure,gov.regional,2,9,3,1,2,0,0,,staged,3
gov.regional--cross-border-data-transfers,gov.regional,2,9,4,1,1,1,1,fetch-blocked,staged,3
gov.standards--national-interoperability-standards,gov.standards,2,8,4,1,2,0,1,headline-only-stub,staged,2
gov.standards--national-quality-standards,gov.standards,2,8,1,1,0,0,2,off-topic,staged,2
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,9,3,1,2,0,0,,staged,3
gov.discourse--open-discussion-of-government-policy,gov.discourse,2,9,6,1,2,1,2,headline-only-stub|fetch-blocked,staged,3
finance.new--development-partner-project-financing,finance.new,2,9,3,1,2,0,0,,staged,7
infra.connect--mobile-affordability,infra.connect,2,8,4,1,1,2,0,,staged,15
infra.store--off-site-backup-capacity,infra.store,2,9,4,1,2,1,0,,staged,8
infra.energy--grid-reliability,infra.energy,2,9,3,1,2,0,0,,staged,3
infra.energy--rural-electrification,infra.energy,2,9,4,1,2,1,0,,staged,3
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,9,3,1,2,0,0,,staged,1
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,14,5,1,2,1,2,already-seen|fetch-blocked,staged,6
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,11,2,1,1,0,2,out-of-window|duplicate-in-run,staged,6
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,9,3,1,2,0,0,,staged,6
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,11,3,1,2,0,0,,staged,11
dpi.id--digital-id-from-birth,dpi.id,2,10,3,1,1,1,0,,staged,11
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,10,3,1,2,0,0,,staged,11
dpi.pay--g2p-functionality,dpi.pay,2,14,3,1,2,0,0,,staged,13
dpi.registry--population-register,dpi.registry,2,11,3,1,2,0,1,already-seen,staged,4
dpi.registry--civil-register,dpi.registry,2,10,4,1,2,1,1,fetch-blocked,staged,4
dpi.registry--address-register,dpi.registry,2,9,3,1,1,0,3,fetch-blocked|out-of-window,staged,4
dpi.registry--electoral-register,dpi.registry,2,10,8,1,2,3,3,fetch-blocked|out-of-window|url-dead,staged,4
dpi.registry--tax-register,dpi.registry,2,11,4,1,2,0,2,fetch-blocked|out-of-window,staged,4
dpi.mis--education,dpi.mis,2,11,3,1,1,1,1,fetch-blocked,staged,8
dpi.mis--customs,dpi.mis,2,13,5,1,2,1,1,out-of-window,staged,8
dpi.mis--land,dpi.mis,2,14,4,1,2,0,1,fetch-blocked,staged,8
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,11,3,1,2,0,0,,staged,2
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,11,3,1,2,0,0,,staged,2
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,11,3,1,1,1,1,fetch-blocked,staged,2
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,10,3,1,2,0,1,url-dead,staged,2
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,10,2,1,1,0,2,fetch-blocked,staged,2
tech.ai--use-of-ai-in-sectoral-management-information-systems,tech.ai,2,15,4,1,2,1,0,,staged,11
tech.ai--control-of-ai-abuse,tech.ai,2,14,3,1,2,0,0,,staged,11
capacity.literacy--digital-literacy-civil-service,capacity.literacy,2,14,3,1,2,0,0,,staged,1
capacity.training--dt-related-training-in-secondary-education,capacity.training,2,9,3,1,2,0,1,off-topic,staged,8
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,capacity.research,2,12,3,1,2,0,1,off-topic,staged,3
include.access--citizen-participation-in-policy,include.access,2,15,9,1,2,0,3,url-dead|headline-only-stub|fetch-blocked,staged,8
include.access--inclusion-of-refugees-and-idps,include.access,2,19,4,1,1,1,1,already-seen,staged,8
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,12,4,1,2,1,1,already-seen,staged,3
data.open--use-of-open-data,data.open,2,13,1,1,2,0,0,,staged,3
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,17,3,1,2,0,0,,staged,2
geopol.gulf--gulf-mous-engagements-and-commitments,geopol.gulf,2,13,3,1,2,0,0,,staged,1
