row_id,url,title,publisher,published,brief,why_not
XAF-dpi.exchange-afcfta-customs-modernisation,https://archives.au.int/bitstream/handle/123456789/10707/Assembly%20AU%209%20%28XXXVIII%29%20_E.pdf?isAllowed=y&sequence=1,Progress Report on the African Continental Free Trade Area (AfCFTA),African Union,2025-02-15,1,general AfCFTA implementation report; IMF note states the customs-systems position more directly
XAF-dpi.id-apai-crvs,https://au.int/sites/default/files/newsevents/workingdocuments/37474-wd-crvs-v-digitization_towards_ict_assets_for_crvs_in_africa.pdf,Digitization of civil registration and vital statistics: towards information and communications technology assets for civil registration and vital statistics in Africa,Fifth Conference of African Ministers Responsible for Civil Registration,2019-10-14,1,short conference paper on one strand; the costed strategic plan states the programme's own position
XAF-dpi.id-upanzi-policy-analyzer,https://engineering.cmu.edu/news-events/news/2025/08/01-clicking-away-consent.html,Clicking away consent,Carnegie Mellon University College of Engineering,2025-08-01,1,"cookie-consent law study, not the analyser; the tool had no pre-cutoff existence"
XAF-dpi.pay-cross-border-cost,https://remittanceprices.worldbank.org/sites/default/files/rpw_main_report_and_annex_q125_1_0.pdf,"Remittance Prices Worldwide, March 2025",World Bank,2025-03-01,1,"measures cost of sending to SSA, not within Africa; its 8.78% matches the row's cited figure, suggesting the interview quoted this regional average"
XAF-dpi.pay-psda,https://africanlii.org/akn/aa-au/doc/decision/2025-02-13/1280/eng@2025-02-13/source,Decision on the Reports of the Specialized Technical Committees (STCs) and Other Ministerial Meetings,African Union Executive Council,2025-02-13,1,omnibus decision; PSDA a single passage not visible in the capture; the RFP states the position in full
XAF-finance.new-afc-digital-bond,https://www.africafc.org/news-and-insights/news/africa-finance-corporation-issues-chf200-million-4-year-benchmark-bond-2,Africa Finance Corporation issues CHF200 million 4-year benchmark bond,Africa Finance Corporation,2019-11-28,1,"superseded: that bond matured December 2023, before the cutoff"
XAF-finance.new-afc-digital-bond,https://www.africafc.org/our-investors/debt/products,AFC - Our investors products,Africa Finance Corporation,undated,1,"undated live page, so its date against the cutoff cannot be set; omits the 2020 green bond from its CHF summary"
XAF-finance.new-afc-digital-bond,https://s3.eu-central-1.amazonaws.com/afc-assets/afc/2020-Green-Bond-Swiss-Prospectus.pdf,"Africa Finance Corporation CHF 150,000,000 1.205% Green Bonds due 2025",Africa Finance Corporation,2020-09-28,1,"withdrawn at merge: a 2020 green bond is a different instrument and states nothing about a digital bond before 2025-09; a 1,000,000-character capped excerpt besides"
XAF-finance.new-africa50-infrastructure-acceleration-fund,https://www.africa50.com/media/news/article/an-african-first-africa50-infrastructure-acceleration-fund-achieves-first-close-securing-2225-million-primarily-from-african-institutional-investors/,"An African First: Africa50 Infrastructure Acceleration Fund Achieves First Close, Securing $222.5 Million Primarily from African Institutional Investors",Africa50,2024-01-09,1,earlier; the December 2024 statement restates this close and is more recent
XAF-finance.new-development-agency-africa-digital-portfolio,https://www.afd.fr/fr/ressources/numerique-bilan-activite-2021-2023,Numérique : bilan d'activité 2021-2023,Agence française de développement,2024-11-05,1,landing page for the same review; the primary PDF was staged instead
XAF-finance.new-development-finance-portfolio-stage-mix,https://assets.bii.co.uk/wp-content/uploads/2022/01/06170001/2022-2026-technical-strategy-2.pdf,"Productive, Sustainable and Inclusive Investment: 2022 – 26 Technical Strategy",British International Investment,2022-01-01,1,"withdrawn at merge: the strategy states no funding-stage split, so it carries no pre-2025-09 position for the row"
XAF-finance.new-private-capital-fundraising,https://www.avca.africa/data-intelligence/research-publications/q2-2025-private-capital-activity-in-africa/,Q2 2025 Private Capital Activity in Africa,AVCA,undated,1,"page carries no date and covers H1 2025, so publication before the cutoff cannot be established"
XAF-finance.new-private-capital-fundraising,https://www.avca.africa/data-intelligence/research-publications/2024-african-private-capital-activity-report/,2024 African Private Capital Activity Report,AVCA,undated,1,undated landing page for the same report; the dated release carries the figures
XAF-gov.regional-afigf,https://igf.africa/afigf-2025-communique-empowering-africas-digital-future-from-dar-es-salaam/,AfIGF 2025 Communiqué: Empowering Africa's Digital Future from Dar es Salaam,Africa Internet Governance Forum,2025-05-31,1,landing page for the same communiqué; the PDF carries the full text
XAF-gov.regional-afigf,https://igf.africa/wp-content/uploads/2025/04/Draft-Charter-of-the-Africa-Internet-Governance-Forum-AfIGF.pdf,Draft Charter of the Africa Internet Governance Forum (AfIGF),Africa Internet Governance Forum,2017-12-01,1,url-dead: 404 on fetch
XAF-gov.regional-afsc,https://www.cbe.org.eg/en/news-publications/news/2024/09/04/12/09/cbe's-governor-chairs-egypt's-meetings-at-the-african-central-bank-annual-meetings-in-mauritius,Governor of the Central Bank of Egypt Heads Egypt's Delegation in the Annual Meetings of the Association of African Central Banks in Mauritius,Central Bank of Egypt,2024-09-04,1,a member bank's account of the same decision; the AACB's own meeting report is the primary record
XAF-gov.regional-aricea,http://programmes.comesa.int/attachments/103_ARICEA_Constitution.pdf,Constitution of the Association of Regulators of Information and Communication for Eastern and Southern Africa (ARICEA),COMESA,2003-01-01,1,fetch-blocked: live-crawl timeout on two attempts
XAF-gov.regional-atu-work-programme,https://www.itu.int/en/ITU-R/seminars/rrs/rrs-25-africa/Forum/Session%209_Digital%20Broadcasting/ATU-R-Strategy-002-0-Strategy-on-Introduction-and-Promotion-of-DSB-in-Africa.docx.pdf,ATU-R Strategy 002-0 - Strategy on Introduction and Promotion of DSB in Africa,African Telecommunications Union,2022-01-01,1,off-topic: a digital sound broadcasting strategy that names the 2023-2026 plan only in passing
XAF-gov.regional-atu-work-programme,https://atuuat.africa/wp-content/uploads/2019/11/ATU-Constitution-and-Convention-Cape-Town-1999-Rev.-Harare-2014.pdf,"Constitution and Convention of the African Telecommunications Union (Cape Town 1999, Rev. Harare 2014)",African Telecommunications Union,2014-01-01,1,withdrawn at merge: the constitution under which plans are adopted is not a strategic plan and states no pre-2025-09 plan position
XAF-gov.regional-au-archives-repository,https://archive.au.int/page/about,About This Repository,African Union Archives,,1,"undated page describing the standing AU Archives service, not the project; no dated pre-cutoff position on the project exists"
XAF-gov.standards-continental-ict-standardisation-alignment,https://www.arso-oran.org/african-standardization-strategy-and-roadmap-for-the-fourth-industrial-revolution/,African Standardization Strategy and Roadmap for the Fourth Industrial Revolution,African Organisation for Standardisation,,1,undated landing page for the same strategy; the PDF was staged
XAF-gov.standards-continental-ict-standardisation-alignment,https://atuuat.africa/wp-content/uploads/2024/08/ATU-SG-Speech-at-the-3rd-African-Preparatory-Meeting-for-the-WTSA-2024-11-Aug.pdf,ATU Secretary General Speech at the 3rd African Preparatory Meeting for the World Telecommunication Standardization Assembly 2024 (WTSA-24),African Telecommunications Union,2024-08-12,1,a speech on WTSA-24 preparations; states a position but is not an instrument
XAF-include.divides-women-digital-inclusion-accelerator,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/gsma_resources/gsma-innovation-fund-impact-portfolio-2024-25/,GSMA Innovation Fund Impact Portfolio 2024-25,GSMA Mobile for Development,2025-07-10,1,"a different GSMA fund (FCDO/Sida-backed), not the SheConnects accelerator; no pre-cutoff SheConnects document found"
XAF-infra.connect-5g-commercial-deployment,https://www.itu.int/dms_pub/itu-s/opb/pol/S-POL-BROADBAND.32-2025-PDF-E.pdf,The State of Broadband in Africa 2025,ITU and UNESCO,2025-09,1,"Dated only September 2025 and cites an August 2025 launch, so may postdate the cutoff; its 5G figure is quoted from the GSMA report selected"
XAF-infra.connect-airtel-africa-network-investment,https://cdn-webportal.airtelstream.net/website/investor/main/AR2025/reports/p004-at-a-glance-16290.html,Airtel Africa plc | Annual Report and Accounts 2025 | At a glance,Airtel Africa plc,2025,1,4.7k-char summary page of the same FY2025 figures without capex; the results filing is the fuller primary
XAF-infra.store-data-centre-occupancy,https://africadca.org/en/data-centres-in-africa-focus-report-2024,Data Centres in Africa Focus Report 2024,African Actors of Data Center Association (ADCA),2024-05-02,1,"815-char download landing page; states a 50% capacity-growth projection, no time-to-occupancy figure"
XAF-tech.ai-african-language-training-data,https://arxiv.org/abs/2505.21315,Charting the Landscape of African NLP: Mapping Progress and Shaping the Road Ahead,arXiv,2025-05-27,1,"abstract page only, and now shows the post-cutoff v3; the v1 PDF was staged instead"
XAF-tech.ai-ai-startup-census,https://www.afrilabs.com/new-ai-insights-afrilabs-publishes-two-groundbreaking-reports-funded-by-the-gates-foundation/,New AI Insights: AfriLabs Publishes Two Groundbreaking Reports Funded by the Gates Foundation,AfriLabs,,1,"undated announcement of the same report, with no count"
