indicator_id,url,title,publisher,published,brief,why_not
gov.policy--data-storage-cloud-strategy,https://www.risa.gov.rw/news-detail/rwanda-advances-digital-future-with-launch-of-national-dpi-strategy,Rwanda advances digital future with launch of national DPI strategy,Rwanda Information Society Authority (RISA),2026-03-09,progress,"Cap reached (2 progress items already selected: EME minutes, France financing deal); selected instead as progress for gov.policy--data-interoperability-framework-roadmap where it is a closer match."
gov.policy--data-interoperability-framework-roadmap,https://statistics.gov.rw/sites/default/files/documents/2025-11/National%20Data%20Governance%20Framework.pdf,National Data Governance Framework,National Institute of Statistics of Rwanda (NISR),2025-11-28,progress,"Cap reached (2 progress items already selected: EME minutes, DPI strategy launch); selected instead as progress for gov.policy--open-data-policy and gov.legislate--statistics-legislation."
gov.policy--data-localisation-policies,https://www.risa.gov.rw/publications/tenders,Tenders (Hiring a Firm to Implement the Shared Government Data Hub and the Data Interoperability Platform),Rwanda Information Society Authority (RISA),2026-05-05,progress,"Live tenders-listing page with no clear stable per-notice dateline suitable for `published`; the EME minutes for the same underlying project (21 Nov 2025, clearly dated) already satisfy this indicator's progress slot."
gov.legislate--access-to-information-legislation,https://www.ohchr.org/sites/default/files/documents/hrbodies/hrcouncil/sessions-regular/session62/advance-versions/a-hrch-62-8-add-1-av-rwanda-e.pdf,"Report of the Working Group on the Universal Periodic Review -- Rwanda: Views on conclusions and/or recommendations, voluntary commitments and replies (A/HRC/62/8/Add.1)",UN Human Rights Council / OHCHR,2026-06-12,progress,"General UPR outcome table recording accept/note counts across all 286 recommendations with no access-to-information-specific textual content; the March 2026 UPR pre-session statement is a more specific, on-point primary source and was selected instead."
infra.connect--mobile-affordability,https://www.rra.gov.rw/fileadmin/user_upload/EXCISE_DUTY_2025.pdf,Excise Duty,Rwanda Revenue Authority (RRA),,progress,"fetched but no document-level date found in body for the specific rate step; superseded by the dated, independently-confirmed GSMA report covering the same tax movement"
tech.ai--use-of-ai-in-government-administration,https://www.minict.gov.rw/fileadmin/user_upload/minict_user_upload/Documents/Policies/Artificial_Intelligence_Policy.pdf,National Artificial Intelligence Policy for the Republic of Rwanda,Ministry of ICT and Innovation (MINICT),2023-04-01,baseline,DUP-EXACT via raw-url-index.py - already admitted to raw/ as 2023-04-01-rwanda-national-artificial-intelligence-policy-2023.md; not restaged. Indicator likely just needs mapping to the existing source at the next BUILD pass.
dpi.exchange--use-of-digital-id-in-other-systems,https://www.minijust.gov.rw/index.php?eID=dumpFile&f=91546&t=f&token=d5eb7096a06042554606ab1c4fac9b87b9de3c2e,Ministerial Order No. 001/MINICT/24 relating to the Single Digital Identity Coordination Council,Ministry of ICT and Innovation,2024-01-22,baseline,"Institutional/governance instrument, weaker than Law 029/2023 as the founding instrument; cap of 1 baseline filled."
dpi.exchange--use-of-digital-id-in-other-systems,https://www.minict.gov.rw/fileadmin/user_upload/minict_user_upload/Documents/Policies/The_National_Data_Sharing_Policy_-_Final.pdf,The National Data Sharing Policy,Ministry of ICT and Innovation / RISA,2025-05-26,baseline,"Whole-of-government policy framework, not the digital-ID founding instrument itself; cap of 1 baseline filled."
dpi.exchange--use-of-digital-id-in-other-systems,https://guidelines.risa.gov.rw/books/rwanda-digital-government-strategy-and-governance-Aj4/page/digital-government-platform-architecture,Digital Government Platform Architecture,Rwanda Information Society Authority (RISA),2018-06-01,baseline,Superseded architecture proposal predating the operative SDID law; weaker than the primary instrument.
dpi.exchange--interoperability-of-health-systems,https://www.moh.gov.rw/fileadmin/user_upload/Moh/Publications/Reports/new_annual_Report/HSSP_V_signed.pdf,Health Sector Strategic Plan V (HSSP V),Ministry of Health,2025-02-01,baseline,Sector strategic plan naming interoperability gaps; the Health Intelligence Center launch is the more direct operative-instrument baseline.
