indicator_id,url,title,publisher,published,brief,why_not
gov.policy--ict-strategy,https://communication.gouv.ml/mali-numerique-2020/,Mali numérique 2020,Ministère de la Communication et de l'Economie Numerique,unknown,1,"Link-only landing page: its whole content is a link to DraftMN2020.pdf, which returns HTTP 404. The Journal officiel decree approving the policy was taken as the baseline instead."
gov.policy--data-storage-cloud-strategy,https://agetic.gouv.ml/a-propos/,A propos – AGETIC,AGETIC — Agence des Technologies de l'Information et de la Communication,unknown,1,Institutional about-page describing AGETIC's general ICT mandate; contains no cloud or data-storage strategy and does not establish which body operates the national data centre.
gov.policy--data-storage-cloud-strategy,https://www.smtd.ml/,"SMTD – Le Futur, MAINTENANT",Société Malienne de Transmission et de Diffusion (SMTD-SA),unknown,1,"Corporate homepage of the state enterprise; names Data Center among its services and states a mission to favour data sovereignty for state institutions, but is not a policy, strategy or founding instrument and carries no dates or figures."
gov.regional--shared-regional-infrastructure,https://www.itu.int/net4/wsis/archive/stocktaking/Project/Details?projectId=1514887279,African fiber optic Backbone Trans-Saharan (BTS),ITU WSIS Stocktaking,2015-01-01,1,Self-submitted project registry entry by Algerie Telecom covering 2015-2019; names Mali in the corridor but establishes no Malian segment - ECOWAS/SIGTEL inventory taken as the baseline instead
gov.regional--cross-border-data-transfers,https://amrtp.ml/en/download/law-no-2013-015-of-may-21-2013-on-the-protection-of-personal-data-in-the-republic-of-mali/,Law No. 2013-015 of May 21 2013 on the Protection of Personal Data in the Republic of Mali,AMRTP,2013-05-21,1,Download landing page behind a login; serves no law text - the Primature page carrying the full text taken as the baseline instead
dpi.exchange--use-of-digital-id-in-other-systems,https://faolex.fao.org/docs/pdf/Mli176231.pdf,Loi n°06-040 du 11 août 2006 portant institution du numéro d'identification nationale des personnes physiques et morales,FAOLEX (FAO) reproduction of the Recueil de textes de l'administration du territoire,2006-08-11,1,Fetched. Same act as the selected baseline; the Journal officiel text at sgg-mali.ml is the primary and was staged instead.
dpi.exchange--use-of-digital-id-in-other-systems,https://matd.gouv.ml/bibliotheques,Bibliothèque numérique du Ministère de l'Administration territoriale et de la Décentralisation,MATD Mali,2024-05-28,1,"Not fetched. A document-library index, not a document; it holds no text that establishes anything for the indicator."
dpi.exchange--use-of-digital-id-in-other-systems,https://sgg-mali.ml/JO/2022/mali-jo-2022-35.pdf,Décret n°2022-0639/PT-RM du 03 novembre 2022 portant institution et réglementation de la carte nationale d'identité biométrique sécurisée,Journal officiel de la République du Mali,2022-11-03,1,Not fetched. Superseded by the 2025 decree; operative beats superseded.
dpi.exchange--use-of-digital-id-in-other-systems,https://sgg-mali.ml/JO/2025/mali-jo-2025-23.pdf,Décret n°2025-0509/PT-RM du 25 juillet 2025 portant institution et réglementation de la carte nationale d'identité biométrique,Journal officiel de la République du Mali,2025-07-25,1,"Not fetched. Current biometric ID card decree, but it is an identity-credential instrument rather than evidence of the ID's reuse in other systems, and it is out of the progress window."
dpi.exchange--interoperability-of-health-systems,https://bibliostat.instat.ml/greenstone3/library/collection/sant/document/HASH01915e0cf9b388acc96f8e9e,Annuaire 2023 du Système National d'Information Sanitaire et Social,CPS/SSDSPF Mali via INSTAT,2025-05-01,1,Not fetched. A statistical yearbook; it evidences that the SNISS produces indicators but not the exchange layer the indicator asks about.
