indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--digital-transformation-strategy,gov.policy,2,,,1,1,,,,staged,
gov.policy--ict-strategy,gov.policy,2,,,1,1,,,,staged,
gov.policy--broadband-strategy,gov.policy,2,,,1,0,,,,staged,
gov.policy--data-storage-cloud-strategy,gov.policy,2,,,1,2,,,,staged,
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,,,1,2,,,,staged,
gov.policy--ai-strategy,gov.policy,2,,,1,1,,,,staged,
gov.policy--data-localisation-policies,gov.policy,2,,,1,1,,,,staged,
gov.policy--data-governance-policy,gov.policy,2,,,1,2,,,,staged,
gov.policy--open-data-policy,gov.policy,2,,,1,1,,,,staged,
gov.legislate--data-protection-legislation,gov.legislate,2,,,1,1,,,,staged,
gov.legislate--cybersecurity-legislation,gov.legislate,2,,,1,0,,,,staged,
gov.legislate--legislation-covering-digital-id,gov.legislate,2,,,1,0,,,,staged,
gov.legislate--digital-payments-legislation,gov.legislate,2,,,1,1,,,,staged,
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,,,1,1,,,,staged,
gov.legislate--ai-legislation-regulations,gov.legislate,2,,,1,0,,,,staged,
gov.legislate--e-commerce-legislation,gov.legislate,2,,,1,1,,,,staged,
gov.legislate--statistics-legislation,gov.legislate,2,,,1,0,,,,staged,
gov.legislate--access-to-information-legislation,gov.legislate,2,,,1,1,,,,staged,
gov.protect--data-protection-authority,gov.protect,2,,,1,0,,,,staged,
gov.protect--national-data-protection-readiness,gov.protect,2,,,1,2,,,,staged,
gov.regional--regional-policy-collaboration,gov.regional,2,,,1,1,,,,staged,
gov.regional--regional-legal-harmonisation,gov.regional,2,,,1,2,,,,staged,
gov.regional--shared-regional-infrastructure,gov.regional,2,,,1,1,,,,staged,
gov.regional--cross-border-data-transfers,gov.regional,2,,,1,1,,,,staged,
gov.standards--national-interoperability-standards,gov.standards,2,,,1,2,,,,staged,
gov.standards--national-quality-standards,gov.standards,2,,,1,1,,,,staged,
gov.standards--adoption-of-international-standards,gov.standards,2,,,1,2,,,,staged,
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,,,1,2,,,,staged,
gov.discourse--open-discussion-of-government-policy,gov.discourse,2,,,1,1,,,,staged,
finance.budget--sustainable-domestic-financing-of-digital-transformation,finance.budget,2,,,1,1,,,,staged,
finance.mou--strategic-relationships,finance.mou,2,,,1,0,,,,staged,
finance.new--mobilisation-of-non-state-finance,finance.new,2,,,1,0,,,,staged,
infra.connect--internet-usage,infra.connect,2,,,1,0,,,,staged,
infra.connect--mobile-affordability,infra.connect,2,,,1,0,,,,staged,
infra.connect--internet-exchange-points,infra.connect,2,,,1,1,,,,staged,
infra.store--local-data-centre-capacity-all-providers,infra.store,2,,,1,1,,,,staged,
infra.store--local-data-centre-capacity-national-providers,infra.store,2,,,1,1,,,,staged,
infra.store--off-site-backup-capacity,infra.store,2,,,1,1,,,,staged,
