indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,4,4,1,2,1,0,,staged,8
gov.policy--data-localisation-policies,gov.policy,2,4,3,1,2,1,0,,staged,8
gov.policy--data-governance-policy,gov.policy,2,3,3,1,2,0,0,,staged,8
gov.policy--open-data-policy,gov.policy,2,3,1,0,0,0,2,headline-only-stub;off-topic,nil,8
gov.legislate--cybersecurity-legislation,gov.legislate,2,3,3,1,2,0,0,,staged,8
gov.legislate--digital-payments-legislation,gov.legislate,2,4,3,1,2,0,1,duplicate-raw,staged,8
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,4,4,1,2,1,1,headline-only-stub,staged,8
gov.legislate--ai-legislation-regulations,gov.legislate,2,3,3,0,2,1,0,,staged,8
gov.legislate--e-commerce-legislation,gov.legislate,2,4,5,1,2,1,1,duplicate-raw,staged,8
gov.standards--national-interoperability-standards,gov.standards,2,2,2,0,2,0,1,fetch-blocked,staged,4
infra.connect--international-internet-bandwidth,infra.connect,2,7,4,1,2,2,2,duplicate-raw,staged,11
infra.store--off-site-backup-capacity,infra.store,2,6,3,1,2,3,0,,staged,5
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,5,3,1,2,2,0,,staged,1
infra.energy--grid-reliability,infra.energy,2,4,3,1,2,1,0,,staged,1
infra.energy--rural-electrification,infra.energy,2,8,3,1,2,5,0,,staged,1
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,6,3,1,2,3,0,,staged,1
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,6,4,1,2,3,0,,staged,3
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,6,3,1,2,3,0,,staged,3
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,4,3,1,2,1,0,,staged,3
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,4,2,1,1,1,2,duplicate-raw,staged,3
dpi.id--authentication,dpi.id,2,8,3,1,2,2,0,,staged,6
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,7,3,1,2,2,1,out-of-window,staged,6
dpi.pay--consumer-protection,dpi.pay,2,6,3,1,2,3,0,,staged,8
dpi.registry--population-register,dpi.registry,2,5,3,1,2,1,0,,staged,6
dpi.registry--civil-register,dpi.registry,2,7,2,1,1,5,0,,staged,6
dpi.registry--address-register,dpi.registry,2,7,3,1,2,4,0,,staged,6
dpi.registry--electoral-register,dpi.registry,2,4,3,1,2,1,0,,staged,6
dpi.registry--tax-register,dpi.registry,2,5,3,1,2,2,0,,staged,6
dpi.registry--land-register,dpi.registry,2,4,3,1,2,1,0,,staged,6
dpi.mis--health,dpi.mis,2,10,3,1,2,6,0,,staged,4
dpi.mis--social-protection,dpi.mis,2,6,1,1,0,3,1,duplicate-raw,staged,4
dpi.mis--justice,dpi.mis,2,9,3,1,2,6,0,,staged,4
dpi.mis--customs,dpi.mis,2,9,3,1,2,5,0,,staged,4
dpi.mis--land,dpi.mis,2,8,3,1,2,4,1,duplicate-raw,staged,4
digital.localgov--ict-infrastructure-for-local-government,digital.localgov,2,11,3,1,2,8,0,,staged,3
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,8,3,1,2,5,0,,staged,3
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,10,2,0,2,7,1,duplicate-raw,staged,0
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,10,3,1,2,7,0,,staged,0
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,10,2,0,0,8,2,out-of-window,nil,0
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,9,2,0,2,7,0,,staged,0
capacity.literacy--digital-literacy-civil-service,capacity.literacy,2,5,3,1,2,1,1,duplicate-raw,staged,4
capacity.training--dt-related-university-facilities-and-qualifications,capacity.training,2,4,3,1,2,1,0,,staged,4
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,capacity.research,2,9,3,1,2,6,0,,staged,1
include.access--citizen-participation-in-policy,include.access,2,4,3,1,2,0,0,,staged,3
include.access--gender-equity,include.access,2,3,2,1,1,0,1,duplicate-raw,staged,3
include.access--inclusion-of-persons-with-disabilities,include.access,2,4,3,1,2,0,1,duplicate-raw,staged,3
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,4,3,1,2,1,0,,staged,2
data.statistics--statistics-from-administrative-data,data.statistics,2,4,3,1,2,1,0,,staged,2
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,7,3,1,2,4,0,,staged,1
data.satellite--meteorological-use-of-satellite-data,data.satellite,2,6,3,1,2,3,0,,staged,1
geopol.eu--eu-mous-engagements-and-commitments,geopol.eu,2,7,4,1,2,4,0,,staged,1
geopol.india--india-mous-engagements-and-commitments,geopol.india,2,6,3,1,2,3,0,,staged,1
