indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,Botswana – Gov: ICT strategy,2,4,3,1,2,1,0,,staged,3
gov.policy--broadband-strategy,Botswana – Gov: Broadband strategy,2,4,4,1,2,0,1,headline-only-stub,staged,3
gov.policy--data-storage-cloud-strategy,Botswana – Gov: Data storage / cloud strategy,2,4,2,1,1,1,1,already-seen,staged,3
gov.policy--data-interoperability-framework-roadmap,Botswana – Gov: Data interoperability framework / roadmap,2,3,1,1,0,0,2,already-seen,staged,3
gov.policy--ai-strategy,Botswana – Gov: AI strategy,2,3,3,1,2,1,0,,staged,3
gov.policy--data-governance-policy,Botswana – Gov: Data governance policy,2,3,3,1,2,0,0,,staged,3
gov.policy--open-data-policy,Botswana – Gov: Open data policy,2,3,2,1,1,1,0,,staged,3
gov.legislate--legislation-covering-digital-id,Botswana – Gov: Legislation covering digital id,2,4,2,1,1,0,2,already-seen,staged,6
gov.legislate--legislation-enabling-data-interoperability,Botswana – Gov: Legislation enabling data interoperability,2,3,1,1,0,0,2,already-seen,staged,6
gov.legislate--ai-legislation-regulations,Botswana – Gov: AI legislation / regulations,2,4,3,1,2,1,1,already-seen,staged,6
gov.legislate--e-commerce-legislation,Botswana – Gov: E-commerce legislation,2,4,3,1,2,1,0,,staged,6
gov.legislate--statistics-legislation,Botswana – Gov: Statistics legislation,2,4,3,1,1,2,0,,staged,6
gov.legislate--access-to-information-legislation,Botswana – Gov: Access to information legislation,2,7,2,1,2,3,0,,staged,6
gov.protect--national-data-protection-readiness,gov.protect,2,7,3,1,1,1,1,already-seen,staged,3
gov.regional--regional-legal-harmonisation,gov.regional,2,7,3,1,2,0,0,,staged,4
gov.standards--national-interoperability-standards,gov.standards,2,7,2,1,1,0,2,already-seen,staged,2
gov.standards--national-quality-standards,gov.standards,2,8,4,1,2,1,0,,staged,2
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,10,4,1,2,1,0,,staged,0
gov.discourse--open-discussion-of-government-policy,gov.discourse,2,8,3,1,2,0,1,inadmissible-origin,staged,0
finance.new--development-partner-project-financing,finance.new,2,8,3,1,2,0,0,,staged,3
infra.connect--mobile-penetration,infra.connect,2,6,3,1,1,0,1,out-of-window,staged,8
infra.connect--internet-exchange-points,infra.connect,2,11,3,1,2,0,1,already-seen,staged,8
infra.store--off-site-backup-capacity,infra.store,2,4,3,1,2,0,0,,staged,5
infra.energy--grid-reliability,infra.energy,2,9,3,1,2,0,0,,staged,4
infra.energy--rural-electrification,infra.energy,2,9,3,1,2,0,0,,staged,4
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,2,1,1,2,0,1,already-seen,staged,1
dpi.exchange--national-data-exchange-system,dpi.exchange,2,9,3,1,2,5,1,already-seen,staged,2
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,7,3,1,2,4,0,,staged,2
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,7,2,1,1,4,1,fetch-blocked,staged,2
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,7,2,1,1,3,2,inadmissible-origin;already-seen,staged,2
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,7,3,1,2,3,0,,staged,2
dpi.id--registration-of-entire-population,dpi.id,2,6,2,1,1,6,0,,staged,5
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,5,1,1,0,3,1,already-seen,staged,5
dpi.id--digital-id-from-birth,dpi.id,2,6,2,1,1,4,0,,staged,5
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,8,1,1,1,3,1,already-seen,staged,5
dpi.pay--b2b-and-b2g-functionality,dpi.pay,2,7,2,1,1,4,1,already-seen,staged,7
