indicator_id,file,brief
capacity.literacy--digital-literacy-civil-service,baseline/2025-08-29-atelier-formation-outils-numeriques-cadres-agents-reforme-etat.md,baseline
capacity.literacy--digital-literacy-civil-service,progress/2026-01-27-aci-reflexion-strategique-competences-numeriques-patn.md,progress
capacity.literacy--digital-literacy-civil-service,progress/2026-07-16-aci-cntr-digitalisation-administrations-transparence.md,progress
capacity.literacy--digital-literacy-general-population,baseline/2020-12-01-republique-du-congo-diagnostic-economie-numerique-de4a.md,baseline
capacity.literacy--digital-literacy-general-population,progress/2026-03-21-aci-premiere-cohorte-25-eleves-codage-numerique.md,progress
capacity.literacy--digital-literacy-general-population,progress/2026-04-23-unesco-evaluation-developpement-internet-republique-du-congo-roam-x.md,progress
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,baseline/2020-03-10-loi-7-2020-creation-inrsiit.md,baseline
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2026-01-27-aci-umng-onze-etablissements-connectivite-haut-debit.md,progress
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2026-05-20-aci-comite-national-ethique-strategie-nationale-ia.md,progress
data.satellite--agricultural-use-of-satellite-data,baseline/2026-06-23-fao-giews-country-brief-republic-of-the-congo.md,baseline
data.satellite--agricultural-use-of-satellite-data,progress/2026-06-22-zenodo-land-cover-land-use-map-republic-of-congo.md,progress
data.satellite--agricultural-use-of-satellite-data,progress/2026-07-02-aci-enqueteurs-surveillance-numerique-protection-vegetale.md,progress
data.satellite--meteorological-use-of-satellite-data,baseline/2026-08-03-aip-asecna-ad-2-fcbb-brazzaville-maya-maya.md,baseline
data.satellite--meteorological-use-of-satellite-data,progress/2026-02-12-wmo-strengthening-collaboration-central-africa-early-warnings.md,progress
data.statistics--national-strategy-for-development-of-statistics,baseline/2023-01-01-snds-2022-2026-republique-du-congo.md,baseline
data.statistics--national-strategy-for-development-of-statistics,progress/2025-11-29-adiac-ins-atelier-validation-indicateurs-rgph-5.md,progress
data.statistics--national-strategy-for-development-of-statistics,progress/2026-02-11-aci-hiswaca-comite-pilotage-valide-ptba-2026.md,progress
digital.localgov--ict-infrastructure-for-local-government,baseline/2022-05-11-world-bank-congo-digital-acceleration-project-appraisal-document.md,baseline
digital.localgov--ict-infrastructure-for-local-government,progress/2026-02-28-patn-ptba-budget-2026-21-872-milliards.md,progress
digital.rural--digitalisation-of-rural-health-clinics,baseline/2024-09-01-pnds-congo-2023-2026-version-officielle.md,baseline
digital.rural--digitalisation-of-rural-health-clinics,progress/2026-06-18-congo-valide-etat-des-lieux-etablissements-de-sante-hhfa.md,progress
digital.rural--digitalisation-of-rural-police-stations,baseline/2019-06-24-ministere-interieur-commandement-des-forces-de-police.md,baseline
digital.rural--digitalisation-of-rural-police-stations,progress/2025-09-24-radars-mobiles-etraffrika-policiers-gendarmes-formes.md,progress
digital.rural--digitalisation-of-rural-primary-schools,baseline/2024-07-01-pacte-partenariat-secteur-education-formation-2024-2029.md,baseline
digital.rural--digitalisation-of-rural-primary-schools,progress/2026-01-27-fasuce-miaba-ehota-connectees-cuvette.md,progress
digital.rural--digitalisation-of-rural-primary-schools,progress/2026-05-14-jo-2026-20-arrete-803-programme-tresor-education.md,progress
digital.rural--digitalisation-of-rural-registry-offices,baseline/2021-04-26-world-bank-concept-pid-congo-digital-acceleration-project.md,baseline
digital.rural--digitalisation-of-rural-registry-offices,progress/2025-12-01-equipe-pays-nations-unies-soumission-epu-congo.md,progress
