indicator_id,subject,briefs_run,candidates_returned,fetched,staged,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,23,17,13,5,headline-only-stub;duplicate-in-run;already-seen,staged,6
gov.policy--data-governance-policy,gov.policy,2,29,20,17,2,headline-only-stub,staged,6
gov.legislate--cybersecurity-legislation,gov.legislate,2,20,14,11,6,headline-only-stub;fetch-blocked;duplicate-in-run,staged,17
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,20,8,4,4,headline-only-stub;duplicate-in-run,staged,17
gov.legislate--e-commerce-legislation,gov.legislate,2,27,16,16,8,headline-only-stub;duplicate-in-run;already-seen,staged,17
gov.legislate--statistics-legislation,gov.legislate,2,13,8,2,11,duplicate-in-run;headline-only-stub;fetch-blocked,staged,17
gov.standards--national-quality-standards,gov.standards,2,24,9,9,13,off-topic,staged,3
finance.mou--strategic-relationships,finance.mou,2,25,16,13,9,headline-only-stub;duplicate-in-run;off-topic;already-seen,staged,0
infra.connect--internet-usage,infra.connect,2,27,14,10,15,already-seen;off-topic;headline-only-stub;duplicate-in-run,staged,22
infra.connect--international-internet-bandwidth,infra.connect,2,18,12,10,8,already-seen;headline-only-stub;duplicate-in-run,staged,22
infra.store--local-data-centre-capacity-national-providers,infra.store,2,30,14,12,17,already-seen;headline-only-stub;duplicate-in-run;off-topic,staged,5
infra.store--off-site-backup-capacity,infra.store,2,44,4,3,40,off-topic;duplicate-in-run,staged,5
infra.energy--grid-reliability,infra.energy,2,28,14,14,14,duplicate-in-run;off-topic,staged,0
infra.energy--rural-electrification,infra.energy,2,23,10,10,13,off-topic;duplicate-in-run,staged,0
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,24,17,10,8,url-dead;already-seen;no-development;duplicate-in-run,staged,5
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,25,14,11,12,duplicate-in-run;already-seen;fetch-blocked,staged,4
dpi.id--digital-id-from-birth,dpi.id,2,18,6,2,12,duplicate-in-run;already-seen,staged,4
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,20,7,5,13,duplicate-in-run;already-seen;headline-only-stub,staged,4
dpi.id--use-by-other-systems,dpi.id,2,26,13,11,14,duplicate-in-run;already-seen;fetch-blocked,staged,4
dpi.registry--address-register,dpi.registry,2,13,8,8,5,fetch-blocked;no-development,staged,4
dpi.registry--business-register,dpi.registry,2,22,19,19,3,headline-only-stub;duplicate-in-run,staged,4
dpi.registry--social-protection-register,dpi.registry,2,20,14,13,6,already-seen;url-dead,staged,4
dpi.registry--tax-register,dpi.registry,2,22,18,17,4,headline-only-stub;duplicate-in-run,staged,4
dpi.registry--land-register,dpi.registry,2,21,17,14,5,url-dead;headline-only-stub;duplicate-in-run,staged,4
dpi.mis--land,dpi.mis,2,18,11,9,8,url-dead;duplicate-in-run,staged,2
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,25,24,16,9,headline-only-stub;duplicate-in-run;fetch-blocked;no-development,staged,0
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,21,14,14,7,already-seen;duplicate-in-run;off-topic,staged,0
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,23,17,14,8,headline-only-stub;fetch-blocked;duplicate-in-run,staged,0
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,25,21,12,7,already-seen;headline-only-stub;fetch-blocked,staged,0
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,19,18,18,1,duplicate-in-run,staged,0
tech.ai--development-of-national-regional-ai-systems,tech.ai,2,24,19,17,6,already-seen;headline-only-stub;duplicate-in-run,staged,16
tech.innovate--technology-hubs,tech.innovate,2,26,20,17,7,off-topic;headline-only-stub,staged,0
capacity.literacy--digital-literacy-general-population,capacity.literacy,2,22,14,13,8,already-seen;duplicate-in-run;off-topic,staged,0
include.access--citizen-feedback-portals,include.access,2,29,22,20,9,headline-only-stub;out-of-window,staged,13
include.access--gender-equity,include.access,2,18,14,13,4,duplicate-in-run,staged,13
include.access--inclusion-of-refugees-and-idps,include.access,2,26,19,17,7,already-seen;duplicate-in-run;headline-only-stub,staged,13
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,18,12,6,12,duplicate-in-run;headline-only-stub;fetch-blocked,staged,0
data.statistics--censuses-and-surveys,data.statistics,2,24,13,12,10,duplicate-in-run;headline-only-stub,staged,0
data.statistics--statistics-from-administrative-data,data.statistics,2,22,18,15,9,duplicate-in-run;headline-only-stub;fetch-blocked;url-dead,staged,0
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,32,16,15,17,duplicate-in-run;headline-only-stub;no-development,staged,0
data.satellite--meteorological-use-of-satellite-data,data.satellite,2,26,21,18,8,duplicate-in-run;headline-only-stub;fetch-blocked,staged,0
geopol.eu--eu-mous-engagements-and-commitments,geopol.eu,2,17,15,12,6,duplicate-in-run;headline-only-stub;fetch-blocked;already-seen,staged,0
geopol.gulf--gulf-mous-engagements-and-commitments,geopol.gulf,2,15,16,15,2,duplicate-in-run;already-seen,staged,0
geopol.india--india-mous-engagements-and-commitments,geopol.india,2,14,14,9,5,already-seen;off-topic;duplicate-in-run,staged,0
