indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,ICT strategy,2,8,4,1,2,1,0,,staged,2
gov.policy--data-interoperability-framework-roadmap,Data interoperability framework / roadmap,2,10,2,1,1,0,1,inadmissible-origin,staged,2
gov.policy--data-localisation-policies,Data localisation policies,2,7,1,1,0,0,0,,staged,2
gov.policy--data-governance-policy,Data governance policy,2,10,2,0,1,1,0,,staged,2
gov.policy--open-data-policy,Open data policy,2,8,3,1,0,1,1,already-seen,staged,2
gov.legislate--legislation-covering-digital-id,Legislation covering digital id,2,10,6,1,2,3,1,already-seen,staged,4
gov.legislate--ai-legislation-regulations,AI legislation / regulations,2,8,3,1,1,1,0,,staged,4
gov.legislate--statistics-legislation,Statistics legislation,2,9,3,1,1,1,0,,staged,4
gov.protect--data-protection-authority,Data protection authority,2,9,2,1,1,0,4,already-seen,staged,2
gov.protect--national-data-protection-readiness,National data protection readiness,2,10,3,1,1,1,3,already-seen,staged,2
gov.regional--regional-legal-harmonisation,gov.regional,2,15,4,1,2,1,1,already-seen,staged,2
gov.regional--cross-border-data-transfers,gov.regional,2,13,4,1,2,1,0,,staged,2
gov.standards--national-interoperability-standards,gov.standards,2,10,3,1,2,0,1,already-seen,staged,0
gov.standards--national-quality-standards,gov.standards,2,10,3,1,2,0,0,,staged,0
gov.standards--adoption-of-international-standards,gov.standards,2,11,4,1,2,1,0,,staged,0
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,10,3,1,2,0,1,already-seen,staged,0
finance.budget--sustainable-domestic-financing-of-digital-transformation,finance.budget,2,15,3,1,2,0,0,,staged,1
finance.new--mobilisation-of-non-state-finance,finance.new,2,11,4,1,2,1,0,,staged,2
infra.connect--internet-exchange-points,infra.connect,2,11,3,1,1,1,1,already-seen,staged,10
infra.store--local-data-centre-capacity-national-providers,infra.store,2,4,1,1,0,0,3,already-seen:2;inadmissible-origin:1,staged,3
infra.store--off-site-backup-capacity,infra.store,2,4,2,1,0,1,2,already-seen:1;inadmissible-origin:1,staged,3
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,4,3,1,2,0,1,inadmissible-origin:1,staged,1
infra.energy--rural-electrification,infra.energy,2,4,4,1,2,1,0,,staged,1
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,4,4,1,2,1,0,,staged,0
dpi.exchange--national-data-exchange-system,dpi.exchange,2,4,4,1,2,1,0,,staged,1
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,4,4,1,2,1,0,,staged,1
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,4,4,1,2,1,0,,staged,1
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,4,2,1,1,0,2,already-seen:1;duplicate-in-run:1,staged,1
