indicator_id,url,title,publisher,published,brief,why_not
gov.policy--ict-strategy,https://npc.mw/wp-content/uploads/2024/11/NPC-Annual-Report-2024-FINAL-tcm-1.pdf,NPC Annual Report 2024,National Planning Commission (Malawi),2024-11,baseline,cap: OGP NAP 2025-2028 is a more current authoritative statement of the ICT strategy's standing
gov.policy--ict-strategy,https://www.malawi.gov.mw/index.php/resources/publications/candis?download=46%3A2013-malawi-ict-policy,National ICT Policy,Government of the Republic of Malawi,2013,baseline,cap: superseded predecessor instrument; OGP NAP preferred as current statement
gov.policy--data-storage-cloud-strategy,https://api.pppc.mw/storage/161/DIGITAL-GOVERNMENT-STRATEGY-BOOK.pdf,Digital Government Strategy,"Department of E-Government, Ministry of Information",2019-09,baseline,cap: staged as baseline for gov.policy--data-interoperability-framework-roadmap instead; DRA is the more current statement on cloud/storage specifically
gov.policy--data-storage-cloud-strategy,https://api.pppc.mw/api/download/647,Digital Malawi Acceleration Project National Data Centre managed-services document,Public Private Partnership Commission,2025-01,baseline,"cap: implementation/procurement document, not a policy statement; DRA better answers whether a cloud policy exists"
gov.policy--data-interoperability-framework-roadmap,https://digmap.pppc.mw/wp-content/uploads/2022/01/THE-INFORMATION-TECHNOLOGY-REGULATIONS-Final.pdf,The Information Technology Regulations 2021,Government of Malawi,2021,baseline,cap: Digital Government Strategy is the more comprehensive framework/roadmap document
gov.policy--data-localisation-policies,https://malawilii.org/akn/mw/act/gn/2024/40/eng@2024-05-31,"Data Protection Act, 2024: Commencement",Government of Malawi,2024-05-31,baseline,"cap: commencement notice, secondary to the Act itself"
gov.policy--data-localisation-policies,https://www.malawi.gov.mw/index.php/resources/publications/acts,Acts and Laws (Malawi Government register),Government of Malawi,,baseline,"cap: registry listing page, corroborative only"
gov.policy--data-localisation-policies,https://www.linkedin.com/posts/data-protection-authority-mw_the-malawi-communications-regulatory-authority-activity-7477334143463518208-lBRr,Invitation to Regional Validation Workshops on Draft Data Protection Regulations and Guidelines,Malawi Data Protection Authority via LinkedIn,2026-06-29,progress,"same consultation event covered instead via Nyasa Times article (2026-07-15), which was staged"
gov.policy--data-governance-policy,https://www.ict.gov.mw/index.php/blog/downloads/standards?download=21%3Apublic-service-ict-standards,Public Service ICT Standards,Government of Malawi,2014-01,baseline,cap: older cross-government ICT standard rather than a current data-governance-policy statement; OGP NAP preferred
gov.policy--data-governance-policy,https://api.pppc.mw/storage/161/DIGITAL-GOVERNMENT-STRATEGY-BOOK.pdf,Digital Government Strategy,"Department of E-Government, Ministry of Information",2019-09,baseline,cap: staged as baseline for a different indicator; OGP NAP is the more current statement
gov.policy--data-governance-policy,https://www.linkedin.com/posts/data-protection-authority-mw_the-malawi-communications-regulatory-authority-activity-7477334143463518208-lBRr,Invitation to Regional Validation Workshops on Draft Data Protection Regulations and Guidelines,Malawi Data Protection Authority via LinkedIn,2026-06-29,progress,"cap: consultation-in-progress; DPA Data Processors Engagement Regulations is a more concrete, already-published instrument"
gov.policy--open-data-policy,https://www.ogp.gov.mw/index.php/documents/malawi-ogp-national-action-plan-2025-2028/download,Malaŵi National Action Plan for the Open Government Partnership 2025-2028,Government of Malawi / OGP Malawi Secretariat,2025-06,baseline,cap: MWEITI Open Data Policy is the instrument itself and more directly on-topic than the broader NAP
gov.policy--open-data-policy,https://npc.mw/wp-content/uploads/2020/07/access_to_information.pdf,National Access to Information Policy,"Ministry of Information and Civic Education, Republic of Malawi",2014-01,baseline,"cap: an access-to-information policy, not an open-data policy"
gov.policy--open-data-policy,https://www.ppda.mw/newsdetail/84,PPDA ADVANCES PREPS FOR MANEPS PHASE 2 FEATURES,Public Procurement and Disposal of Public Assets Authority,2026-08-14,progress,cap: less distinct from the mandatory-use circular already selected; live Phase 2 rollout still pending (planned 23 Nov 2026)
gov.legislate--cybersecurity-legislation,https://malawilii.org/akn/mw/act/gn/2017/25/eng@2017-05-26,"Electronic Transactions and Cyber Security Act, 2016: Commencement",Government of Malawi,2017-05-26,baseline,"cap: commencement notice, secondary to the Act itself"
gov.legislate--cybersecurity-legislation,https://www.manaonline.gov.mw/index.php/national-news/local/item/7169-experts-call-for-enhanced-cybersecurity-laws-and-skills-development,Experts call for enhanced cybersecurity laws and skills development,Malawi News Agency (MANA),2024-11-28,baseline,cap: outside current-position ranking; the Act's own consolidated text is the stronger primary document
gov.legislate--e-commerce-legislation,https://malawilii.org/akn/mw/act/gn/2017/25/eng@2017-05-26,"Electronic Transactions and Cyber Security Act, 2016: Commencement",Government of Malawi,2017-05-26,baseline,"cap: commencement notice, secondary to the Act itself"
gov.legislate--e-commerce-legislation,https://macra.mw/acts/,Acts (MACRA legislation listing),Malawi Communications Regulatory Authority,,baseline,"cap: registry listing page, corroborative only"
gov.legislate--e-commerce-legislation,https://www.trapca.org/esami-trapca-and-malawi-conclude-pre-validation-training-on-national-e-commerce-frameworks/,ESAMI-trapca and Malawi Conclude Pre-Validation Training on National E-Commerce Frameworks,ESAMI-trapca,2025-12-03,progress,"cap: preparatory/consultative event, less concrete than the EFPS commitment and the enacted Competition Regulations"
gov.legislate--e-commerce-legislation,https://malawilii.org/akn/mw/act/gn/2026/6/eng@2026-01-09,Value Added Tax (Electronic Invoicing System) Regulations 2026,Government of Malawi,2026-01-09,progress,"cap: tax-administration regulation, only tangentially relates to e-commerce"
gov.legislate--statistics-legislation,https://cms.nsomalawi.mw/api/download/410/Malawi-Statistical-Quality-Assurance-Framework_April-2023_FINAL.pdf,Malawi Statistical Quality Assurance Framework for National Statistical System,National Statistical Office of Malawi,2023-04,baseline,"cap: quality-assurance framework document, not the enacting instrument itself"
gov.legislate--statistics-legislation,https://cms.nsomalawi.mw/api/download/407/National-Statistical-System-Strategic-Plan-2019-2023.pdf,National Statistical System Strategic Plan 2019/20-2022/23,National Statistical Office of Malawi / Malawi Government,2020-06,baseline,"cap: superseded strategic plan (since replaced by NSS SP IV, staged as progress), not the enacting instrument"
gov.legislate--access-to-information-legislation,https://malawilii.org/akn/mw/act/gn/2020/70/eng@2020-09-11,"Access to Information Act, 2016: Commencement",Government of Malawi,2020-09-11,baseline,"cap: commencement notice, secondary to the Act itself"
gov.legislate--access-to-information-legislation,https://mhrcmw.org/access-to-information/,Access to Information,Malawi Human Rights Commission,2025-04,baseline,"cap: institutional status page, less authoritative than the Act's own consolidated text"
dpi.registry--population-register,https://citizenshiprightsafrica.org/wp-content/uploads/2019/11/Malawi-National-Registration-Act-No-13-of-2010.pdf,National Registration Act No. 13 of 2010,Parliament / Government of Malawi,2010-01-14,baseline,"cap: superseded by the more current NRB Strategic Plan 2025-2030 as the operative statement of standing state; the founding Act is corroborating, not primary for current position"
dpi.registry--population-register,https://apai-crvs.uneca.org/sites/default/files/resourceuploads/malawi-vital-statistics-report-2024.pdf,Malawi Vital Statistics Report 2022: Findings from Civil Registration Records,National Statistical Office / NRB / Ministry of Health,2025-01-01,baseline,cap: quantified CRVS detail but narrower scope than the Strategic Plan; not needed once one baseline selected
dpi.registry--population-register,https://erc.undp.org/evaluation/documents/download/24099,End-of-Term Evaluation of the National Registration and Identification System Project,UNDP evaluation system,2024-01-01,baseline,"cap: independent evaluation, but the Strategic Plan already carries the same coverage figures more currently"
dpi.registry--population-register,https://www.nrb.gov.mw/wp-content/uploads/file-listing/NATIONAL-REGISTRATION-REGULATIONS.pdf,National Registration Regulations,Republic of Malawi / Ministry of Homeland Security,2014-01-01,baseline,"cap: operational/administrative detail, not needed once founding Act/Strategic Plan cover existence and status"
dpi.registry--population-register,https://www.nrb.gov.mw/about-us/,NRB About Us,National Registration Bureau,,baseline,"cap: undated institutional page, redundant with the Strategic Plan"
dpi.registry--population-register,https://malawilii.org/akn/mw/act/1904/2/eng@2014-12-31,Births and Deaths Registration Act,Government of Malawi / MalawiLII,1904-01-01,baseline,"cap: historical predecessor statute, not the current instrument"
dpi.registry--population-register,https://www.undp.org/malawi/news/malawi-launches-national-registration-bureau-strategic-plan-2025-2030-identity-day-and-civil-registration-day,Malawi Launches National Registration Bureau Strategic Plan 2025-2030 on Identity Day and Civil Registration Day,UNDP Malawi,2025-09-04,progress,cap: two distinct progress items already selected; this reports the same Strategic Plan launch already captured as the baseline document
dpi.registry--business-register,https://registrargeneral.gov.mw/,Malawi's official registrar for business,CRIPC / Government of Malawi,,baseline,"cap: undated current portal, redundant with the Act as founding instrument"
dpi.registry--business-register,http://mbrs.gov.mw/,Malawi Business Registration System,Government of Malawi,,baseline,"cap: undated live portal, redundant with the Act"
