indicator_id,file,brief,rank,why
gov.policy--data-storage-cloud-strategy,baseline/2024-11-25-togo-digital-acceleration-project-p179138-pad.md,1,1,"IDA Project Appraisal Document whose results indicator is 'Cloud Strategy adopted (Yes/No)' at No with a December 2026 target — the most authoritative evidence that no national cloud strategy is yet adopted. File already staged by a sibling slice from the same document; selected, not re-staged"
gov.policy--data-storage-cloud-strategy,progress/2026-05-28-st-digital-sin-partenariat-lome-data-centre-cloud-prive.md,2,1,The only in-window movement located: private-cloud service catalogue on the Tier 3 Lomé Data Centre operated by the state-owned SIN. Same file also selected for data localisation
gov.policy--data-interoperability-framework-roadmap,baseline/2026-09-04-togo-atd-guide-architecture-entreprise-cci.md,1,1,The chapter of Togo's official enterprise-architecture guide that establishes the Cadre Commun d'Interopérabilité and the four levels of interoperability; the framework itself rather than commentary on it
gov.policy--data-interoperability-framework-roadmap,progress/2025-12-19-togo-digitalisation-etat-civil-demande-en-ligne-copies-actes.md,2,1,"Completed step, 19 Dec 2025: civil registry connected to a shared national digital service in five pilot communes, run jointly by the territorial ministry and Agence Togo Digital"
gov.policy--data-interoperability-framework-roadmap,progress/2026-04-02-togo-guichet-unique-cartographie-infrastructures.md,2,2,"Distinct event, 2 April 2026: launch of the guichet unique de cartographie des infrastructures as a shared national reference layer across telecoms, energy, water and sanitation with legally opposable plans"
gov.policy--ai-strategy,baseline/2024-11-26-togo-mentd-autour-de-lia-ambition-pionnier-ia.md,1,1,Ministry's own record of the Minister of the Digital Economy stating that Togo needs a Stratégie Nationale d'Intelligence Artificielle; the most authoritative dated statement that no national AI strategy has been adopted
gov.policy--ai-strategy,progress/2025-11-25-togo-mjdh-symposium-ia-gouvernance-publique.md,2,1,"Primary ministry account of the 25 Nov 2025 national symposium on AI in public governance, the consultation step feeding a national AI framework; preferred over Togo First's report of the same event"
gov.policy--ai-strategy,progress/2026-07-12-togo-ia-au-service-des-langues-locales.md,2,2,"Distinct event: July 2026 launch of a 50-language national AI programme, and the first official text to refer to « la stratégie nationale d'IA du Togo » as an existing framework"
gov.policy--data-localisation-policies,baseline/2026-09-04-uneca-atpc-dtri-togo-country-profile.md,1,1,The dated authoritative statement that Togo has no data localisation requirement and that the regulatory framework does not address the place of storage of personal data; the law itself (loi 2019-014) is already held in raw/
gov.policy--data-localisation-policies,progress/2026-01-31-togo-ipdcp-donnees-numeriques-nouvelles-exigences-operateurs.md,2,1,The IPDCP president stating the objective of requiring personal data of Togolese to be stored in Togo — the clearest in-window regulatory signal toward localisation
gov.policy--data-localisation-policies,progress/2026-05-28-st-digital-sin-partenariat-lome-data-centre-cloud-prive.md,2,2,"Distinct event: 26 May 2026 SIN/ST DIGITAL protocol creating the national capacity to host, process and secure enterprise data on Togolese territory"
gov.policy--data-governance-policy,baseline/2021-04-01-togo-mentd-strategie-togo-digital-2025.md,1,1,"The only national instrument treating data as a cross-cutting programme (data governance, data valorisation, State reference registries, national interoperability platform); no standalone national data governance policy exists"
gov.policy--data-governance-policy,progress/2026-02-19-togo-conseil-des-ministres-19-fevrier-2026.md,2,1,"Conseil des ministres of 19 Feb 2026 adopted the décret creating the Institut géographique national du Togo, an autonomous public data-producing institution, on the stated ground that reliable geographic data production was constrained"
gov.policy--data-governance-policy,progress/2026-03-27-togo-ipdcp-declaration-en-ligne-videosurveillance.md,2,2,Distinct event: IPDCP launched an online declaration platform for video-surveillance systems on 27 March 2026 with récépissé and regulatory pictogram — operational data governance under the existing regime
gov.policy--open-data-policy,baseline/2024-12-18-togo-lancement-plateformes-open-data-geoportail.md,1,1,"The national open data portal's own record of the 19 Dec 2024 launch of opendata.gouv.tg and the Geoportail; establishes and dates the infrastructure, no adopted open data policy or charter exists"
gov.policy--open-data-policy,progress/2026-04-30-inseed-atelier-sdmx-plateforme-odp2-0.md,2,1,The only in-window movement: April 2026 national workshop on SDMX modelling and migration from ODP 1.0 to ODP 2.0 to operationalise the national open data platform
gov.legislate--cybersecurity-legislation,baseline/2018-12-07-togo-loi-2018-026-cybersecurite-lutte-contre-cybercriminalite-jo.md,1,1,"Journal officiel facsimile of the framework cybersecurity statute itself: the national regime, the cybercrime offences, the creation of ANCy at article 6 and the Fonds de souveraineté numérique"
gov.legislate--legislation-enabling-data-interoperability,baseline/2022-06-16-togo-loi-modification-2020-009-identification-biometrique.md,1,1,"The most explicit enabling text: article 20 nouveau points 22 and 24 charge ANID with transmitting, verifying and updating data across administrations' databases and with ensuring interconnexion between the RSPM and them"
gov.legislate--legislation-enabling-data-interoperability,progress/2025-09-30-togo-decret-2025-018-bis-guford-guichet-unique-jo.md,2,1,"The only in-window regulatory movement: the gazetted décret creating the GUFORD single window, expressly tasked with facilitating information exchange between port, customs, immigration, health, maritime security and environment authorities"
gov.legislate--ai-legislation-regulations,progress/2025-09-23-togo-etfp-politique-utilisation-ia-en-cours-elaboration.md,2,1,23 Sept 2025 launch of drafting a national policy on AI use in vocational training — the only located Togolese instrument-in-preparation that would regulate AI use
gov.legislate--ai-legislation-regulations,progress/2025-11-25-togo-mjdh-symposium-ia-gouvernance-publique.md,2,2,Distinct event: the 25 Nov 2025 justice ministry symposium closing with a recommendation to regulate the use of digital platforms on ethical grounds. Same file also selected for the AI strategy indicator
gov.legislate--statistics-legislation,baseline/2021-04-09-inseed-a-propos-loi-statistique-2011-014.md,1,1,"INSEED's own institutional page stating that loi n°2011-014 defines the principles and institutional framework of the Système Statistique National and was promulgated 3 June 2011, and listing INSEED's fifteen statutory missions. The statute text has no addressable URL and the décret 2015-020/PR PDF path is dead"
gov.legislate--statistics-legislation,progress/2026-07-04-inseed-cns-13e-session-orientations.md,2,1,"Conseil national de la statistique 13th ordinary session, 30 June 2026, adopting strategic orientations for the national statistical system. File already staged by a sibling slice; selected, not re-staged"
gov.legislate--statistics-legislation,progress/2026-07-09-inseed-visa-statistique-outils.md,2,2,"Distinct event: 7-9 July 2026 examination and validation of the instruments of the visa statistique — a prior-authorisation mechanism for statistical surveys. File already staged by a sibling slice; selected, not re-staged"
gov.legislate--access-to-information-legislation,baseline/2016-03-30-togo-loi-2016-006-liberte-acces-information-documentation-publiques.md,1,1,"The complete 53-article text of the statute itself, adopted 10 March 2016 and dated 30 March 2016, with the execution clause; statute beats news of statute"
gov.legislate--access-to-information-legislation,progress/2026-04-01-unesco-togo-2025-survey-public-access-to-information-sdg-16102.md,2,1,"The only in-window movement: Togo's 2025 SDG 16.10.2 return recording no dedicated oversight institution and no request statistics. Capture failed (PDF text layer offset); staged as excerpt with a failure note, routed to manual clip"
gov.protect--national-data-protection-readiness,progress/2026-03-27-togo-ipdcp-declaration-en-ligne-videosurveillance.md,2,1,"Reconstructed selection: the IPDCP online declaration platform for video-surveillance systems, named in the sibling item's own note as the first of this indicator's two movements. File staged by slice 1, selection repointed at it."
gov.protect--national-data-protection-readiness,progress/2026-06-22-togo-ipdcp-premiere-session-formation-correspondants-protection-donnees.md,2,2,"First IPDCP training session for the Correspondants a la Protection des Donnees designated under articles 75ff of Loi 2019-014, 35 CPDs from public and private bodies, 22 June 2026."
gov.standards--national-interoperability-standards,progress/2026-05-13-togofirst-amu-siig-amu-systeme-numerique-unifie-architecture-federee.md,2,1,"Technical workshop at Lome 4-7 May 2026 with CNSS, INAM and Agence Togo Digital settling on a federated architecture for the AMU integrated information system."
gov.standards--adoption-of-international-standards,baseline/2026-09-04-iso-atn-agence-togolaise-de-normalisation-member-body.md,1,1,"ISO's own registry entry: the Agence Togolaise de Normalisation is Togo's national standards body and holds full Member body status. Undated page, published set to a retrieval-date proxy."
gov.standards--adoption-of-international-standards,progress/2026-03-16-togo-remise-officielle-trois-normes-togolaises-ciment.md,2,1,"HAUQE and ATN handed three homologated Togolese national standards on cement to producers and importers on 16 March 2026, made mandatory by interministerial arrete."
gov.standards--adoption-of-international-standards,progress/2026-08-18-togo-fsrp-46-normes-nationales-31-programmes-certification.md,2,2,"Distinct event: 46 national standards drawn up by ATN and 31 certification programmes by the Comite togolais d'agrement, disseminated at Lome 17-18 August 2026."
gov.discourse--non-governmental-contribution-to-national-policy,baseline/2026-09-04-togo-igf-forum-national-gouvernance-internet-12e-edition.md,1,1,"The Togo IGF is the standing multistakeholder forum convening government, civil society, private sector, academia and the technical community on internet policy, run annually since 2010."
gov.discourse--open-discussion-of-government-policy,baseline/2026-09-04-civicus-monitor-togo-civic-space-rating-repressed.md,1,1,"The baseline figure: CIVICUS Monitor civic-space score 29/100, rating Repressed, Repressed across 2020-2024 after Obstructed in 2018-2019. Undated page, published set to a retrieval-date proxy."
gov.discourse--open-discussion-of-government-policy,progress/2025-10-03-togo-justice-met-en-garde-usage-abusif-plateformes-numeriques.md,2,1,"The public prosecutor stated on 3 October 2025 that anyone producing, circulating or sharing an unlawful publication will be prosecuted, and that endorsing unlawful content exposes the commenter."
gov.discourse--open-discussion-of-government-policy,progress/2026-01-21-un-sr-togo-arrestation-responsables-etudiants-activistes-ddh.md,2,2,Distinct event: UN Special Procedures published on 21 January 2026 a joint communication sent to the Government on 18 November 2025 to which it did not reply within the 60-day period.
infra.connect--internet-usage,baseline/2026-06-19-arcep-togo-observatoire-marches-t1-2026.md,1,1,"Most recent issue of the national regulator's quarterly series, the authoritative Togolese publication of internet subscription and penetration figures"
