row_id,url,title,publisher,published,brief,why_not
XSA-gov.regional-crasa,https://www.crasa.org/post/crasa-2nd-electronic-committee-meeting-2023-24,CRASA 2nd Electronic Communications Committee Meeting 2023/24,CRASA,2024-02-05,1,not fetched: cap; AGM report is the fuller institutional statement
XSA-gov.regional-crasa,https://www.crasa.org/post/sadc-radio-frequency-spectrum-allocation-plan-2020,SADC Radio Frequency Spectrum Allocation Plan 2020,CRASA,2021-07-29,1,"not fetched: cap; an instrument, not CRASA's standing"
XSA-gov.regional-capital-market-integration-promotion,https://www.sadc.int/sites/default/files/2021-08/Protocol_on_Finance__Investment2006.pdf,Protocol on Finance and Investment,SADC,2006-08-18,1,"not fetched: cap; legal basis, not a status"
XSA-gov.regional-capital-market-integration-promotion,https://www.sadc.int/sites/default/files/2023-04/EN-SADC_Annual_Corporate_Plan_2023-24.pdf,SADC Annual Corporate Plan 2023/24,SADC Secretariat,2023-03,1,not fetched: cap; superseded by the Sep 2024 validation
XSA-gov.regional-sadc,https://www.sadc.int/sites/default/files/2024-08/EN-Communique%20of%20the%2044th%20SADC%20Summit%2C%20Harare%2C%20Republic%20of%20Zimbabwe%2C%2017%20August%202024_0.pdf,Communique of the 44th Ordinary SADC Summit,SADC,2024-08-17,1,not fetched: cap; 45th communique is the later pre-window state
XSA-gov.regional-sadc,https://www.sadc.int/pillars/regional-indicative-strategic-development-plan-2020-2030,Regional Indicative Strategic Development Plan 2020-2030,SADC Secretariat,2020-08,1,"not fetched: cap; framework, not the chairship position"
XSA-finance.new-uk-science-and-technology-accelerator,https://www.gov.uk/international-development-funding/call-for-bids-learning-partner-for-final-year-of-the-africa-technology-and-innovation-partnership-atip-programme,Learning Partner for final year of the Africa Technology and Innovation Partnership (ATIP) Programme,FCDO,2024-11-27,1,"not fetched: a different programme (ATIP), not an earlier state of STA-S"
XSA-finance.new-uk-science-and-technology-accelerator,https://www.gov.uk/government/news/up-to-r1-billion-available-for-uk-sa-research-partnerships,Up to R1 billion available for UK-SA research partnerships,British High Commission Pretoria,2024-01-23,1,"not fetched: ISPF, a different programme"
XSA-finance.new-uk-science-and-technology-accelerator,https://www.gov.uk/government/news/science-and-innovation-network-africa-impact-stories,Science and Innovation Network Africa: Impact stories,British High Commission Pretoria,2025-03-13,1,"not fetched: portfolio snapshot, not STA-S"
XSA-infra.connect-regional-connectivity-indicators,https://www.sadc.int/sites/default/files/2024-05/REPORT%20OF%20THE%20EXECUTIVE%20SECRETARY%2020222-2023.pdf,Report of the Executive Secretary 2022/23,SADC Secretariat,2023-08,1,not fetched: cap; older than the selected report
XSA-infra.connect-regional-connectivity-indicators,https://www.sadc.int/latest-news/sadc-member-states-embrace-mobile-phone-data-mpd-transformative-tool-official,SADC Member States embrace Mobile Phone Data as a transformative tool,SADC Secretariat,2025-05-22,1,not fetched: cap; mobile penetration only
XSA-dpi.exchange-sadc-aims,https://aims.sadc.int/sites/default/files/2023-02/STOSAR%20Bulletin%202nd%20Edition-compressed.pdf,"STOSAR Bulletin, 2nd Edition",STOSAR / SADC-FAO,2022-12,1,not fetched: cap; launch notice is primary
XSA-dpi.exchange-sadc-aims,https://sti-portal.fao.org/info-resources/1692,FAO SADC Agricultural Information Management System (AIMS),FAO STI Portal,2024-09-30,1,not fetched: cap; profile page
XSA-dpi.exchange-sadc-aims,https://aims.sadc.int/aims-training-equips-sadc-countries-address-data-gaps-agricultural-sector,AIMS Training Equips SADC Countries to Address Data Gaps in the Agricultural Sector,SADC AIMS / STOSAR,2023-04-24,1,not fetched: cap
XSA-tech.ai-sadc-ai-position,https://www.sadcpf.org/index.php/en/media-release/press-release/876-communique-of-the-57th-sadc-parliamentary-forum-plenary-assembly-symposium-on-the-theme-03-june-2025-communique-of-the-57th-sadc-parliamentary-forum-plenary-assembly-symposium-on-the-theme-03-june-2025,Communique of the 57th SADC Parliamentary Forum Plenary Assembly Symposium,SADC Parliamentary Forum,2025-06-06,1,"fetch failed twice (crawl timeout / unknown error); rank 1 lead, worth a retry"
XSA-tech.ai-sadc-ai-position,https://www.sadc.int/latest-news/sadc-joint-committee-ministers-responsible-education-and-training-and-science,SADC Joint Committee of Ministers responsible for Education and Training and STI,SADC Secretariat,2023-06-28,1,not fetched: does not say the AI framework was commissioned
XSA-capacity.research-research-and-development-spending,https://www.sadc.int/latest-news/sadc-ministers-renew-commitment-strengthening-education-and-training-regional,SADC Ministers renew commitment to strengthening education and training for regional development,SADC Secretariat,2025-06-21,1,not fetched: cap; no figures
XSA-capacity.research-research-and-development-spending,https://www.sadc.int/file/8119/download?token=GFzWLVpQ,Press Release: Joint Committee of Ministers Responsible for Education and Training and STI,SADC Secretariat,2023-06-16,1,"not fetched: cap; target only, no achieved level"
