indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,9,4,1,2,3,3,already-seen;already-seen;fetch-failed,staged,2
gov.policy--broadband-strategy,gov.policy,2,7,2,1,1,3,2,already-seen,staged,2
gov.policy--data-storage-cloud-strategy,gov.policy,2,9,2,1,1,6,1,already-seen,staged,2
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,8,3,1,2,4,1,duplicate-event,staged,2
gov.policy--ai-strategy,gov.policy,2,5,3,1,2,3,0,,staged,2
gov.policy--data-localisation-policies,gov.policy,2,9,3,1,2,7,1,already-seen,staged,2
gov.policy--data-governance-policy,gov.policy,2,9,2,1,1,5,2,duplicate-event;already-seen,staged,2
gov.legislate--legislation-covering-digital-id,gov.legislate,2,9,3,1,2,5,1,already-seen,staged,5
gov.legislate--digital-payments-legislation,gov.legislate,2,10,4,1,2,6,1,already-seen,staged,5
gov.legislate--ai-legislation-regulations,gov.legislate,2,8,3,1,1,6,0,,staged,5
gov.legislate--e-commerce-legislation,gov.legislate,2,16,4,1,2,11,2,fetch-failed;already-seen,staged,5
gov.legislate--statistics-legislation,gov.legislate,2,13,3,1,2,11,1,already-seen,staged,5
gov.legislate--access-to-information-legislation,gov.legislate,2,9,3,1,2,6,0,,staged,5
gov.protect--national-data-protection-readiness,gov.protect,2,6,3,1,2,3,0,,staged,3
gov.regional--regional-legal-harmonisation,gov.regional,2,6,3,1,2,1,2,already-seen,staged,2
gov.regional--shared-regional-infrastructure,gov.regional,2,6,2,1,1,2,2,already-seen,staged,2
gov.regional--cross-border-data-transfers,gov.regional,2,5,2,1,2,2,0,,staged,2
gov.standards--national-interoperability-standards,gov.standards,2,6,2,1,1,2,2,"inadmissible-origin,already-seen",staged,1
gov.standards--national-quality-standards,gov.standards,2,6,3,1,2,3,0,,staged,1
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,6,3,1,2,3,0,,staged,1
finance.budget--sustainable-domestic-financing-of-digital-transformation,finance.budget,2,5,2,1,1,2,1,off-topic,staged,1
finance.mou--strategic-relationships,finance.mou,2,6,3,1,2,3,0,,staged,0
infra.connect--internet-usage,infra.connect,2,6,4,1,2,2,1,already-seen,staged,8
infra.connect--internet-exchange-points,infra.connect,2,5,2,1,1,2,1,already-seen,staged,8
infra.store--local-data-centre-capacity-all-providers,infra.store,2,9,3,1,2,5,1,already-seen,staged,1
infra.store--off-site-backup-capacity,infra.store,2,9,2,1,2,6,0,,staged,1
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,9,3,1,2,4,0,,staged,0
infra.energy--grid-reliability,infra.energy,2,10,2,1,2,7,0,,staged,0
infra.capacity--robustness-of-government-hardware-and-software,infra.capacity,2,10,3,1,2,5,2,already-seen; inadmissible-origin(pre-listed drop),staged,0
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,8,3,1,2,3,0,,staged,0
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,7,3,1,2,0,4,already-seen,staged,1
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,7,3,1,2,4,0,,staged,1
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,8,3,1,2,5,0,,staged,1
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,10,3,1,2,3,4,already-seen; inadmissible-origin(new: globaltenders.com),staged,1
dpi.id--robustness-of-system,dpi.id,2,8,1,1,0,3,3,already-seen,staged,2
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,8,3,1,2,2,3,already-seen,staged,2
dpi.id--authentication,dpi.id,2,8,3,1,2,2,2,already-seen,staged,2
dpi.id--digital-id-from-birth,dpi.id,2,8,1,1,0,2,5,already-seen;duplicate-in-batch,staged,2
dpi.id--use-by-other-systems,dpi.id,2,8,2,1,1,3,3,already-seen,staged,2
dpi.pay--g2p-functionality,dpi.pay,2,8,3,1,2,5,0,,staged,5
dpi.pay--revenue-collection,dpi.pay,2,8,3,1,2,6,0,,staged,5
dpi.pay--cross-border-functionality,dpi.pay,2,7,3,1,1,3,2,already-seen;out-of-window,staged,5
dpi.pay--consumer-protection,dpi.pay,2,8,3,1,2,5,0,,staged,5
dpi.registry--population-register,dpi.registry,2,14,3,1,2,9,2,already-seen,staged,4
dpi.registry--address-register,dpi.registry,2,9,3,1,1,6,0,,staged,4
dpi.registry--business-register,dpi.registry,2,11,4,1,2,7,1,already-seen,staged,4
dpi.registry--social-protection-register,dpi.registry,2,10,3,1,2,7,0,,staged,4
dpi.registry--tax-register,dpi.registry,2,9,3,1,2,5,1,already-seen,staged,4
dpi.registry--land-register,dpi.registry,2,13,3,1,2,10,0,,staged,4
dpi.mis--health,dpi.mis,2,10,3,1,2,7,0,,staged,1
dpi.mis--tax,dpi.mis,2,8,3,1,2,5,1,fetch-failed,staged,1
dpi.mis--land,dpi.mis,2,9,2,1,2,5,0,,staged,1
dpi.govtech--e-government-services,dpi.govtech,2,11,4,1,2,8,2,already-seen,staged,4
digital.localgov--ict-infrastructure-for-local-government,digital.localgov,2,11,4,1,2,8,0,,staged,1
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,9,3,1,2,5,1,already-seen,staged,1
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,8,3,1,2,5,1,already-seen,staged,0
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,6,3,1,2,3,0,,staged,0
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,8,3,1,2,5,2,already-seen,staged,0
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,6,3,1,2,3,0,,staged,0
tech.ai--control-of-ai-abuse,tech.ai,2,6,3,1,2,3,0,,staged,5
tech.industry--national-capacity-in-dt-related-production,tech.industry,2,6,3,1,2,2,1,already-seen,staged,0
tech.innovate--technology-hubs,tech.innovate,2,6,3,1,2,3,0,,staged,1
capacity.literacy--digital-literacy-general-population,capacity.literacy,2,5,3,1,2,2,0,,staged,1
capacity.training--dt-related-training-in-secondary-education,capacity.training,2,6,3,1,2,3,0,,staged,2
include.access--citizen-feedback-portals,include.access,2,5,3,1,0,0,4,off-topic,partial,3
include.access--citizen-participation-in-policy,include.access,2,7,4,1,2,4,0,,staged,3
include.access--gender-equity,include.access,2,6,5,1,2,3,0,,staged,3
include.access--inclusion-of-persons-with-disabilities,include.access,2,6,5,1,2,3,0,,staged,3
include.access--inclusion-of-refugees-and-idps,include.access,2,6,5,1,2,3,0,,staged,3
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,5,3,1,1,2,1,already-seen,staged,1
data.statistics--statistics-from-administrative-data,data.statistics,2,6,5,1,2,3,0,,staged,1
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,6,5,1,2,3,0,,staged,1
data.satellite--meteorological-use-of-satellite-data,data.satellite,2,6,5,1,2,3,0,,staged,1
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,geopol.usa,2,6,5,1,2,3,0,,staged,0
geopol.eu--eu-mous-engagements-and-commitments,geopol.eu,2,6,5,1,2,3,0,,staged,0
geopol.gulf--gulf-mous-engagements-and-commitments,geopol.gulf,2,7,5,1,2,4,0,,staged,0
