indicator_id,url,title,publisher,published,brief,why_not
gov.policy--digital-transformation-strategy,https://parliament.gov.sz/media/speeches/budget/2026_27%20FY%20Budget_Speech_2026%20FINAL.pdf,Budget Speech 2026,Ministry of Finance / Parliament of the Kingdom of Eswatini,2026-02-27,progress,"Fetched and staged (UMSEBE IFMIS milestone) but the shared filename was subsequently overwritten by a concurrent sibling sub-agent capturing a different section of the same document for a different indicator; the IFMIS excerpt this selection relied on is no longer present in the file, so the selection is withdrawn here (cross-slice filename collision, not a scope/dedup drop -- see final report anomaly note)."
gov.policy--data-storage-cloud-strategy,https://parliament.gov.sz/media/speeches/budget/2019.pdf,Budget Speech 2019,Ministry of Finance / Parliament of Eswatini,2019-02-27,baseline,"Fetched to page ~20 of 41 but the Information Communication and Technology section (~page 29, containing the National Data Centre reference cited by the brief) was not reached within capture budget; superseded by more directly on-topic candidates before a second fetch was attempted."
gov.policy--data-storage-cloud-strategy,https://www.gov.sz/images/ICT/Digital%20Government%20Implementation%20Roadmap%20Development.pdf,Digital Government Implementation Roadmap Development (Terms of Reference),Ministry of Information Communications and Technology,,baseline,DUP-EXACT on raw-url-index.py --check: already held at raw/2025/2025-01-01 ToR - Government in Your Hand Digital Government Implementation Roadmap (Digital Eswatini).md; not restaged per dedup rule.
gov.policy--data-storage-cloud-strategy,https://eswatinipositivenews.online/data-governance-policy-to-be-completed-by-year-end-minister-savannah/,Data Governance Policy to Be Completed by Year-End -- Minister Savannah,Eswatini Positive News,2026-08-10,progress,DUP-EXACT on raw-url-index.py --check: already held at raw/2026/2026-08-10-eswatini-data-governance-policy-year-end.md; not restaged per dedup rule.
gov.regional--regional-legal-harmonisation,https://www.comesa.int/wp-content/uploads/2026/05/e-COMESA_Newsletter_775.pdf,e-COMESA Newsletter 775 (COMESA-World Bank IDEA Programme Technical Working Group item),COMESA Secretariat,2026-05-11,progress,"Fetched but the newsletter's relevant item 3 ('Paving the Way for Inclusive Digital Transformation in Eastern and Southern Africa', covering the IDEA Technical Working Group Eswatini participated in) was not reached within capture budget before the fetched text moved on to unrelated newsletter items (COMFWB trade barriers, GDP nowcasting training); abandoned rather than re-fetched given the cap was already met by the baseline pick."
gov.legislate--legislation-covering-digital-id,https://eswatinipositivenews.online/eswatini-moves-to-ratify-three-global-treaties-to-boost-cybersecurity-and-disaster-response/,Eswatini Moves to Ratify Three Global Treaties to Boost Cybersecurity and Disaster Response,Eswatini Positive News,2026-07-12,progress,"Second report of the same 10 July 2026 Senators' Workshop already staged from the Ministry of ICT's own LinkedIn post; excluded as a duplicate-event report, not a distinct movement."
dpi.mis--education,https://www.emis.co.sz/wp-content/uploads/2025/04/National-General-Education-Report-2024-2_compressed.pdf,National General Education Progress Report 2024,Ministry of Education and Training,2024-01-01,baseline,DUP-EXACT in raw-url-index (already held: raw/2024/2024-01-01 Eswatini National General Education Progress Report 2024.md); replaced with education.dhis2.org/implementation/eswatini/
dpi.mis--tax,https://www.vatupdate.com/2026/08/22/eswatini-publishes-technical-accreditation-guidelines-for-e-invoicing-solutions/,Eswatini Publishes Technical Accreditation Guidelines for E-Invoicing Solutions,VATupdate,2026-08-22,progress,origin-screen DROP: vatupdate.com is an excerpt aggregator (inadmissible-origin); not fetched
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,https://www.separc.co.sz/2024/12/05/eswatini-advances-toward-digital-transformation-key-findings-from-the-digital-readiness-assessment/,Eswatini Advances Toward Digital Transformation - Key Findings from the Digital Readiness Assessment,ESEPARC,2024-12-05,baseline,DUP-EXACT in raw-url-index (already held: raw/2024/2024-12-05 ... .md); replaced with daic.uneswa.ac.sz baseline
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,https://www.cs.uneswa.ac.sz/indabax.html,Deep Learning IndabaX 2025,"University of Eswatini, Department of Computer Science",2025-09-25,progress,"Fetch failed twice (CRAWL_UNKNOWN_ERROR, then CRAWL_NOT_FOUND on retry); cap left at 1 progress item rather than substituting a weaker candidate"
