indicator_id,file,brief
gov.policy--digital-transformation-strategy,baseline/2025-02-08-patnuc-plan-cameroun-numerique-2020-expire-nouvelle-strategie.md,baseline
gov.policy--digital-transformation-strategy,progress/2025-12-29-decret-2025-03044-pm-procedures-planification-strategique.md,progress
gov.policy--digital-transformation-strategy,progress/2026-02-24-digitalbusiness-feuille-de-route-numerique-2026-cameroun.md,progress
gov.policy--ict-strategy,baseline/2022-01-01-minepat-strategie-sectorielle-infrastructures-2020-2030.md,baseline
gov.policy--ict-strategy,progress/2025-12-29-decret-2025-03044-pm-procedures-planification-strategique.md,progress
gov.policy--broadband-strategy,baseline/2016-01-01-minpostel-plan-strategique-cameroun-numerique-2020.md,baseline
gov.policy--broadband-strategy,progress/2025-11-12-armp-appel-offres-connectivite-haut-debit-zones-rurales-patnuc.md,progress
gov.policy--broadband-strategy,progress/2025-10-03-armp-patnuc-connectivite-entites-publiques-ami.md,progress
gov.legislate--digital-payments-legislation,baseline/2018-12-21-reglement-04-18-cemac-umac-cobac-services-paiement.md,baseline
gov.legislate--digital-payments-legislation,progress/2025-11-17-beac-instruction-001-gr-2025-norme-iso-20022.md,progress
gov.legislate--digital-payments-legislation,progress/2025-11-17-beac-lettre-circulaire-013-gr-2025-portail-mystandard.md,progress
gov.legislate--legislation-enabling-data-interoperability,baseline/2022-09-16-decret-2022-8001-cab-pm-operations-financieres-electroniques.md,baseline
gov.legislate--legislation-enabling-data-interoperability,progress/2025-11-19-patnuc-atelier-ebolowa-2025-reformes-numeriques.md,progress
gov.legislate--legislation-enabling-data-interoperability,progress/2026-03-04-minsante-plan-strategique-national-sante-numerique-2026-2030.md,progress
gov.legislate--ai-legislation-regulations,baseline/2024-06-19-minpostel-intelligence-artificielle-sandbox-reglementaire.md,baseline
gov.legislate--ai-legislation-regulations,progress/2026-02-18-digitalbusiness-recommandations-ia-cameroun-strategie-nationale.md,progress
gov.legislate--ai-legislation-regulations,progress/2026-02-13-unesco-rapport-national-ethique-ia-minpostel.md,progress
gov.legislate--e-commerce-legislation,baseline/2010-12-21-loi-2010-021-commerce-electronique-cameroun.md,baseline
gov.legislate--e-commerce-legislation,progress/2025-11-19-patnuc-atelier-ebolowa-2025-reformes-numeriques.md,progress
gov.legislate--e-commerce-legislation,progress/2025-11-01-projet-loi-finances-2026-cameroun-numerique.md,progress
gov.legislate--statistics-legislation,baseline/2020-07-20-loi-2020-010-activite-statistique-cameroun.md,baseline
gov.regional--cross-border-data-transfers,baseline/2021-03-09-uk-cameroon-interim-economic-partnership-agreement-chapter6-donnees.md,baseline
gov.regional--cross-border-data-transfers,progress/2025-11-25-creditinfo-central-africa-agrement-bic-cemac-beac.md,progress
gov.regional--cross-border-data-transfers,progress/2026-01-20-beac-ifc-lancement-bic-cemac-creditinfo.md,progress
gov.standards--national-interoperability-standards,baseline/2019-03-22-decret-2019-150-organisation-antic.md,baseline
