indicator_id,file,brief,why
gov.policy--digital-transformation-strategy,baseline/2005-07-01-eritrea-national-policy-ict-in-education.md,1,states broader National ICT Policy pending
gov.policy--digital-transformation-strategy,baseline/2026-06-01-undp-eritrea-annual-report-2025-ndp.md,2,discrete digital-transformation activities across 2025
gov.policy--ict-strategy,baseline/2005-07-01-eritrea-national-policy-ict-in-education.md,1,same absence-statement baseline
gov.policy--ict-strategy,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,ASYCUDA World launch
gov.policy--data-storage-cloud-strategy,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,no infrastructure/local-storage requirement
gov.policy--data-storage-cloud-strategy,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,sovereign server room source-code transfer
gov.policy--data-storage-cloud-strategy,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,NSO data centre established servers migrated
gov.policy--data-interoperability-framework-roadmap,baseline/2021-01-01-un-eritrea-sustainable-development-cooperation-framework-2022-2026.md,1,commits to design and roll out integrated national data ecosystem
gov.policy--data-interoperability-framework-roadmap,progress/2026-04-06-uneca-eritrea-domesticated-igif-action-plan.md,2,national IGIF domestication action plan
gov.policy--data-interoperability-framework-roadmap,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,IFMIS rollout roadmap finalised UAT complete
gov.policy--data-localisation-policies,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,no local-storage law
gov.policy--data-localisation-policies,progress/2026-02-28-eritrea-gis-training-asmara-unega.md,2,government-wide domestic geospatial-capacity training
gov.policy--data-governance-policy,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,no comprehensive data-protection legal framework
gov.policy--data-governance-policy,progress/2026-04-06-uneca-eritrea-domesticated-igif-action-plan.md,2,policy-planning step
gov.policy--data-governance-policy,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,NSO data-governance capacity built
gov.policy--open-data-policy,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,no open-data policy identified
gov.policy--open-data-policy,baseline/2026-03-01-uneca-eritrea-geospatial-capacity-workshop.md,2,geospatial-data capacity building prototype dashboards
gov.protect--data-protection-authority,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,no DPA established
gov.protect--national-data-protection-readiness,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,narrow Penal-Code/Proclamation coverage only
gov.protect--national-data-protection-readiness,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,IT-security training disaster-recovery gap
gov.protect--national-data-protection-readiness,progress/2026-08-01-lawlab-africa-eritrea-data-protection.md,2,dated re-confirmation of unchanged absence
gov.regional--regional-policy-collaboration,progress/2025-12-12-igad-regrets-eritrea-withdrawal.md,1,IGAD formal record Eritrea withdrew Dec 2025
gov.regional--regional-policy-collaboration,progress/2025-12-12-igad-regrets-eritrea-withdrawal.md,2,same event HTML companion
gov.regional--regional-legal-harmonisation,progress/2026-07-01-tralac-afcfta-legal-texts-policy-documents.md,2,updated July 2026 sole non-signatory
gov.regional--regional-legal-harmonisation,baseline/2026-01-26-igad-eardip-programme-page-member-states.md,2,EARDIP coverage omits Eritrea
gov.standards--national-interoperability-standards,baseline/2022-01-01-eritrea-global-digital-identity-index-govtech.md,1,GTMI I-3 No government interoperability framework
gov.standards--national-interoperability-standards,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,IFMIS/DMFAS adopted
gov.standards--national-interoperability-standards,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,ASYCUDA World customs system
gov.standards--national-quality-standards,progress/2026-07-12-shabait-workshop-national-food-control-policy.md,2,National Food Control Policy inception workshop
gov.standards--adoption-of-international-standards,progress/2026-07-12-shabait-workshop-national-food-control-policy.md,2,Codex-linked food-policy process
gov.standards--adoption-of-international-standards,baseline/2026-03-24-itu-statistical-findings-umc-africa-eritrea-data-gap.md,2,no WTI submission since 2017
finance.budget--sustainable-domestic-financing-of-digital-transformation,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,quantified PFM-system disbursement progress
finance.new--mobilisation-of-non-state-finance,baseline/2026-06-01-undp-eritrea-annual-report-2025-ndp.md,1,current authoritative account
infra.connect--internet-exchange-points,progress/2026-08-10-mesobjournal-eritrea-digital-sovereignty.md,2,first published explicit call to establish Asmara IXP
infra.store--local-data-centre-capacity-all-providers,baseline/2026-08-31-eritel-private-cloud-services.md,1,Eritel private-cloud/datacentre service offering
infra.store--local-data-centre-capacity-all-providers,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,new solar-powered central-server deployment
infra.store--local-data-centre-capacity-national-providers,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,1,NSO data centre established
infra.store--local-data-centre-capacity-national-providers,progress/2026-08-10-mesobjournal-eritrea-digital-sovereignty.md,2,national data centres unmet strategic priority
infra.store--off-site-backup-capacity,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,1,IFMIS automated backup no separate DR site
infra.store--off-site-backup-capacity,progress/2026-08-10-mesobjournal-eritrea-digital-sovereignty.md,2,sovereign-cloud/redundant-hosting need
infra.energy--sufficient-energy-and-water-for-data-centres,baseline/2026-02-01-afdb-energy-integrated-project-appraisal-grid-reliability.md,1,157MW installed 35-52MW reliable vs 74.3MW demand
infra.energy--sufficient-energy-and-water-for-data-centres,progress/2026-02-20-afdb-press-release-58m-eritrea-energy-integrated.md,2,58m financing approval second solar mini-grid
infra.energy--grid-reliability,baseline/2026-02-01-afdb-energy-integrated-project-appraisal-grid-reliability.md,1,capacity/demand baseline plus historical SAIDI
infra.energy--grid-reliability,progress/2026-02-20-afdb-press-release-58m-eritrea-energy-integrated.md,2,542km distribution-line construction
infra.energy--rural-electrification,baseline/2026-02-01-afdb-energy-integrated-project-appraisal-grid-reliability.md,1,12MW existing mini-grid programme 38pct national access
infra.energy--rural-electrification,progress/2026-02-20-afdb-press-release-58m-eritrea-energy-integrated.md,2,306000-person rural electrification project approved
infra.capacity--robustness-of-government-hardware-and-software,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,1,IFMIS go-live DMFAS operational
infra.capacity--robustness-of-government-hardware-and-software,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,ASYCUDA World replaces legacy 2007 system
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,1,staff trained on IFMIS/DMFAS/NSO servers
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,source code transferred 100 staff trained
infra.cybersec--national-cybersecurity-readiness,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,locally-controlled source-code-owned deployment
dpi.exchange--national-data-exchange-system,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,IFMIS cross-ministry rollout UAT complete
dpi.exchange--interoperability-of-education-systems,progress/2025-12-18-unicef-eritrea-country-profile-emis.md,2,EMIS digital rollout
dpi.pay--revenue-collection,baseline/2025-11-01-afdb-eritrea-interim-country-strategy-paper-2025-2027.md,1,ErITAS operationalisation named as priority
dpi.pay--revenue-collection,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,ASYCUDA World digital customs operational launch
dpi.pay--b2b-and-b2g-functionality,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,1,IFMIS 7-module pilot UAT complete
dpi.pay--b2b-and-b2g-functionality,progress/2026-05-11-afdb-eritrea-deepen-partnership-mission.md,2,continued financial-sector-modernisation dialogue
dpi.pay--p2p-p2g-and-p2b-functionality,baseline/2025-11-01-afdb-eritrea-interim-country-strategy-paper-2025-2027.md,2,0pct to 2pct mobile-money target set
dpi.pay--p2p-p2g-and-p2b-functionality,progress/2026-05-11-afdb-eritrea-deepen-partnership-mission.md,2,continued modernisation dialogue
