indicator_id,file,brief
capacity.literacy--digital-literacy-civil-service,baseline/2024-12-08-decret-0440-pr-mennti-direction-generale-economie-numerique.md,baseline
capacity.literacy--digital-literacy-civil-service,progress/2025-10-19-dgpe-300-agents-formes-ia-cybersecurite-informatique.md,progress
capacity.literacy--digital-literacy-civil-service,progress/2026-03-11-woleu-ntem-seminaire-formation-responsables-unites-operationnelles.md,progress
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,baseline/2024-04-08-cenarest-departement-information-scientifique-technologique.md,baseline
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2025-11-12-ustm-journee-reflexion-ia-developpement-humain.md,progress
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2026-05-05-cloture-forum-international-de-libreville.md,progress
capacity.training--dt-related-university-facilities-and-qualifications,baseline/2024-07-03-cartographie-offres-formation-capacites-accueil-enseignement-superieur.md,baseline
capacity.training--dt-related-university-facilities-and-qualifications,progress/2026-06-15-numerikavenir-2000-jeunes-formation-pack-office-ccpe-zon.md,progress
capacity.training--dt-related-university-facilities-and-qualifications,progress/2026-07-15-ministere-economie-numerique-dote-ccpe-zon-materiel-informatique.md,progress
capacity.training--graduates-entering-dt-ecosystem,baseline/2025-02-25-unesco-career-path-ustm-enseignement-superieur-marche-emploi.md,baseline
capacity.training--graduates-entering-dt-ecosystem,progress/2025-11-02-gt-lab-3823-certifies-huit-ans-competences-economie-numerique.md,progress
capacity.training--graduates-entering-dt-ecosystem,progress/2026-01-22-world-bank-preparing-gabon-youth-for-the-future-prodece.md,progress
data.satellite--agricultural-use-of-satellite-data,baseline/2010-09-24-ageos-agence-gabonaise-etudes-observations-spatiales.md,baseline
data.satellite--agricultural-use-of-satellite-data,progress/2025-10-28-ageos-lasac-memorandum-cooperation-spatiale.md,progress
data.satellite--agricultural-use-of-satellite-data,progress/2026-07-15-ageos-792-hectares-couvert-forestier-mines.md,progress
data.satellite--meteorological-use-of-satellite-data,baseline/2010-12-29-decret-0919-direction-generale-meteorologie.md,baseline
data.satellite--meteorological-use-of-satellite-data,progress/2026-03-26-regional-training-flood-forecasting-central-africa.md,progress
data.statistics--statistics-from-administrative-data,baseline/2024-06-13-direction-generale-de-la-statistique.md,baseline
data.statistics--statistics-from-administrative-data,progress/2026-05-23-agp-gabon-revision-cadre-legal-systeme-statistique-national.md,progress
digital.rural--digitalisation-of-rural-health-clinics,baseline/2016-05-12-worldbank-pad-egabon-project.md,baseline
digital.rural--digitalisation-of-rural-health-clinics,progress/2026-04-16-ngounie-extension-egabon-sis-quatre-departements.md,progress
digital.rural--digitalisation-of-rural-health-clinics,progress/2026-06-24-agp-gabon-sante-cloture-projet-egabon-sis.md,progress
digital.rural--digitalisation-of-rural-police-stations,baseline/2026-02-16-forces-de-police-nationale-la-digitalisation-en-marche.md,baseline
digital.rural--digitalisation-of-rural-police-stations,progress/2026-04-01-rag-operationnel-oyem-aninf-modernisation-administrative-province.md,progress
digital.rural--digitalisation-of-rural-police-stations,progress/2026-07-14-atelier-validation-registre-harmonise-lieux-privation-liberte.md,progress
digital.rural--digitalisation-of-rural-primary-schools,baseline/2022-07-15-unicef-gabon-digital-learning-nine-pilot-primary-schools.md,baseline
digital.rural--digitalisation-of-rural-primary-schools,progress/2026-06-13-gabon-250-tablettes-remises-eleves-digitalisation-educatif.md,progress
digital.rural--digitalisation-of-rural-primary-schools,progress/2026-08-28-ogooue-ivindo-tablettes-manuels-etablissements.md,progress
digital.rural--digitalisation-of-rural-registry-offices,baseline/2022-06-24-loi-008-2022-organisation-etat-civil-republique-gabonaise.md,baseline
digital.rural--digitalisation-of-rural-registry-offices,progress/2026-04-01-rag-operationnel-oyem-aninf-modernisation-administrative-province.md,progress
digital.rural--digitalisation-of-rural-registry-offices,progress/2026-05-10-nzenzele-sous-prefet-autorite-etat-fiabilite-etat-civil.md,progress
dpi.exchange--interoperability-of-education-systems,baseline/2012-03-24-gabon-loi-21-2011-orientation-generale-education-formation-recherche.md,baseline
dpi.exchange--interoperability-of-education-systems,progress/2026-03-06-gabon-eformation-identifiants-uniques-etablissements-apprenants.md,progress
dpi.exchange--interoperability-of-education-systems,progress/2026-06-27-gabon-cep-2026-kewa-publication-resultats-aninf.md,progress
dpi.exchange--interoperability-of-health-systems,baseline/2024-08-01-gabon-decret-0292-pr-ms-dgpep-planification-evaluation-partenariats.md,baseline
dpi.exchange--interoperability-of-health-systems,progress/2026-06-18-gabon-premier-pays-afrique-francophone-dhis2-tracker.md,progress
dpi.exchange--interoperability-of-health-systems,progress/2026-06-24-agp-gabon-sante-cloture-projet-egabon-sis.md,progress
dpi.exchange--interoperability-of-social-protection-systems,baseline/2009-03-01-gabon-decret-00969-pr-mteps-modalites-techniques-roamgs.md,baseline
dpi.exchange--interoperability-of-social-protection-systems,progress/2025-12-18-communique-conseil-ministres-18-decembre-2025-dgdinc.md,progress
dpi.exchange--interoperability-of-social-protection-systems,progress/2026-07-09-agp-gabon-task-force-restructuration-cnamgs-interconnexion.md,progress
dpi.exchange--use-of-digital-id-in-other-systems,baseline/2025-08-11-jo-ga-ordonnance-0006-pr-2025-digitalisation.md,baseline
dpi.exchange--use-of-digital-id-in-other-systems,progress/2025-09-16-gabon-identite-digitale-cap-vers-gouvernance-inclusive-securisee.md,progress
dpi.exchange--use-of-digital-id-in-other-systems,progress/2026-04-29-gabon-dus-tournant-numerique-transparence-salariale.md,progress
dpi.id--authentication,baseline/2021-12-28-jo-ga-loi-025-2021-transactions-electroniques.md,baseline
dpi.id--authentication,progress/2025-09-16-gabon-identite-digitale-cap-vers-gouvernance-inclusive-securisee.md,progress
dpi.id--authentication,progress/2026-03-24-gabon-lancement-production-permis-de-conduire-digitalise.md,progress
dpi.id--digital-id-from-birth,baseline/2022-06-24-loi-008-2022-organisation-etat-civil-republique-gabonaise.md,baseline
dpi.id--digital-id-from-birth,progress/2025-12-18-communique-conseil-ministres-18-decembre-2025-dgdinc.md,progress
