indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,1,1,1,0,0,0,,staged,6
gov.policy--broadband-strategy,gov.policy,2,2,2,1,1,0,0,,staged,6
gov.policy--data-storage-cloud-strategy,gov.policy,2,1,1,1,0,0,0,,staged,6
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,1,1,1,0,0,0,,staged,6
gov.policy--data-localisation-policies,gov.policy,2,2,2,1,1,0,0,,staged,6
gov.policy--open-data-policy,gov.policy,2,12,3,1,1,2,2,duplicate-in-run;already-seen,staged,6
gov.legislate--cybersecurity-legislation,gov.legislate,2,1,1,0,1,0,0,,staged,5
gov.legislate--legislation-covering-digital-id,gov.legislate,2,12,1,1,1,0,4,duplicate-in-run;already-seen,staged,5
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,13,4,1,2,0,4,already-seen;duplicate-in-run;fetch-blocked,staged,5
gov.legislate--ai-legislation-regulations,gov.legislate,2,10,2,1,1,0,3,already-seen;duplicate-in-run,staged,5
gov.legislate--statistics-legislation,gov.legislate,2,9,2,1,1,0,0,,staged,5
gov.legislate--access-to-information-legislation,gov.legislate,2,11,3,1,2,0,0,,staged,5
gov.protect--national-data-protection-readiness,gov.protect,2,11,3,1,2,0,3,duplicate-in-run;already-seen,staged,3
gov.regional--shared-regional-infrastructure,gov.regional,2,15,3,1,2,0,1,already-seen,staged,3
gov.standards--national-interoperability-standards,gov.standards,2,13,3,1,2,0,3,already-seen;duplicate-in-run,staged,1
gov.discourse--non-governmental-contribution-to-national-policy,gov.discourse,2,15,2,1,1,0,2,duplicate-in-run,staged,2
infra.connect--internet-exchange-points,infra.connect,2,9,2,1,0,5,3,off-topic,staged,8
infra.store--off-site-backup-capacity,infra.store,2,14,4,1,2,6,5,already-seen;duplicate-in-run;inadmissible-origin,staged,3
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,14,1,1,0,12,1,already-seen,staged,2
infra.energy--grid-reliability,infra.energy,2,12,3,1,2,9,0,,staged,2
infra.energy--rural-electrification,infra.energy,2,13,3,1,2,10,0,,staged,2
infra.capacity--robustness-of-government-hardware-and-software,infra.capacity,2,11,3,1,2,6,3,already-seen;duplicate-in-run,staged,2
