row_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
XWA-gov.legislate-cybercrime-statutes-and-the-press,gov.legislate,1,4,1,1,0,0,,staged,2
XWA-gov.legislate-ecowas-electronic-transactions-act,gov.legislate,0,0,0,0,0,0,,held,2
XWA-gov.protect-african-data-authorities-seminar,gov.protect,1,3,1,0,1,0,,nil,2
XWA-gov.regional-roa-bn-backbone-managers-network,gov.regional,1,3,1,1,0,0,,staged,11
XWA-finance.new-janngo-startup-fund,finance.new,1,5,1,1,0,0,,staged,6
XWA-infra.connect-wacs-repair-logistics,infra.connect,1,3,2,1,1,0,,staged,9
XWA-infra.store-data-centre-capacity-gap,infra.store,0,0,0,0,0,0,,held,1
XWA-infra.cybersec-central-bank-cyber-vigilance,infra.cybersec,1,3,1,1,0,0,,staged,5
XWA-infra.cybersec-ecowas-cybercrime-directive,infra.cybersec,0,0,0,0,0,0,,held,5
XWA-infra.cybersec-ecowas-isac,infra.cybersec,1,3,1,1,0,0,,staged,5
XWA-dpi.pay-bceao-papss-accession,dpi.pay,1,3,1,1,0,0,,staged,16
XWA-dpi.pay-bceao-oversight-instruction,dpi.pay,0,0,0,0,0,0,,held,16
XWA-dpi.pay-epss,dpi.pay,1,3,1,1,0,0,,staged,16
XWA-dpi.pay-gim-uemoa-switch,dpi.pay,1,3,2,1,2,1,already-seen,staged,16
XWA-dpi.pay-licensed-payment-institutions,dpi.pay,1,3,0,0,3,0,,nil,16
XWA-dpi.pay-uemoa-payment-systems-regulation,dpi.pay,0,0,0,0,0,0,,held,16
XWA-dpi.pay-union-electronic-money-position,dpi.pay,0,0,0,0,0,0,,held,16
XWA-dpi.pay-payment-services-instruction,dpi.pay,0,0,0,0,0,0,,held,16
XWA-dpi.mis-asrii-platform,dpi.mis,1,3,0,1,2,0,,staged,2
XWA-tech.innovate-ecowas-startup-awards,tech.innovate,1,3,1,1,2,0,,staged,1
XWA-capacity.training-agrhymet-enabel-land-degradation-monitoring,capacity.training,1,3,1,1,2,0,,staged,4
XWA-capacity.training-regional-skills-programme,capacity.training,1,3,1,1,2,0,,staged,4
XWA-capacity.training-epsg-factcheck,capacity.training,1,4,1,1,3,0,,staged,4
XWA-data.statistics-ecomac,data.statistics,0,0,0,0,0,0,,held,4
XWA-geopol.china-external-partners,geopol.china,1,3,1,1,2,0,,staged,1
