indicator_id,url,title,publisher,published,brief,staged_file,slice
capacity.literacy--digital-literacy-civil-service,https://pafen.gov.bi/facilitateurs-de-la-prestation-de-services-publics/,Facilitateurs de la prestation de services publics numériques,Projet d'Appui aux Fondations de l'Économie Numérique (PAFEN),2023-04-24,baseline,baseline/2023-04-24-pafen-facilitateurs-services-publics-numeriques.md,capacity-data
capacity.literacy--digital-literacy-civil-service,https://www.unesco.org/fr/articles/renforcement-du-sige-au-burundi-des-cadres-du-menrs-en-formation-yaounde,Renforcement du SIGE au Burundi : des cadres du MENRS en formation à Yaoundé,"UNESCO, Bureau régional pour l'Afrique centrale",2026-06-07,progress,progress/2026-06-07-unesco-renforcement-sige-burundi-cadres-menrs-formation-yaounde.md,capacity-data
capacity.literacy--digital-literacy-general-population,https://pafen.gov.bi/acces-et-inclusion-numeriques/,Accès et inclusion Numériques,Projet d'Appui aux Fondations de l'Économie Numérique (PAFEN),2023-04-18,baseline,baseline/2023-04-18-pafen-acces-et-inclusion-numeriques.md,capacity-data
capacity.training--dt-related-training-in-secondary-education,https://mesrs.gov.bi/3721-2/,Atelier d'échanges sur l'amélioration des conditions d'apprentissage par les TICs au Burundi,Ministère de l'Education Nationale et de la Recherche Scientifique (MENRS),2024-03-29,baseline,baseline/2024-03-29-menrs-atelier-tics-conditions-apprentissage.md,capacity-data
capacity.training--dt-related-training-in-secondary-education,https://mesrs.gov.bi/atelier-de-restitution-et-de-validation-de-la-strategie-nationale-sur-les-ressources-educatives-libres-au-burundi/,Atelier de restitution et de validation de la stratégie nationale sur les ressources éducatives libres au Burundi,Ministère de l'Education Nationale et de la Recherche Scientifique (MENRS),2026-04-16,progress,progress/2026-04-16-menrs-validation-strategie-nationale-ressources-educatives-libres.md,capacity-data
capacity.training--dt-related-training-in-secondary-education,https://www.ungm.org/Public/Notice/310460,"RFP NATIONAL - ACQUISITION ET INSTALLATION DES EQUIPEMENTS INFORMATIQUES DANS 39 ECOLES CENTRALES DES ANCIENNES PROVINCES DE KIRUNDO, MUYINGA, ET GITEGA","UNICEF, via the United Nations Global Marketplace (UNGM)",2026-08-11,progress,progress/2026-08-11-unicef-rfp-equipements-informatiques-39-ecoles-centrales.md,capacity-data
capacity.training--graduates-entering-dt-ecosystem,https://mesrs.gov.bi/3721-2/,Atelier d'échanges sur l'amélioration des conditions d'apprentissage par les TICs au Burundi,Ministère de l'Education Nationale et de la Recherche Scientifique (MENRS),2024-03-29,baseline,baseline/2024-03-29-menrs-atelier-tics-conditions-apprentissage.md,capacity-data
capacity.training--graduates-entering-dt-ecosystem,https://burundi.un.org/fr/312722-nouvelles-perspectives-num%C3%A9riques-avec-le-camp-de-codage-pour-les-filles-burundaises,Nouvelles perspectives numériques avec le camp de codage pour les filles burundaises,Les Nations Unies au Burundi (ONU Femmes),2026-03-16,progress,progress/2026-03-16-onu-burundi-camp-de-codage-filles-agcci-iii.md,capacity-data
data.statistics--national-strategy-for-development-of-statistics,https://www.insbu.bi/documents/decrees/Decret-N%C2%B0-100-153-Portant-Creation-Attributions-Composition-et-Regles-de-fonctionnement-de-lINSBU-au-16-novembre-2022-1.pdf,"DECRET N°100/153 DU 16 NOVEMBRE 2022 PORTANT CREATION, ATTRIBUTIONS, COMPOSITION ET REGLES DE FONCTIONNEMENT DE L'AUTORITE STATISTIQUE NATIONALE (INSBU)",Cabinet du Président de la République du Burundi / INSBU,2022-11-16,baseline,baseline/2022-11-16-decret-100-153-insbu-autorite-statistique-nationale.md,capacity-data
data.statistics--national-strategy-for-development-of-statistics,https://lerenouveau.bi/linsbu-procede-a-la-validation-de-la-strategie-de-communication-du-ssn-du-burundi/,L'INSBU procède à la Validation de la stratégie de communication du SSN du Burundi,Le Renouveau du Burundi,2026-05-08,progress,progress/2026-05-08-le-renouveau-insbu-validation-strategie-communication-ssn.md,capacity-data
